,Comparison,Correlation,P_value,fdr_bh_p_val,Cancer Type
719,EGFR_proteomics,0.9999999999999999,0.0,0.0,Brca
1464,MPP6_proteomics,0.6482016750801229,4.834438414996777e-15,2.441391399573372e-11,Brca
550,CPNE8_proteomics,0.616452652877966,2.2292629095873168e-13,7.505185128943967e-10,Brca
565,CRYBG3_proteomics,0.6099970715071926,4.612176438723387e-13,1.004666239485606e-09,Brca
1929,PSAT1_proteomics,0.6093187041227728,4.973595244978248e-13,1.004666239485606e-09,Brca
1772,PHC3_proteomics,-0.6032043673296034,9.738760535376897e-13,1.6393580234551112e-09,Brca
934,GATA3_proteomics,-0.5989112714956837,1.5478464694256326e-12,2.233321334456984e-09,Brca
1249,KRT16_proteomics,0.5953254717268092,2.267368508490368e-12,2.514357840972307e-09,Brca
1254,KRT5_proteomics,0.5947703956956036,2.4043842952646757e-12,2.514357840972307e-09,Brca
1663,NXN_proteomics,0.5928643081653011,2.9385727077300687e-12,2.514357840972307e-09,Brca
122,ANGPTL4_proteomics,0.5927303341631387,2.9801580865769115e-12,2.514357840972307e-09,Brca
1498,MSI2_proteomics,-0.5927073291304642,2.9873558506601664e-12,2.514357840972307e-09,Brca
2704,WWTR1_proteomics,0.5904236890563149,3.792047745957696e-12,2.9461294026286715e-09,Brca
1316,LPIN1_proteomics,0.5853048327707228,6.429025037315383e-12,4.6380823483489555e-09,Brca
1797,PLA2G4A_proteomics,0.5821618873400262,8.850043244400969e-12,5.959029117896652e-09,Brca
899,FMNL2_proteomics,0.5798977074970961,1.1117892337405575e-11,7.0181695379872686e-09,Brca
228,ATP1B3_proteomics,0.5791346978189895,1.2001612503431938e-11,7.13036978145074e-09,Brca
721,EHBP1_proteomics,0.578128173337492,1.3271710923324408e-11,7.446904462532028e-09,Brca
2418,TBC1D9_proteomics,-0.5765724918711845,1.5493800901363032e-11,8.236178373882454e-09,Brca
1580,NDUFA4L2_proteomics,0.6098649748436494,2.6391190237714396e-11,1.332755107004577e-08,Brca
1311,LMX1B_proteomics,-0.5700717567371781,2.9329942308461165e-11,1.3743903723454812e-08,Brca
2278,SLC9A3R1_proteomics,-0.5698606251584877,2.993721603128771e-11,1.3743903723454812e-08,Brca
1707,PARD6B_proteomics,-0.567350488543637,3.815436261159485e-11,1.6754741842482958e-08,Brca
341,CA12_proteomics,-0.5654257640250651,4.588954162558463e-11,1.931184876743353e-08,Brca
1577,NDRG1_proteomics,0.5635350183366943,5.494995624499721e-11,2.2199782322978874e-08,Brca
2539,TRIP10_proteomics,0.5627884324370849,5.898357339291424e-11,2.2679751172540696e-08,Brca
636,DENND2D_proteomics,-0.5624979330807623,6.062903778798008e-11,2.2679751172540696e-08,Brca
1445,MMP14_proteomics,0.5611608759369696,6.879092766499291e-11,2.4813870336301013e-08,Brca
169,ARHGAP10_proteomics,0.5605272344738426,7.301970002203246e-11,2.5430998973190617e-08,Brca
1447,MMP24_proteomics,0.5594043658286081,8.113699162208727e-11,2.6647212507617344e-08,Brca
1824,PLOD1_proteomics,0.559319003315738,8.178847403328096e-11,2.6647212507617344e-08,Brca
1757,PFKP_proteomics,0.5576454572411504,9.56282529768725e-11,3.0182667345825384e-08,Brca
325,C3orf58_proteomics,0.5757376747378147,1.072509707654087e-10,3.280757420600639e-08,Brca
1431,MKL2_proteomics,-0.5560954802302165,1.1044133891130862e-10,3.280757420600639e-08,Brca
839,FAT1_proteomics,0.5520735268804902,1.5993268289104324e-10,4.6152002777129624e-08,Brca
911,FOXA1_proteomics,-0.5512934214292077,1.7174353739367383e-10,4.818360354655849e-08,Brca
446,CDK6_proteomics,0.5505854145057493,1.8318707686012932e-10,5.0005120980738007e-08,Brca
1176,JADE2_proteomics,-0.5498101489030285,1.965601817326199e-10,5.224362724998582e-08,Brca
828,FAM49A_proteomics,0.5424790152543927,3.793445903602549e-10,9.586415228536275e-08,Brca
1549,NAMPT_proteomics,0.5424696350033302,3.796600090509416e-10,9.586415228536275e-08,Brca
1195,KDELC1_proteomics,0.5403531169426077,4.576744229657296e-10,1.1274418712082607e-07,Brca
509,CMBL_proteomics,-0.5382975141734666,5.480819880033156e-10,1.3180066854365446e-07,Brca
689,DSC2_proteomics,0.5372170409572861,6.022617910674836e-10,1.4146149046003683e-07,Brca
780,ESR1_proteomics,-0.5358493786720276,6.782657491107294e-10,1.5378459050520768e-07,Brca
2531,TRIM16_proteomics,0.5357323977714346,6.85178868587559e-10,1.5378459050520768e-07,Brca
2377,SUN1_proteomics,0.5345705715261186,7.576226420501041e-10,1.6634758010230547e-07,Brca
356,CALU_proteomics,0.5339506757285655,7.992347256304678e-10,1.6817230685141092e-07,Brca
355,CALU_proteomics,0.5339506757285655,7.992347256304678e-10,1.6817230685141092e-07,Brca
690,DSC3_proteomics,0.5335853213297187,8.247809036258182e-10,1.7000585972695437e-07,Brca
1125,IGF2BP2_proteomics,0.5318454295739992,9.576076694939554e-10,1.9343674923777899e-07,Brca
2664,VLDLR_proteomics,0.5682466599006053,1.0410938986118182e-09,2.0617741913685026e-07,Brca
1539,MYO1E_proteomics,0.5303115940393515,1.0915719613312294e-09,2.1201686172010414e-07,Brca
536,COLGALT1_proteomics,0.5290024876770371,1.2200047021712356e-09,2.3249146211187695e-07,Brca
226,ATP11C_proteomics,0.528717239982597,1.2498576295847144e-09,2.3376966775565952e-07,Brca
368,CARD6_proteomics,0.544855414491719,1.3011981028388858e-09,2.3894728797586815e-07,Brca
2469,TLE3_proteomics,-0.5270653697701574,1.4370418102625891e-09,2.59180755065217e-07,Brca
2143,RUNDC1_proteomics,-0.5427728702595263,1.5461140063880212e-09,2.6923709421584505e-07,Brca
2142,RUNDC1_proteomics,-0.5427728702595263,1.5461140063880212e-09,2.6923709421584505e-07,Brca
705,DYSF_proteomics,0.5258927641310345,1.5859756223442953e-09,2.714975217911421e-07,Brca
1898,PREX1_proteomics,-0.525054101359793,1.7014810926158726e-09,2.864159839236719e-07,Brca
863,FERMT1_proteomics,0.5392303793124618,2.067658010618045e-09,3.423499329056107e-07,Brca
2028,RBM47_proteomics,-0.5221929596125053,2.159538574628549e-09,3.4621173974203716e-07,Brca
2029,RBM47_proteomics,-0.5221929596125053,2.159538574628549e-09,3.4621173974203716e-07,Brca
1411,METTL26_proteomics,-0.5219021010686389,2.2122405534792656e-09,3.4911921234594657e-07,Brca
2264,SLC2A1_proteomics,0.5196022216464615,2.674762761881831e-09,4.156169830000999e-07,Brca
991,GPT2_proteomics,0.5192392685306445,2.755760649148275e-09,4.2171488721814516e-07,Brca
564,CRYAB_proteomics,0.5186035463896904,2.9033409508721572e-09,4.376678149822207e-07,Brca
31,ACSL4_proteomics,0.5176031734206615,3.151056552685242e-09,4.61290345622994e-07,Brca
1986,RAB9A_proteomics,0.5176018804348612,3.151389489899662e-09,4.61290345622994e-07,Brca
405,CCDC88A_proteomics,0.516840101118471,3.3535308584171363e-09,4.838665952859011e-07,Brca
1444,MMP12_proteomics,0.5164467401362913,3.4627285118772875e-09,4.925853235205719e-07,Brca
1987,RABEP1_proteomics,-0.515995516368128,3.5921945798971685e-09,5.039050730133528e-07,Brca
1536,MYO10_proteomics,0.5158009122647153,3.649454105638958e-09,5.049244721500476e-07,Brca
2366,STRBP_proteomics,-0.5148746843204373,3.9342109521733824e-09,5.369666299587996e-07,Brca
2214,SERPINH1_proteomics,0.5142536168293892,4.136970291263945e-09,5.571119992235446e-07,Brca
2243,SIGIRR_proteomics,-0.5136072448700153,4.358629580973901e-09,5.792389311557421e-07,Brca
789,EXOC6_proteomics,-0.5093363841981216,6.1368085346207495e-09,8.010047084432767e-07,Brca
1652,NUDT12_proteomics,-0.5091051248182532,6.250724699438469e-09,8.010047084432767e-07,Brca
777,ERO1A_proteomics,0.5090758594376754,6.265284353170184e-09,8.010047084432767e-07,Brca
427,CD58_proteomics,0.5267782596348842,6.612633145112346e-09,8.348449345704337e-07,Brca
247,BAG2_proteomics,0.507777951741559,6.944750591701524e-09,8.659503824220418e-07,Brca
1054,HID1_proteomics,-0.5068383468344935,7.480175659757525e-09,9.180442082878113e-07,Brca
2233,SH3PXD2B_proteomics,0.5067301339639187,7.544323691870133e-09,9.180442082878113e-07,Brca
1653,NUDT16L1_proteomics,-0.5047033515916206,8.847922990017437e-09,1.0514272837959774e-06,Brca
503,CLIC3_proteomics,0.5046071600059894,8.91487750314117e-09,1.0514272837959774e-06,Brca
1605,NHSL1_proteomics,0.5045530600606747,8.952747168955848e-09,1.0514272837959774e-06,Brca
885,FKBP14_proteomics,0.5032624547163831,9.903276574561931e-09,1.1496907287709827e-06,Brca
26,ACOT9_proteomics,0.5028474786427981,1.02289458074368e-08,1.1694752463302223e-06,Brca
1369,MAP4K4_proteomics,0.50275204937182,1.0305276923107898e-08,1.1694752463302223e-06,Brca
2208,SERPINB5_proteomics,0.5024008696922698,1.0590905396872931e-08,1.1885349389824068e-06,Brca
959,GLIPR2_proteomics,0.5021335801744335,1.0813373484805627e-08,1.200165628533372e-06,Brca
2741,ZNF24_proteomics,-0.5001120332098522,1.2647122412330022e-08,1.3884340909188394e-06,Brca
2174,SCCPDH_proteomics,-0.4997769949640491,1.2978487400654297e-08,1.4028080550580713e-06,Brca
1356,MAGED2_proteomics,-0.4996999685114255,1.3055837344104823e-08,1.4028080550580713e-06,Brca
542,COX17_proteomics,-0.49927198686267804,1.3493728731135878e-08,1.434596422994446e-06,Brca
2356,STARD10_proteomics,-0.49855480855592244,1.4259240507403122e-08,1.5001909283830367e-06,Brca
1255,KRT6A_proteomics,0.4979495457391999,1.4937513777796403e-08,1.5553493727396255e-06,Brca
1827,PLOD3_proteomics,0.49628886876123873,1.6960993603313725e-08,1.7480207693211084e-06,Brca
2535,TRIM29_proteomics,0.49577273373853326,1.764164966844541e-08,1.7998046631444307e-06,Brca
2378,SUN2_proteomics,0.4948037393643502,1.8990826395024405e-08,1.918073465897465e-06,Brca
132,ANXA1_proteomics,0.49453610339916204,1.938054768894914e-08,1.920221914168785e-06,Brca
1175,IVL_proteomics,0.5084112648906325,1.9392340123288718e-08,1.920221914168785e-06,Brca
166,ARFGEF3_proteomics,-0.49405902818667796,2.0094319550416723e-08,1.9704138588272707e-06,Brca
1953,PVR_proteomics,0.49350232106617575,2.095907196310023e-08,2.004360687400005e-06,Brca
1527,MYEF2_proteomics,-0.4934539524104653,2.1035864640039658e-08,2.004360687400005e-06,Brca
1528,MYEF2_proteomics,-0.4934539524104653,2.1035864640039658e-08,2.004360687400005e-06,Brca
919,FSCN1_proteomics,0.49312566670373326,2.1564234148674706e-08,2.0355024757160236e-06,Brca
816,FAM120A_proteomics,-0.49239725156848974,2.278236166259842e-08,2.1305727110392966e-06,Brca
1644,NT5C2_proteomics,0.48747559547366415,3.291507759093426e-08,3.049929207967303e-06,Brca
2738,ZKSCAN1_proteomics,-0.4872888718726722,3.3373981996427055e-08,3.064338346944666e-06,Brca
1115,IFT140_proteomics,-0.48667061634896436,3.4937545244976396e-08,3.1790018646329877e-06,Brca
1636,NRBF2_proteomics,0.48644218802003714,3.553277879957873e-08,3.188407278706246e-06,Brca
1049,HECTD4_proteomics,-0.48638918265689,3.567227945483226e-08,3.188407278706246e-06,Brca
137,ANXA8L1_proteomics,0.4859616284100746,3.68168448426999e-08,3.2618432711514823e-06,Brca
1675,OTUD7B_proteomics,-0.485531667809319,3.800323602381694e-08,3.337675511656966e-06,Brca
1168,ITGB4_proteomics,0.4851230795618071,3.916448218296829e-08,3.4100109486894804e-06,Brca
1771,PHAX_proteomics,-0.484944000520934,3.9684071165127636e-08,3.4257189638272576e-06,Brca
121,ANGEL2_proteomics,-0.4842666389757003,4.170967954522435e-08,3.5633921474888757e-06,Brca
470,CETN3_proteomics,-0.4840760143517346,4.229732952360795e-08,3.5633921474888757e-06,Brca
2314,SPAST_proteomics,0.4840631302725121,4.2337332445412385e-08,3.5633921474888757e-06,Brca
1250,KRT17_proteomics,0.4838078671121929,4.3137382586241436e-08,3.5827263480370334e-06,Brca
2008,RARA_proteomics,-0.48356230267274813,4.392066675627424e-08,3.5827263480370334e-06,Brca
2438,TES_proteomics,0.4835245762745326,4.404220265996842e-08,3.5827263480370334e-06,Brca
1379,MAPT_proteomics,-0.4834323479832534,4.434067262422071e-08,3.5827263480370334e-06,Brca
1378,MAPT_proteomics,-0.4834323479832534,4.434067262422071e-08,3.5827263480370334e-06,Brca
601,CYP1B1_proteomics,0.48206733024007,4.899081611085665e-08,3.927041608886128e-06,Brca
1090,HSD17B11_proteomics,0.48166707490232985,5.0440470648095895e-08,4.011407508234398e-06,Brca
1734,PDIA6_proteomics,0.4814031793225152,5.141859260652656e-08,4.057248322858736e-06,Brca
596,CXXC5_proteomics,-0.4802514552658748,5.5903762860101474e-08,4.342141897873641e-06,Brca
751,ENO1_proteomics,0.4801493711879199,5.63188701605393e-08,4.342141897873641e-06,Brca
752,ENO1_proteomics,0.4801493711879199,5.63188701605393e-08,4.342141897873641e-06,Brca
2628,UPP1_proteomics,0.4798149058538358,5.769965689590127e-08,4.414897989762143e-06,Brca
71,AES_proteomics,-0.47754118186809513,6.798098268060899e-08,5.162465602061284e-06,Brca
2746,ZNF385A_proteomics,-0.4770613093349364,7.036413824485885e-08,5.3035656438289136e-06,Brca
1568,NCK2_proteomics,0.47690672613260865,7.114868650257347e-08,5.322975805007349e-06,Brca
1733,PDIA5_proteomics,0.47659677506342535,7.274701967602288e-08,5.377687323196053e-06,Brca
2582,TUBB6_proteomics,0.47655886161272604,7.29448676512732e-08,5.377687323196053e-06,Brca
662,DNAJC12_proteomics,-0.47604643496619786,7.566987016567277e-08,5.538157164299239e-06,Brca
1991,RAD17_proteomics,-0.4745668662451699,8.409457750859916e-08,6.094428267579118e-06,Brca
906,FNDC3B_proteomics,0.4745020935747085,8.448314259273776e-08,6.094428267579118e-06,Brca
2670,VSNL1_proteomics,0.47440304687704316,8.508063225036194e-08,6.094428267579118e-06,Brca
887,FKBP4_proteomics,-0.4740898207329234,8.699681812905219e-08,6.187801852841036e-06,Brca
2568,TTC7A_proteomics,0.4914166896927468,8.848311247422148e-08,6.212024071982139e-06,Brca
600,CYB5R3_proteomics,0.4737904192691325,8.886691111266637e-08,6.212024071982139e-06,Brca
189,ARMT1_proteomics,-0.4737404840606695,8.918252380568418e-08,6.212024071982139e-06,Brca
2245,SIRPA_proteomics,0.4735861701808813,9.016463615238815e-08,6.219215708226294e-06,Brca
1098,HSPA4_proteomics,-0.4735311498553074,9.051729793161041e-08,6.219215708226294e-06,Brca
2503,TOM1L1_proteomics,-0.47324207569187443,9.239191453605989e-08,6.305123897393277e-06,Brca
