,Comparison,Correlation,P_value,Cancer Type
733,EGFR_proteomics,0.9999999999999999,0.0,Brca
1484,MPP6_proteomics,0.6482016750801229,2.441391399573372e-11,Brca
562,CPNE8_proteomics,0.616452652877966,7.505185128943967e-10,Brca
577,CRYBG3_proteomics,0.6099970715071926,1.004666239485606e-09,Brca
1946,PSAT1_proteomics,0.6093187041227728,1.004666239485606e-09,Brca
1785,PHC3_proteomics,-0.6032043673296034,1.6393580234551112e-09,Brca
950,GATA3_proteomics,-0.5989112714956837,2.233321334456984e-09,Brca
126,ANGPTL4_proteomics,0.5927303341631387,2.514357840972307e-09,Brca
1518,MSI2_proteomics,-0.5927073291304642,2.514357840972307e-09,Brca
1679,NXN_proteomics,0.5928643081653011,2.514357840972307e-09,Brca
1268,KRT16_proteomics,0.5953254717268092,2.514357840972307e-09,Brca
1273,KRT5_proteomics,0.5947703956956036,2.514357840972307e-09,Brca
2724,WWTR1_proteomics,0.5904236890563149,2.9461294026286715e-09,Brca
1238,KIF1B_proteomics_1,0.5867690317399241,3.991779942800401e-09,Brca
1336,LPIN1_proteomics,0.5853048327707228,4.328876858459025e-09,Brca
1810,PLA2G4A_proteomics,0.5821618873400262,5.586589798028111e-09,Brca
914,FMNL2_proteomics,0.5798977074970961,6.6053360357527245e-09,Brca
233,ATP1B3_proteomics,0.5791346978189895,6.734238126925698e-09,Brca
735,EHBP1_proteomics,0.578128173337492,7.054962122398764e-09,Brca
2439,TBC1D9_proteomics,-0.5765724918711845,7.82436945518833e-09,Brca
1598,NDUFA4L2_proteomics,0.6098649748436494,1.269290578099597e-08,Brca
1331,LMX1B_proteomics,-0.5700717567371781,1.3146342692000256e-08,Brca
2299,SLC9A3R1_proteomics,-0.5698606251584877,1.3146342692000256e-08,Brca
1721,PARD6B_proteomics,-0.567350488543637,1.6056627599046168e-08,Brca
346,CA12_proteomics,-0.5654257640250651,1.8539374816736188e-08,Brca
1595,NDRG1_proteomics,0.5635350183366943,2.134594454132584e-08,Brca
2558,TRIP10_proteomics,0.5627884324370849,2.1869760059235674e-08,Brca
