,Comparison,Correlation,P_value,Cancer Type
2728,EGFR_proteomics,0.9999999999999998,0.0,GBM
6656,PHLDA1_proteomics,0.8168478152481624,3.507070947053107e-21,GBM
3757,GRB2_proteomics,-0.6108891162098071,6.729989703156223e-08,GBM
8734,SOCS2_proteomics,0.5627196030682289,3.420388042238714e-06,GBM
1528,CDH4_proteomics,0.5591797537196763,3.420388042238714e-06,GBM
2256,DAB2_proteomics,-0.5564015379913563,3.420388042238714e-06,GBM
6750,PLA2G15_proteomics,-0.5566242323733048,3.420388042238714e-06,GBM
3580,GLA_proteomics,-0.5504906315237544,4.776520693499352e-06,GBM
2163,CTSC_proteomics,-0.5462852751917662,5.888722194439894e-06,GBM
2295,DCBLD2_proteomics,-0.5653725668293248,6.098708001404987e-06,GBM
1769,CKB_proteomics,0.5442462597158703,6.098708001404987e-06,GBM
655,ARNT2_proteomics,0.5420787847456093,6.098708001404987e-06,GBM
8371,SHC1_proteomics,-0.5405244914396086,6.33544978633218e-06,GBM
8146,SCPEP1_proteomics,-0.531494133013942,1.1549671731081287e-05,GBM
7828,ROBO2_proteomics,0.5271277906035979,1.4832531916800771e-05,GBM
6658,PHLDA3_proteomics,0.5258827854613878,1.5217788650345985e-05,GBM
963,BLOC1S2_proteomics,-0.5229648266822912,1.7273842006123295e-05,GBM
810,ATP7A_proteomics,-0.5224817306372646,1.7273842006123295e-05,GBM
5254,MEOX2_proteomics,0.5458632466939957,1.77961706536009e-05,GBM
1451,CD180_proteomics,-0.5182666129723484,2.0971648016688764e-05,GBM
3071,FAM129B_proteomics,-0.5149840251387472,2.4851829589332074e-05,GBM
8192,SEC23IP_proteomics,-0.5144035788843105,2.4851829589332074e-05,GBM
9633,TOR4A_proteomics,-0.5138471291537452,2.4851829589332074e-05,GBM
10387,XRN1_proteomics,-0.5116564308207833,2.7720656466474783e-05,GBM
6422,PCDH17_proteomics,0.5060447136622968,3.907158335792669e-05,GBM
10263,WAS_proteomics,-0.5019180366341212,4.961122219298403e-05,GBM
4908,LRP4_proteomics,0.5008960940270109,5.1150253792329034e-05,GBM
586,ARHGAP4_proteomics,-0.4989264348229207,5.295599032089138e-05,GBM
7020,PPP1R18_proteomics,-0.4972021285670396,5.295599032089138e-05,GBM
6046,NPC2_proteomics,-0.498790591960705,5.295599032089138e-05,GBM
3735,GPRIN3_proteomics,-0.49783635480482147,5.295599032089138e-05,GBM
5896,NEO1_proteomics,0.4969841203020866,5.295599032089138e-05,GBM
2162,CTSB_proteomics,-0.4968953119173142,5.295599032089138e-05,GBM
4259,IKBKE_proteomics,-0.5197345389973977,5.295599032089138e-05,GBM
4710,KYNU_proteomics,-0.49551657943951066,5.340628547905504e-05,GBM
7680,RGMA_proteomics,0.4950729034600597,5.340628547905504e-05,GBM
4933,LRRC75A_proteomics,0.49540215858447634,5.340628547905504e-05,GBM
2900,EPHB3_proteomics,0.49601893686837845,5.340628547905504e-05,GBM
8934,STAB1_proteomics,-0.4929776568817793,5.817126885848339e-05,GBM
1806,CLIP2_proteomics,0.49327992110355356,5.817126885848339e-05,GBM
589,ARHGAP45_proteomics,-0.49256376995601736,5.830020099283064e-05,GBM
4113,HSD17B11_proteomics,-0.49184266467177457,5.9638544446739436e-05,GBM
9074,SVIL_proteomics,-0.49130315234332644,6.0322885156317034e-05,GBM
8764,SOX9_proteomics,0.49067010488451357,6.141432576269325e-05,GBM
