,Comparison,Correlation,P_value,fdr_bh_p_val,Cancer Type
278,EGFR_proteomics,1.0,0.0,0.0,Kidney
108,ATP11A_proteomics,0.5770791126332542,4.1446358679554355e-11,2.010562859545182e-07,Kidney
711,PLCB1_proteomics,0.5619523505883179,1.684847335580958e-10,4.4898890144201137e-07,Kidney
76,APAF1_proteomics,0.5609093043557825,1.8511189504927286e-10,4.4898890144201137e-07,Kidney
418,HPCAL1_proteomics,0.5566812490346316,2.7019395981994784e-10,4.5435896117510743e-07,Kidney
636,NUDCD3_proteomics,0.5562135224443416,2.816460455552968e-10,4.5435896117510743e-07,Kidney
299,ENPP3_proteomics,0.5544967541293412,3.2782031830815833e-10,4.5435896117510743e-07,Kidney
833,SCARB1_proteomics,0.5399166280816554,1.1502548086507168e-09,1.3949715191911568e-06,Kidney
1080,ZC3HAV1L_proteomics,0.5354991544082187,1.66297406435354e-09,1.7926860413731162e-06,Kidney
690,PGK1_proteomics,0.53244966986068,2.1382656310959776e-09,2.0745453152893176e-06,Kidney
270,DYNC1LI1_proteomics,-0.5309866646802255,2.4102153084607178e-09,2.125809902062353e-06,Kidney
979,TMEM30A_proteomics,0.5277094863954344,3.1450736135582613e-09,2.396286818503453e-06,Kidney
747,PPP1R13L_proteomics,0.5274531008381123,3.2108563843068327e-09,2.396286818503453e-06,Kidney
660,PBRM1_proteomics,-0.5215220759085548,5.158430687182847e-09,3.574792466217713e-06,Kidney
590,NDUFA4L2_proteomics,0.5204969693553742,5.593779284591103e-09,3.618056441273525e-06,Kidney
632,NR2C2AP_proteomics,0.5156896111109901,8.150349539746208e-09,4.942168202163607e-06,Kidney
873,SLC16A3_proteomics,0.5145067279205569,8.933302541247294e-09,5.098288309128308e-06,Kidney
884,SLC39A14_proteomics,0.5110418515536013,1.1663481610537328e-08,5.641540509420278e-06,Kidney
1072,YBX3_proteomics,0.5371583288770783,1.1816723456955546e-08,5.641540509420278e-06,Kidney
1071,YBX3_proteomics,0.5371583288770783,1.1816723456955546e-08,5.641540509420278e-06,Kidney
56,ALDOC_proteomics,0.510441761627153,1.2211126643766836e-08,5.641540509420278e-06,Kidney
177,CEMIP2_proteomics,0.5080964343410768,1.4597229206345584e-08,6.437378079998402e-06,Kidney
989,TPI1_proteomics,0.5070935778067069,1.5748440436595408e-08,6.643103005036897e-06,Kidney
780,PUS7_proteomics,0.5059292037346123,1.7194171384730954e-08,6.950743782277488e-06,Kidney
464,JPT2_proteomics,0.5050421842010804,1.8379916326499027e-08,7.132877927987743e-06,Kidney
783,PYGL_proteomics,0.5031492276613793,2.1177554453469474e-08,7.902485896444648e-06,Kidney
62,AMPD2_proteomics,0.5006987732586918,2.540839155806318e-08,9.13008203319737e-06,Kidney
624,NOL3_proteomics,0.4959086735293742,3.612607367791957e-08,1.2517684529399133e-05,Kidney
1042,USP11_proteomics,-0.4913958893007957,5.008274913079129e-08,1.6755270071273692e-05,Kidney
208,COX7A2L_proteomics,-0.49083705528816024,5.213316860266355e-08,1.6859866726101394e-05,Kidney
732,POLD2_proteomics,0.4803005162975936,1.0962764075667359e-07,3.379544962500113e-05,Kidney
99,ARPC5L_proteomics,-0.48006052802495525,1.114671601731639e-07,3.379544962500113e-05,Kidney
292,EMC2_proteomics,-0.47905902424690094,1.1946647882364632e-07,3.512314477415202e-05,Kidney
950,TCAF2_proteomics,0.47844933987209864,1.246012792468267e-07,3.5555341507432726e-05,Kidney
813,RHOB_proteomics,0.47596236519311785,1.478113078845386e-07,4.0973294545594094e-05,Kidney
182,CFAP36_proteomics,0.47319773673047216,1.7843846820032475e-07,4.808916717998752e-05,Kidney
1006,TRNT1_proteomics,-0.4704782580114704,2.1440488049048293e-07,5.622043650050447e-05,Kidney
967,TM6SF1_proteomics,-0.6139687480218804,2.3241574701224737e-07,5.9339409934548006e-05,Kidney
471,KIAA1671_proteomics,0.46843251165861954,2.4590712754988433e-07,6.117412696125585e-05,Kidney
286,EIF4EBP1_proteomics,0.467487293875278,2.6190800667532964e-07,6.324832640797132e-05,Kidney
670,PDCD5_proteomics,0.4668654289670046,2.7297060049521167e-07,6.324832640797132e-05,Kidney
982,TMSB10_proteomics,0.46681965249483837,2.7380227882238665e-07,6.324832640797132e-05,Kidney
978,TMEM243_proteomics,0.5999782499355109,3.2173494610566774e-07,7.25923824910974e-05,Kidney
846,SEMA4B_proteomics,0.4622726463604424,3.695874873646038e-07,8.093501650534407e-05,Kidney
854,SEPT9_proteomics,0.46169853748979844,3.837364212786876e-07,8.093501650534407e-05,Kidney
855,SEPT9_proteomics,0.46169853748979844,3.837364212786876e-07,8.093501650534407e-05,Kidney
490,LDHA_proteomics,0.4574243924174143,5.064884016686268e-07,0.00010455213772317058,Kidney
247,DENND6A_proteomics,-0.45627320875759136,5.454505608018136e-07,0.00011024919460206657,Kidney
1074,YWHAG_proteomics,0.4506110008257434,7.822788457056202e-07,0.00015239664584472512,Kidney
913,SRI_proteomics,0.45054815037449614,7.853877852232792e-07,0.00015239664584472512,Kidney
688,PFKP_proteomics,0.4475114417645887,9.5039276980772e-07,0.00018079824809165686,Kidney
719,PLEKHA2_proteomics,0.44576260418819735,1.0598316025739392e-06,0.00019554421754698327,Kidney
673,PDK1_proteomics,0.44563576753551737,1.0682172263440644e-06,0.00019554421754698327,Kidney
28,ADAM9_proteomics,0.4443930552223458,1.1537759456259224e-06,0.00020729507823079071,Kidney
70,ANKZF1_proteomics,0.4432515294453041,1.2380621802416253e-06,0.0002183941685946227,Kidney
393,GYS1_proteomics,0.4409781052531989,1.423626035728912e-06,0.000246643210690034,Kidney
273,EEF1AKMT1_proteomics,0.43965906042703984,1.543073388681777e-06,0.000262647333631414,Kidney
370,GNAI3_proteomics,0.4392895954120083,1.5781968747042254e-06,0.00026399424273069647,Kidney
148,CA9_proteomics,0.4381393311124113,1.6924629922071695e-06,0.00027830976187108404,Kidney
476,KIF1BP_proteomics,0.4372581278308557,1.7852580532942818e-06,0.00027944977310095557,Kidney
216,CTPS2_proteomics,0.4371423163922751,1.7978059830382685e-06,0.00027944977310095557,Kidney
1028,UBP1_proteomics,-0.4371052344624067,1.8018413612090937e-06,0.00027944977310095557,Kidney
289,EIF6_proteomics,0.4369884268142504,1.8146089162399713e-06,0.00027944977310095557,Kidney
1037,UQCRB_proteomics,-0.43661881033735117,1.855576545454054e-06,0.0002812633873272098,Kidney
285,EIF4A2_proteomics,-0.43636366280180283,1.8843661282486743e-06,0.0002812633873272098,Kidney
533,MICALL1_proteomics,-0.43550116886982937,1.9848500199227894e-06,0.0002875518019073418,Kidney
318,FAM13A_proteomics,0.4354934389879527,1.985773111501948e-06,0.0002875518019073418,Kidney
557,MTR_proteomics,0.4351272310750163,2.029974029159228e-06,0.0002896295298662181,Kidney
687,PFKL_proteomics,0.43479765166586304,2.070549053070406e-06,0.00029113720163607363,Kidney
497,LPCAT1_proteomics,0.4318754950216019,2.4654635735339732e-06,0.0003417132512918087,Kidney
686,PFKFB2_proteomics,-0.43720354616974555,2.786226199621911e-06,0.0003754439803990525,Kidney
685,PFKFB2_proteomics,-0.43720354616974555,2.786226199621911e-06,0.0003754439803990525,Kidney
603,NDUFS1_proteomics,-0.4286134523222177,2.9901991038899894e-06,0.0003974097493964476,Kidney
898,SNX1_proteomics,-0.4281641309950198,3.070258863391999e-06,0.0004025358309814753,Kidney
447,INPP4A_proteomics,-0.42712614128024795,3.2630270527601128e-06,0.0004221051795450482,Kidney
697,PHLDA3_proteomics,0.4325299757098131,3.651700740714689e-06,0.00046616842876860416,Kidney
194,CLASP2_proteomics,-0.43355402844784396,3.837621453894198e-06,0.000471333266308737,Kidney
195,CLASP2_proteomics,-0.43355402844784396,3.837621453894198e-06,0.000471333266308737,Kidney
361,GK_proteomics,-0.42429165721696815,3.8493963064863535e-06,0.000471333266308737,Kidney
606,NDUFS4_proteomics,-0.4240125623607438,3.912231477510481e-06,0.000471333266308737,Kidney
210,CPNE8_proteomics,0.42391219382415285,3.935064375490383e-06,0.000471333266308737,Kidney
