,Comparison,Correlation,P_value,Cancer Type
278,EGFR_proteomics,1.0,0.0,Kidney
746,PPM1B_proteomics,-0.5844940851741138,1.005437406936495e-07,Kidney
106,ATP11A_proteomics,0.5770791126332542,1.3688350726567486e-07,Kidney
716,PLCB1_proteomics,0.5619523505883179,3.668177312296391e-07,Kidney
74,APAF1_proteomics,0.5609093043557825,3.668177312296391e-07,Kidney
640,NUDCD3_proteomics,0.5562135224443416,3.986498599088401e-07,Kidney
419,HPCAL1_proteomics,0.5566812490346316,3.986498599088401e-07,Kidney
299,ENPP3_proteomics,0.5544967541293412,4.0600546422465413e-07,Kidney
838,SCARB1_proteomics,0.5399166280816554,1.266302738234589e-06,Kidney
1088,ZC3HAV1L_proteomics,0.5354991544082187,1.6476747029614875e-06,Kidney
695,PGK1_proteomics,0.53244966986068,1.925994170263541e-06,Kidney
270,DYNC1LI1_proteomics,-0.5309866646802255,1.9900344396857326e-06,Kidney
751,PPP1R13L_proteomics,0.5274531008381123,2.272368932550864e-06,Kidney
985,TMEM30A_proteomics,0.5277094863954344,2.272368932550864e-06,Kidney
664,PBRM1_proteomics,-0.5215220759085548,3.407315416573843e-06,Kidney
590,NDUFA4L2_proteomics,0.5204969693553742,3.4639478219830407e-06,Kidney
635,NR2C2AP_proteomics,0.5156896111109901,4.750215484694437e-06,Kidney
878,SLC16A3_proteomics,0.5145067279205569,4.91728675437101e-06,Kidney
889,SLC39A14_proteomics,0.5110418515536013,5.76132584697342e-06,Kidney
56,ALDOC_proteomics,0.510441761627153,5.76132584697342e-06,Kidney
1079,YBX3_proteomics,0.5371583288770783,5.76132584697342e-06,Kidney
175,CEMIP2_proteomics,0.5080964343410768,6.574061226203275e-06,Kidney
995,TPI1_proteomics,0.5070935778067069,6.7841542541646645e-06,Kidney
786,PUS7_proteomics,0.5059292037346123,7.098327086663095e-06,Kidney
465,JPT2_proteomics,0.5050421842010804,7.284328438518094e-06,Kidney
789,PYGL_proteomics,0.5031492276613793,8.070277289422136e-06,Kidney
62,AMPD2_proteomics,0.5006987732586918,9.32393865027e-06,Kidney
626,NOL3_proteomics,0.4959086735293742,1.2783469214315256e-05,Kidney
1049,USP11_proteomics,-0.4913958893007957,1.7111030289237247e-05,Kidney
207,COX7A2L_proteomics,-0.49083705528816024,1.7217847817173015e-05,Kidney
97,ARPC5L_proteomics,-0.48006052802495525,3.4513019468615874e-05,Kidney
737,POLD2_proteomics,0.4803005162975936,3.4513019468615874e-05,Kidney
292,EMC2_proteomics,-0.47905902424690094,3.586890521771781e-05,Kidney
956,TCAF2_proteomics,0.47844933987209864,3.63102786699282e-05,Kidney
818,RHOB_proteomics,0.47596236519311785,4.184326967200024e-05,Kidney
180,CFAP36_proteomics,0.47319773673047216,4.911023174802271e-05,Kidney
1012,TRNT1_proteomics,-0.4704782580114704,5.7414150159451486e-05,Kidney
973,TM6SF1_proteomics,-0.6139687480218804,6.059934793150913e-05,Kidney
472,KIAA1671_proteomics,0.46843251165861954,6.247302101959626e-05,Kidney
988,TMSB10_proteomics,0.46681965249483837,6.459126139457636e-05,Kidney
286,EIF4EBP1_proteomics,0.467487293875278,6.459126139457636e-05,Kidney
674,PDCD5_proteomics,0.4668654289670046,6.459126139457636e-05,Kidney
984,TMEM243_proteomics,0.5999782499355109,7.413371734918502e-05,Kidney
851,SEMA4B_proteomics,0.4622726463604424,8.322438238201124e-05,Kidney
860,SEPT9_proteomics,0.46169853748979844,8.449023248953859e-05,Kidney
491,LDHA_proteomics,0.4574243924174143,0.00010909319747245119,Kidney
246,DENND6A_proteomics,-0.45627320875759136,0.00011498562034945465,Kidney
762,PRKACB_proteomics_1,-0.45575756623198727,0.00011638012665080635,Kidney
918,SRI_proteomics,0.45054815037449614,0.000155632443519845,Kidney
1082,YWHAG_proteomics,0.4506110008257434,0.000155632443519845,Kidney
693,PFKP_proteomics,0.4475114417645887,0.0001846370894755861,Kidney
724,PLEKHA2_proteomics,0.44576260418819735,0.00019969615620032055,Kidney
677,PDK1_proteomics,0.44563576753551737,0.00019969615620032055,Kidney
29,ADAM9_proteomics,0.4443930552223458,0.00021169651980114146,Kidney
69,ANKZF1_proteomics,0.4432515294453041,0.00022303127421516408,Kidney
396,GYS1_proteomics,0.4409781052531989,0.00025188012075003677,Kidney
273,EEF1AKMT1_proteomics,0.43965906042703984,0.0002682240550010359,Kidney
373,GNAI3_proteomics,0.4392895954120083,0.0002695995626649908,Kidney
146,CA9_proteomics,0.4381393311124113,0.0002842190394370955,Kidney
1035,UBP1_proteomics,-0.4371052344624067,0.000285383256223899,Kidney
289,EIF6_proteomics,0.4369884268142504,0.000285383256223899,Kidney
215,CTPS2_proteomics,0.4371423163922751,0.000285383256223899,Kidney
476,KIF1BP_proteomics,0.4372581278308557,0.000285383256223899,Kidney
1044,UQCRB_proteomics,-0.43661881033735117,0.00028723537844135177,Kidney
285,EIF4A2_proteomics,-0.43636366280180283,0.00028723537844135177,Kidney
318,FAM13A_proteomics,0.4354934389879527,0.00029365731326509405,Kidney
534,MICALL1_proteomics,-0.43550116886982937,0.00029365731326509405,Kidney
558,MTR_proteomics,0.4351272310750163,0.00029577915707220044,Kidney
692,PFKL_proteomics,0.43479765166586304,0.000297318840837994,Kidney
498,LPCAT1_proteomics,0.4318754950216019,0.00034896875837963726,Kidney
690,PFKFB2_proteomics,-0.43720354616974555,0.0003888159040261112,Kidney
691,PFKFB2_proteomics_1,-0.42917507815169387,0.000398095735908303,Kidney
604,NDUFS1_proteomics,-0.4286134523222177,0.0004058478454978358,Kidney
903,SNX1_proteomics,-0.4281641309950198,0.0004110827678174044,Kidney
448,INPP4A_proteomics,-0.42712614128024795,0.00043106762718329595,Kidney
702,PHLDA3_proteomics,0.4325299757098131,0.0004760664597236992,Kidney
209,CPNE8_proteomics,0.42391219382415285,0.0004873577229044839,Kidney
193,CLASP2_proteomics,-0.43355402844784396,0.0004873577229044839,Kidney
607,NDUFS4_proteomics,-0.4240125623607438,0.0004873577229044839,Kidney
364,GK_proteomics,-0.42429165721696815,0.0004873577229044839,Kidney
360,GGA1_proteomics,-0.4229122060363112,0.0005100215527559375,Kidney
1029,TULP3_proteomics,0.42179368359720393,0.0005373781159890221,Kidney
5,ABCC3_proteomics,0.421531974365294,0.0005389610990366942,Kidney
213,CSNK2A1_proteomics,0.4206784789963057,0.0005593095569622621,Kidney
701,PHKA2_proteomics,0.42011023531521174,0.0005706471453178001,Kidney
454,IRAK4_proteomics,0.4199176654778298,0.0005706471453178001,Kidney
810,RCC1_proteomics,0.41956857450752577,0.0005754656128034798,Kidney
994,TOR1A_proteomics,-0.41819380680502827,0.0006153406899657159,Kidney
584,NDUFA10_proteomics,-0.4173700707317939,0.0006312292775270455,Kidney
648,OSTF1_proteomics,-0.41734999385293853,0.0006312292775270455,Kidney
416,HMGA1_proteomics_1,-0.41713693724288914,0.0006318865780748757,Kidney
644,OGA_proteomics,0.4167229530565999,0.0006398605058214606,Kidney
359,GEMIN5_proteomics,0.4145761790054593,0.0007145448195244202,Kidney
671,PDAP1_proteomics,0.41358696801782463,0.00074734092303811,Kidney
867,SH3BP5L_proteomics,0.4127119559528032,0.0007645427761769631,Kidney
1085,ZADH2_proteomics,-0.41261962356142257,0.0007645427761769631,Kidney
790,QARS_proteomics,-0.41269830203343716,0.0007645427761769631,Kidney
696,PGK2_proteomics,0.4119232115588151,0.0007867557133574437,Kidney
877,SLC16A1_proteomics,0.41164533583629,0.0007909709698941151,Kidney
901,SMYD5_proteomics,0.41136696200804146,0.0007953010500268944,Kidney
969,TINAG_proteomics,-0.4107599722436086,0.0008064880025889214,Kidney
609,NDUFS7_proteomics,-0.41077209691350114,0.0008064880025889214,Kidney
6,ABHD14B_proteomics,-0.41040193565702593,0.0008147017150953328,Kidney
815,RENBP_proteomics,-0.40968172662334096,0.0008168526684364463,Kidney
497,LNPK_proteomics,0.4093993605493632,0.0008168526684364463,Kidney
203,COTL1_proteomics,-0.40938046478908596,0.0008168526684364463,Kidney
831,RSL1D1_proteomics,0.40950331982608695,0.0008168526684364463,Kidney
244,DDX56_proteomics,0.4093328008966161,0.0008168526684364463,Kidney
574,NASP_proteomics,0.41000520295815157,0.0008168526684364463,Kidney
773,PSAP_proteomics_1,-0.4077799894811492,0.0008675758053190118,Kidney
467,KBTBD11_proteomics,0.40774923111136124,0.0008675758053190118,Kidney
610,NDUFS8_proteomics,-0.4079965457066895,0.0008675758053190118,Kidney
89,ARHGEF16_proteomics,0.40708907402222805,0.000891687944156743,Kidney
36,ADH6_proteomics,-0.4066574963564832,0.0009050558772511444,Kidney
592,NDUFA6_proteomics,-0.4060336875154688,0.0009283868423338199,Kidney
771,PRPS1_proteomics,0.40584737485115,0.0009298165738965085,Kidney
588,NDUFA3_proteomics,-0.4048085573966024,0.0009592932671312533,Kidney
67,ANKRD44_proteomics,-0.40493654947175456,0.0009592932671312533,Kidney
379,GPAT3_proteomics,-0.4048999725363038,0.0009592932671312533,Kidney
52,ALDH1B1_proteomics,-0.4045201969002473,0.0009663692555105132,Kidney
1006,TRAPPC6B_proteomics,-0.40398968762220216,0.0009864624289930878,Kidney
41,AGL_proteomics,0.40328184391889177,0.000991136763115244,Kidney
1047,UQCRFS1_proteomics,-0.4032294633502277,0.000991136763115244,Kidney
463,ITPR3_proteomics,0.4036684988286203,0.000991136763115244,Kidney
294,EMC8_proteomics,-0.4034963586337079,0.000991136763115244,Kidney
