,Comparison,Correlation,P_value
3015,EGFR_proteomics,1.0,0.0
7212,PHLDA1_proteomics,0.7134204152693155,4.569893053960775e-18
7214,PHLDA3_proteomics,0.6820335902295296,4.419686460240443e-16
5201,LANCL2_proteomics,0.5758171115708379,7.052402810902953e-11
4835,ITGB4_proteomics,0.566094615355106,1.7159847624533803e-10
4685,IL1RAP_proteomics,0.5534365530380927,5.234538177544528e-10
1892,CHCHD2_proteomics,0.5423067079458568,1.34382550074081e-09
4815,ITGA2_proteomics,0.5371518411820837,2.0558104110002935e-09
10468,TRIM29_proteomics,0.5269577117251991,4.667798082677151e-09
2335,CSNK1A1_proteomics,0.5252979469746348,5.320925606447367e-09
1714,CDCP1_proteomics,0.5252347247037491,5.347460439763958e-09
3480,FAT2_proteomics,0.5128053584902297,1.394486697381153e-08
6433,NECTIN1_proteomics,0.5088502838248644,1.8767747959493848e-08
8360,RIN1_proteomics,0.5064940073772978,2.2360836150237895e-08
5955,MPZL2_proteomics,0.5038370480913837,2.720097568326946e-08
8940,SESN3_proteomics,0.5037323261705324,2.741092280153282e-08
3132,ENDOD1_proteomics,0.49895032809989276,3.883427016461986e-08
976,BAG3_proteomics,0.4989307522008832,3.888926493543259e-08
3762,FZD6_proteomics,0.4983327450139829,4.060557557525951e-08
1782,CELSR1_proteomics,0.49791620224716265,4.184359138451744e-08
7213,PHLDA2_proteomics,0.5530974075537096,4.8723477732590235e-08
5176,LAD1_proteomics,0.49100726573125436,6.846288556227233e-08
5143,KRT5_proteomics,0.49022819937552287,7.232225016619754e-08
7797,PSIP1_proteomics,-0.48619935721039953,9.582894192173089e-08
5187,LAMB3_proteomics,0.485619967177139,9.975739077775575e-08
8969,SFN_proteomics,0.48336549581404387,1.1655552687545038e-07
9540,SRC_proteomics,0.4807984500430953,1.3896409552410426e-07
7640,PPP4R1_proteomics,0.4727183452842625,2.3947058916533186e-07
5190,LAMC2_proteomics,0.4719490028848538,2.5202341333312657e-07
5819,MICALL1_proteomics,0.4698161674597923,2.901824926343534e-07
4839,ITGB8_proteomics,0.4684109228653611,3.182638059709285e-07
510,ANKRD50_proteomics,0.46818306791906317,3.2305394290759853e-07
543,ANXA8_proteomics,0.46806470115444015,3.255693335681442e-07
3980,GNA15_proteomics,0.4778146183077582,3.3277054283290596e-07
10186,TMEM134_proteomics,0.46049482545525183,5.314400465601658e-07
3185,EPHA2_proteomics,0.45946857748662484,5.674310168393151e-07
2167,COL7A1_proteomics,0.4593933416295043,5.701587356910748e-07
7993,RAB10_proteomics,0.4555224523045231,7.285889780959723e-07
3727,FSCN1_proteomics,0.45549503225779414,7.298477148083557e-07
10312,TNKS1BP1_proteomics,0.4548286130089668,7.610827594578437e-07
5144,KRT6A_proteomics,0.45434278525879357,7.846489159313275e-07
7739,PROM2_proteomics,0.5071078801822884,8.54086314855109e-07
3449,FAM83H_proteomics,0.45184530484778995,9.171369552599242e-07
6569,NOL3_proteomics,0.4518205726406787,9.185493947616804e-07
4820,ITGA6_proteomics,0.45166532417169797,9.274627858561906e-07
4821,ITGA6_proteomics,0.45166532417169797,9.274627858561906e-07
7603,PPP1R13L_proteomics,0.4466405084509317,1.2645299380314235e-06
5134,KRT19_proteomics,0.4463904611775447,1.2840229825864626e-06
4542,HSPB1_proteomics,0.4457644540734367,1.3340818906731238e-06
3479,FAT1_proteomics,0.4456043312690522,1.3471801788542356e-06
7322,PKP3_proteomics,0.44429884477992365,1.4586132700488166e-06
5568,MAP3K6_proteomics,0.43842138743628545,2.077624261054114e-06
6349,NCKAP1_proteomics,0.43437079665819067,2.641094017533444e-06
6929,PANX1_proteomics,0.4323487177322789,2.97378200564008e-06
10273,TMPRSS4_proteomics,0.4315575066446269,3.1144413606443345e-06
7848,PSPH_proteomics,0.43127599920537407,3.165986861445288e-06
1992,CLCA2_proteomics,0.42764803278882146,3.906743301322415e-06
287,AGAP3_proteomics,0.43654610404880795,4.029745744983778e-06
288,AGAP3_proteomics,0.43654610404880795,4.029745744983778e-06
2255,CPNE8_proteomics,0.4266551903182387,4.136362645771264e-06
2136,COL14A1_proteomics,-0.4258250522662611,4.3380786130083715e-06
3384,FAM160A1_proteomics,0.42492848434726616,4.566354599929857e-06
