,Comparison,Correlation,P_value
906,EGFR_proteomics,0.9999999999999998,0.0
944,SLC2A4_proteomics,0.6777947768010828,1.4682516764831086e-05
433,LGALS3_proteomics,0.4444794311552248,2.5585971490693667e-05
603,DOCK1_proteomics,0.4399210030558673,3.1635411130523083e-05
922,GNG12_proteomics,0.4372882581946351,3.571174501180456e-05
473,FGD4_proteomics,0.41686927556545283,8.84367434173134e-05
571,PGM1_proteomics,0.41256127411656374,0.00010630283213971866
870,C5_proteomics,0.40627198372172346,0.00013844628342022126
759,UBE2T_proteomics,-0.43684955962338795,0.00019566519296848004
914,SORBS2_proteomics,0.39666906355761333,0.00020518161861202123
488,RIN1_proteomics,0.3886534759690498,0.0002823807564865852
48,CDH3_proteomics,0.3818657418467631,0.00036775607551899265
33,ACADM_proteomics,-0.3809024593969968,0.00038162900253545744
146,SYNGAP1_proteomics,-0.43990095095339493,0.0004365766105626765
961,LAMC2_proteomics,0.3765184749683622,0.0004510344198868037
299,GNA11_proteomics,0.3764949648633086,0.00045143592976372475
554,GNAQ_proteomics,0.37547535873717763,0.0004691670917475375
600,GSTA3_proteomics,0.3692791817278256,0.0005913450504922164
810,GSTA1_proteomics,0.36742723546740197,0.0006331374762964132
876,AMOT_proteomics,0.3853773604116526,0.0006394471941921617
936,UBE2C_proteomics,-0.3626973227599256,0.0007523981233515778
572,ANKRD1_proteomics,-0.4224195566328908,0.0008600168184001347
485,CASP9_proteomics,-0.3718949961375605,0.0009400795905709304
596,ME1_proteomics,0.35128497708641293,0.00112889492706958
862,BCAR1_proteomics,0.34960102239710505,0.0011970364827551033
710,RASAL2_proteomics,-0.3459548394805167,0.0013575214478680185
530,HSPB1_proteomics,0.3435817687160049,0.0014721814478324225
702,CBR3_proteomics,0.3383669351248593,0.0017554734286682157
483,HRAS_proteomics,-0.335098273340401,0.0019572290234618826
902,SLC5A1_proteomics,0.6226809550659602,0.0019675986938305348
72,PLCB3_proteomics,0.3339855464058244,0.002030534888030796
87,FLNB_proteomics,0.3311960460642511,0.002225291138397202
247,F2_proteomics,0.3299106829769853,0.0023205590631608913
50,CES2_proteomics,0.32791649326242894,0.0024756304719117756
973,HSP90B1_proteomics,0.32719650414824464,0.002533864002064124
692,GFAP_proteomics,0.3266716726794151,0.0025770845307129695
852,ULK1_proteomics,-0.6079310380389001,0.002687290959253635
64,LAMB3_proteomics,0.3243774971013307,0.0027738807374542186
198,CTNNA1_proteomics,0.3226668907988923,0.0029292726794707567
745,MBP_proteomics,0.3213291009505346,0.003056181773387446
817,CREB1_proteomics,-0.320061701749923,0.003180928986348253
114,CASP3_proteomics,-0.3193499176595368,0.0032529676111910594
225,FAS_proteomics,0.31794013042236935,0.003399969441399776
428,RAF1_proteomics,0.31570061963964324,0.0036457134021487606
113,COL1A2_proteomics,0.3134659476862486,0.0039066022700169215
54,MAP4K3_proteomics,0.31327349346265887,0.003929830340035698
788,MAP4K1_proteomics,-0.3268259893923883,0.003957056934162849
66,APOA2_proteomics,0.3128497378571604,0.0039814094574327176
31,VCL_proteomics,0.3116648375800583,0.00412885015866869
479,EXOC2_proteomics,0.3087340470363046,0.004514623612537801
257,PARP1_proteomics,-0.3083254177679614,0.0045708809550693685
517,CPEB4_proteomics,0.3357514782124086,0.004796675943042915
574,LDHD_proteomics,0.33194195445537533,0.004996005908409111
907,PFKFB3_proteomics,0.3049721830101199,0.005056571819057576
752,RFC3_proteomics,-0.30476998486411744,0.005087270647381421
312,NOS3_proteomics,0.3307963726670175,0.005157678984695569
842,RELA_proteomics,0.30372610562010904,0.005248402756443386
507,SHOC2_proteomics,-0.30330044256083777,0.005315395539394594
124,TNXB_proteomics,0.30327214570487726,0.005319875772178249
953,HK3_proteomics,0.30316077597145574,0.005337541431528204
484,SERPINA1_proteomics,0.30250009773182696,0.005443412250467092
872,GNG5_proteomics,-0.30180634445011506,0.005556581378460648
