Trans_Gene,Correlation_Gbm,P_value_Gbm,Correlation_kidney,P_value_kidney,Correlation_Ovar,P_value_Ovar,Correlation_Brca,P_value_Brca,Correlation_Luad,P_value_Luad,Correlation_hnscc,P_value_hnscc,Correlation_colon,P_value_colon,Correlation_Lscc,P_value_Lscc
GRB2,-0.6108891162098071,1.8863841081443212e-11,-0.2174268000660176,0.02250643371172086,-0.1900896757516644,0.08520228333391508,-0.1773788287397987,0.057898783201392565,-0.3024385657756904,0.0013212650738275414,-0.532341215310538,2.5598240490135205e-09,0.15095975815868326,0.13994930017575194,-0.1980421818745076,0.039921257024180604
SOCS2,0.5627196030682289,1.3434640782638405e-09,,,,,,,,,0.020297085759036958,0.8984786025936004,,,0.4726244444703358,0.0003078070934863267
GLA,-0.5504906315237544,3.5702294261417187e-09,-0.2983475619308701,0.0015467040213645506,0.022300409189650275,0.8413944697645864,0.06950425537891887,0.4604531202999448,0.1637215958264345,0.08743921386645008,-0.019486448130398508,0.8406062323899077,0.0571180884023277,0.5784096355128465,-0.03387990450858264,0.7277701363997288
CTSC,-0.5462852751917662,4.951742478740451e-09,-0.30231627569503383,0.0013275453634613366,-0.07245331181889404,0.5150937260449772,0.26693956593905577,0.0039283528478327185,0.30276041161402084,0.001304865432522853,-0.05229691338380784,0.5891481436976277,0.19362077329735305,0.0574007923573951,-0.03749052369032016,0.7000782623138282
SHC1,-0.5405244914396086,7.695117931637705e-09,,,0.17509752571894166,0.11335765212874994,0.09090809168094884,0.33392745153484177,-0.13584358113008238,0.2621637252120521,-0.0859102282091423,0.3744158658246564,0.2032501666619065,0.04585503691460885,0.13412103171686235,0.16639857079116724
SHC1,-0.5405244914396086,7.695117931637705e-09,,,0.17509752571894166,0.11335765212874994,0.09090809168094884,0.33392745153484177,-0.13584358113008238,0.2621637252120521,-0.0859102282091423,0.3744158658246564,0.2032501666619065,0.04585503691460885,0.13412103171686235,0.16639857079116724
ATP7A,-0.5224817306372646,2.9050654593125225e-08,0.008752207314704958,0.9276935868692144,0.13500691555824232,0.22364282802687852,0.16794023550873402,0.0728053660361469,0.21414384612394088,0.024676477875667385,0.14021775055461486,0.14588148842923754,,,-0.034116394443151815,0.7259451369742571
CD180,-0.5182666129723484,3.9188354698101024e-08,-0.0992893884826202,0.3020661770994463,-0.18042440816797334,0.10262861157235363,0.1814456401532185,0.05899728109387289,-0.034102576157929096,0.7235727949391719,-0.07414902744401906,0.4544203402408447,0.2228108752818761,0.14601322006652975,-0.09012945661214043,0.3535925333031576
WAS,-0.5019180366341212,1.2051684359689666e-07,-0.27981387372305405,0.003070749503077864,-0.09041309487565263,0.4162884463776179,0.1534959798405785,0.1014633894495014,-0.3379086881786271,0.00030580608749053087,-0.5034268684782973,2.4113325017541083e-08,0.2824011479649168,0.0050699254527539215,-0.18278129501446272,0.05830479613648248
NPC2,-0.498790591960705,1.4842485672807221e-07,-0.319133468723472,0.0006783668360179059,-0.1831929419070709,0.09737459732543156,0.2795993233274339,0.0024764008073463913,0.29251983063392983,0.001928339186059513,-0.07305004017430353,0.450320083769048,0.040840252387118685,0.6912338070282396,-0.018743971385647342,0.8473166359348507
IKBKE,-0.5197345389973977,1.5256152296365938e-07,0.060433261810288436,0.7383175332663969,0.1282506543801246,0.2478946209799429,0.11997229802757073,0.20155881002524,0.04013914967370348,0.6887508485656911,-0.10581279629939816,0.2997508788790289,,,0.03383597055928344,0.7281093439541069
CTSB,-0.4968953119173142,1.682242054480339e-07,-0.2263098922272121,0.01743634524964176,-0.03321076931872504,0.7656587852918936,0.34104789265687063,0.0001915971081969414,-0.2493331222817278,0.008619764294410723,0.2123973624310506,0.026603133243288942,0.09610549076684484,0.3490524928948286,0.13838733098242095,0.15320239761871712
ARHGAP45,-0.4925637699560174,2.233306774461418e-07,-0.2862066056706469,0.0024362925626127034,-0.0580097477380947,0.6024238977663449,0.08695292084627082,0.35547000733310496,-0.2275087684629171,0.016834190313942125,-0.4436198247737188,1.3562729523466459e-06,0.2311866435685125,0.02270479628358948,-0.20937190371014172,0.02965247359169657
OSTF1,-0.4842980609146354,3.794230400264636e-07,-0.4173499938529385,5.733814591989715e-06,-0.17883479083933715,0.10574383039170074,0.11505317487982668,0.2208014024604524,-0.2755570745759093,0.003571920049697225,-0.10454518428876132,0.2793111809770267,0.16261714707645614,0.1115098616647426,-0.05748792602674555,0.5545410014049038
APBB1IP,-0.4830555483585245,4.1039702836079743e-07,0.07551637860987524,0.4329841842676685,-0.15461292840221758,0.16282395308613493,0.1140099360351419,0.22504404189735366,-0.2771508905356152,0.003376268833257495,-0.3825552618620904,4.0390148162286515e-05,0.4043758593035532,3.992875980703307e-05,-0.1908849697186969,0.04782867714250243
CTSZ,-0.4817090471537244,4.4666869836978187e-07,-0.15616476436696952,0.10327668427595782,-0.12536020610436913,0.25880221208051396,0.2674715286461375,0.0038545748430105,-0.11145235030838976,0.2463809963609269,-0.2681026850317217,0.004823381419880478,0.01540984238483635,0.8809139361026624,-0.1768718309583372,0.06707322082597092
