Comparison,Correlation_Gbm,Correlation_hnscc,Correlation_Luad
EGFR,0.9999999999999998,1.0,1.0
PHLDA1,0.8168478152481624,0.6642710702729873,
GRB2,-0.6108891162098071,-0.532341215310538,-0.3024385657756904
SOCS2,0.5627196030682289,,
CDH4,0.5591797537196763,,
PLA2G15,-0.5566242323733048,,
DAB2,-0.5564015379913563,,
GLA,-0.5504906315237544,,
CTSC,-0.5462852751917662,,0.30276041161402084
CKB,0.5442462597158703,,
DCBLD2,-0.5653725668293248,,
ARNT2,0.5420787847456093,,
SHC1,-0.5405244914396086,,
SCPEP1,-0.531494133013942,,
ROBO2,0.5271277906035979,,
PHLDA3,0.5258827854613878,0.7637844857470779,
BLOC1S2,-0.5229648266822912,,
ATP7A,-0.5224817306372646,,
MEOX2,0.5458632466939957,,
CD180,-0.5182666129723484,,
FAM129B,-0.5149840251387472,,
SEC23IP,-0.5144035788843105,,-0.26661208835537786
TOR4A,-0.5138471291537452,,
XRN1,-0.5116564308207833,,
PCDH17,0.5060447136622968,,
WAS,-0.5019180366341212,-0.5034268684782973,-0.3379086881786271
LRP4,0.5008960940270109,,
ARHGAP4,-0.4989264348229207,-0.4664129768292121,
NPC2,-0.498790591960705,,0.29251983063392983
IKBKE,-0.5197345389973977,,
GPRIN3,-0.4978363548048215,-0.5445271846593618,
PPP1R18,-0.4972021285670396,,
NEO1,0.4969841203020866,,
CTSB,-0.4968953119173142,,
EPHB3,0.4960189368683785,0.3570800460487121,0.3547889384770181
KYNU,-0.4955165794395106,,-0.3413634076774579
LRRC75A,0.4954021585844763,,
RGMA,0.4950729034600597,,
CLIP2,0.4932799211035536,,
STAB1,-0.4929776568817793,-0.3690812190840141,-0.30056770558688306
ARHGAP45,-0.4925637699560174,-0.4436198247737188,
HSD17B11,-0.4918426646717746,-0.4021456901239445,
SVIL,-0.4913031523433264,,
SOX9,0.4906701048845136,,
DOCK10,-0.4897150736461749,-0.4211909004674405,
MITF,-0.5096486438817509,,
SH3BP1,-0.4884798437640261,,
GPHN,0.4865991159955391,,
DPP6,0.4863244796622994,,
ENG,-0.4856390335726473,,
ST14,-0.4846592320611137,,
ARHGAP27,-0.4844488272181881,,
OSTF1,-0.4842980609146354,,-0.2755570745759093
APBB1IP,-0.4830555483585245,-0.3825552618620904,-0.2771508905356152
PPP2R3A,-0.5037773152130771,,0.3484898309218405
COL6A2,-0.4827741454334567,,
HAAO,-0.48197358928803796,,-0.29123233925766445
CTSZ,-0.4817090471537244,-0.2681026850317217,
CSK,-0.481564725075465,-0.3802600095388597,-0.36156774738483016
THEMIS2,-0.4810653113683931,-0.4010718283582962,-0.2935074113715896
NFIA,0.4804297800333734,,
NIPSNAP2,0.4788812086777817,0.2699553552784687,0.42155672041097736
LANCL2,0.4787231306558208,0.7967283641326608,0.5888080582787203
RNF130,-0.4754253341978527,,
ARHGAP15,-0.4748493488654879,-0.3888292496480555,-0.31571400968009755
CD14,-0.4746481984106531,,
KCND3,0.4746196748668135,,
FCGRT,-0.4743710606768027,-0.2972067299371613,
ABCA1,-0.4740946903532618,,
ZYG11B,0.4738725020249037,,0.4427123003127549
BCR,0.47380283053930894,,
ARMT1,-0.4735976201606943,,
DOCK11,-0.47347615851379904,,
PLCG2,-0.4724528986019063,-0.3789496501144576,-0.40815336175374417
GGA2,-0.4714654913986547,,
SYK,-0.4708487814463348,-0.2984282292601957,
GBA,-0.4707960576500572,,0.3739493032962086
PROCR,-0.470784064713155,,
UAP1,-0.4701864303894616,,
CTNND2,0.4700018930346916,,
GMIP,-0.4698996531247181,-0.4827415434899717,
APC,0.4683330913466173,,
ARHGAP24,-0.4678576140628673,,
CD4,-0.467479032996641,-0.4172324388659395,
NCKAP1L,-0.4671625433058982,-0.4107485259871254,
ARHGAP30,-0.4670639849246152,-0.4656505687590924,-0.2890853981874569
PI4K2A,-0.4666231050334723,,
PIK3CD,-0.4662648948315302,,-0.33176003913986385
SCRN1,0.4659651498233915,,
BLOC1S1,-0.4658473823629272,,
LDLRAP1,-0.465400890732669,,
NPAS3,0.4651766456630772,,
FYB1,-0.4650349443921815,-0.3708165975212031,-0.2776553814679984
RASAL3,-0.4645787127341439,-0.4249307088419797,-0.28262273787687703
ADAP2,-0.4644349187011614,,
FAM19A5,0.4640521725822081,,
PARVG,-0.4631967506858821,-0.32543517894943025,
DOCK8,-0.4629196820492616,-0.4710626597250119,
MAN2A1,-0.4621881013097853,,
REL,-0.4611850658076229,0.37652670127265897,
LCP2,-0.4608809701320738,-0.3900975548371692,
CTNNB1,0.4608358789852845,,0.3474829302100987
EHBP1L1,-0.4600736240604506,,
DNAJC21,-0.4600181607794885,,0.4044848841339725
ABI3,-0.4585684170672143,-0.4401279828463472,
RAB3IL1,-0.4583886434542359,,
AIF1,-0.458124004543946,-0.32036573043644706,
MLC1,0.4580797432124604,,
FCGR2A,-0.4561475438424893,,
PLCB2,-0.4539868320636522,-0.3957625801954976,-0.29281540435637554
