,Comparison,Correlation_Gbm,Correlation_Brca,Correlation_Luad,Correlation_hnscc
2,GRB2_proteomics,-0.6108891162098071,,-0.3024385657756904,-0.532341215310538
7,GLA_proteomics,-0.5504906315237544,,,
8,CTSC_proteomics,-0.5462852751917662,0.26693956593905577,0.30276041161402084,
12,SHC1_proteomics,-0.5405244914396086,,,
17,ATP7A_proteomics,-0.5224817306372646,,,
19,CD180_proteomics,-0.5182666129723484,,,
25,WAS_proteomics,-0.5019180366341212,,-0.3379086881786271,-0.5034268684782973
28,NPC2_proteomics,-0.498790591960705,0.2795993233274339,0.29251983063392983,
29,IKBKE_proteomics,-0.5197345389973977,,,
33,CTSB_proteomics,-0.4968953119173142,0.34104789265687063,,
40,ARHGAP45_proteomics,-0.4925637699560174,,,-0.4436198247737188
52,OSTF1_proteomics,-0.4842980609146354,,-0.2755570745759093,
57,CTSZ_proteomics,-0.4817090471537244,0.2674715286461375,,-0.2681026850317217
65,CD14_proteomics,-0.4746481984106531,0.252201482659813,,
73,PLCG2_proteomics,-0.4724528986019063,0.2686127470048235,-0.40815336175374417,-0.3789496501144576
75,SYK_proteomics,-0.4708487814463348,,,-0.2984282292601957
83,CD4_proteomics,-0.467479032996641,,,-0.4172324388659395
84,NCKAP1L_proteomics,-0.4671625433058982,,,-0.4107485259871254
100,LCP2_proteomics,-0.4608809701320738,,,-0.3900975548371692
101,CTNNB1_proteomics,0.4608358789852845,0.2675313477073756,0.3474829302100987,
108,FCGR2A_proteomics,-0.4561475438424893,0.3810238891579138,,
111,CTSL_proteomics,-0.4530784324156623,0.2913654666388807,,
125,MYO10_proteomics,0.4474781939588647,0.5158009122647153,,0.3706030282877606
126,FCGR3A_proteomics,-0.44714792640110335,0.2551058431474817,,-0.341007632865645
127,VAV1_proteomics,-0.44714281575333015,,,-0.43946391089850745
128,MAN2B1_proteomics,-0.4470946229040094,,,
129,HEXB_proteomics,-0.4468664074316057,,,
132,B4GALT1_proteomics,-0.44594460701449457,,,
133,GAA_proteomics,-0.4458984482707353,,,
137,RNASET2_proteomics,-0.4446926822173949,,,-0.3148212858831092
144,CTSS_proteomics,-0.4413047063447187,0.25104127479929383,,-0.4785301637263124
145,TYROBP_proteomics,-0.4398210914081671,,,
147,CD300A_proteomics,-0.4396928026611209,0.2809979603695153,,
153,GMFG_proteomics,-0.4382236838709577,,-0.41759865020681786,-0.33682161247322634
156,FCER1G_proteomics,-0.4375775282144457,,,
157,ABI2_proteomics,0.43736669249384297,,,
159,VAMP8_proteomics,-0.4371798002477917,,,
168,DOK3_proteomics,-0.4331266451370768,0.2467304724235917,,-0.3211521121775889
173,AMPD3_proteomics,-0.43196184325911535,,,
175,ARPC1B_proteomics,-0.4314725422377172,0.2903702776494769,,
183,DOCK2_proteomics,-0.42884069263366176,,-0.2917019737883516,-0.4400847028736206
184,PGM1_proteomics,0.4282548716357236,0.3484970962062566,,
194,HCK_proteomics,-0.4260010610637584,0.4023290968371758,,-0.2972727750269033
196,PLAUR_proteomics,-0.4256393559046623,0.4674275936294324,,0.27850352709489623
200,PTPRC_proteomics,-0.42495788600673146,,,-0.4023965480766871
204,WIPF1_proteomics,-0.4238181973608884,0.23230424680781514,-0.2875829935780019,-0.4332703408113532
205,BTK_proteomics,-0.4233800315892208,,-0.2780027066666871,-0.4548727098159328
206,ARPC3_proteomics,-0.4233302584972303,0.311783911240739,-0.3016987234555035,
214,TLR7_proteomics,-0.4214657674336453,,,
216,TCIRG1_proteomics,-0.4214257021892915,,,
220,CNPY3_proteomics,-0.4211264967824083,,,
223,FPR1_proteomics,-0.42089503362601977,,,
224,ALDH3B1_proteomics,-0.4208084927416039,,,
233,BRI3_proteomics,-0.4189446141231125,,,
236,FGL2_proteomics,-0.4183446680806845,,,-0.4335338962802843
257,CTSA_proteomics,-0.4145160484365489,,,
261,NFKB2_proteomics,-0.41429221012761336,,-0.40788741152781227,
270,ITGAL_proteomics,-0.41264408258515983,,,-0.4438449068890873
272,WIPF3_proteomics,0.4120990789075213,0.370668589655942,,
285,RELB_proteomics,-0.4087096386196151,,,
286,GLB1_proteomics,-0.4085894131018872,,,
290,CARD11_proteomics,-0.40816321074792977,,,-0.4048202958078945
293,CDC34_proteomics,0.4074059174559267,,0.3354557618790956,
297,WASF3_proteomics,0.4066422126456417,,,
298,NFKB1_proteomics,-0.406439468334648,,,
299,ARPC2_proteomics,-0.4063273917893301,0.2579989385852495,-0.2927053048353768,
300,MYO1C_proteomics,-0.4059147320458793,,-0.3358334732067911,
302,PYCARD_proteomics,-0.4058488671481377,-0.27638538006133057,,
305,FGB_proteomics,-0.4049360602227565,0.3030466701645084,,
308,LRMP_proteomics,-0.404324668295278,,-0.2785986438135194,-0.3420216403731371
309,PLEKHO2_proteomics,-0.4036127628005014,,,-0.34548879828584084
311,FCGR1A_proteomics,-0.4033354510682863,,,
319,PTPN6_proteomics,-0.4020169106226247,,-0.3719903148809657,-0.411321190584976
323,LAIR1_proteomics,-0.4005065889292933,0.31087112910530823,,
332,TLR1_proteomics,-0.4174059480487964,,,
343,TLR2_proteomics,-0.3972848596462735,0.3673434292560128,,
350,FGG_proteomics,-0.3962754476192997,0.2843536972909521,,
355,LRRFIP1_proteomics,-0.3953881522168185,,,
364,STAT6_proteomics,-0.39394272426454735,,,
370,NFATC2_proteomics,-0.3926023250196009,,,-0.4575363475179721
374,SERPINB1_proteomics,-0.3920407666033816,-0.3283548000476273,,
399,CAPZA1_proteomics,-0.3877653201176855,0.3116774846287605,,
402,C3AR1_proteomics,-0.38719349078088616,,,
415,C1QB_proteomics,-0.3839822720197488,,,
416,YES1_proteomics,0.3837622605810781,0.4091589127943173,,0.3455594680441884
418,ANPEP_proteomics,-0.3836084658525468,,0.27251177005671817,
420,PPP2R1A_proteomics,0.3833203756976344,-0.24386034892584474,,
421,CD33_proteomics,-0.3832688389438477,,,
430,ALOX5_proteomics,-0.3822872542592339,,,-0.2744756427264513
443,BCL10_proteomics,-0.38103971787615976,0.35890269716295337,,
445,FGA_proteomics,-0.3808888887386007,0.2640728242315118,,
460,PECAM1_proteomics,-0.3774539664801754,0.3590347847095541,,-0.4779330904632045
464,ACTR2_proteomics,-0.3770503123017503,0.3966697765807344,,
469,TMEM179B_proteomics,-0.3934368870119791,,,
482,C2_proteomics,-0.3738105608189829,0.2676132345732469,,
483,MAPKAPK2_proteomics,-0.37380392790261385,-0.3581469148557264,,
485,MEF2A_proteomics,-0.3909829681060932,,,
486,BIN2_proteomics,-0.37356055163434976,,-0.3161282602916736,-0.4664942654255621
491,ARHGAP9_proteomics,-0.3730692598974983,,,-0.300843765794352
493,TXNDC5_proteomics,-0.3726049898938227,0.2374207931864575,-0.32586771014741145,
495,ARSB_proteomics,-0.3725753998120905,0.2619990303975959,,
496,BST1_proteomics,-0.3724119850517367,,,
500,MAPK13_proteomics,-0.4092096496132467,,0.2792365828322856,
506,FUCA1_proteomics,-0.3710356484250017,-0.300690093706931,,-0.3248929874764853
507,STK10_proteomics,-0.3710072574688166,,-0.2732074940314969,-0.353202366441315
509,MVP_proteomics,-0.3709749515839745,,0.31835536508664986,
511,CAP1_proteomics,-0.3707490114748184,,,
519,PTPRJ_proteomics,-0.3691836692055672,0.31559304916424186,,
526,VCL_proteomics,-0.3683183134509628,0.3220372527383705,,
539,AHCYL1_proteomics,0.3661380038168845,-0.3473447483429967,0.3488739584145786,
551,MNDA_proteomics,-0.3646897914453881,0.2924195997272221,,
552,CST3_proteomics,0.36463110585142383,,,
556,CFI_proteomics,-0.3638984730040469,,,
568,S100A11_proteomics,-0.3619218525477411,0.3554982139347125,,
589,LY96_proteomics,-0.4478720257189835,,,
592,CD53_proteomics,-0.3588536156536186,,,-0.28156624335955216
595,A1BG_proteomics,-0.35849885166853845,,,
