,Difference_In_Median_Brca,Difference_In_Median_Endo,Difference_In_Median,present_absent
ACTR8,-0.12905,-0.13715,,True
AIFM1,-0.7392,,-0.2925,True
C12orf57,-0.5579999999999999,,-0.0992,True
CBLB,,-0.1627,-0.3236,True
COQ7,-0.945,,-0.2253,True
COQ8A,-0.8793,,-0.4324,True
COX6C,-1.0049,,-0.13249999999999998,True
ELP4,0.26370000000000005,,0.2773,True
FTH1,-0.4991,-0.02899999999999998,,True
GABARAPL2,-0.84565,,-0.273,True
GDAP2,-0.5769500000000001,,-0.15489999999999998,True
GSTM1,-3.74005,-1.1815000000000002,,True
KRT15,0.8351,1.1386,,True
MAPRE2,-0.7826000000000001,-0.4124999999999999,,True
NUBP1,,0.16199999999999995,0.2172,True
OXSM,-0.9021,,-0.2024,True
PARVB,-0.7498,-0.29849999999999993,,True
PCSK1,-1.31635,-0.45795,,True
PPDPF,-1.00515,-0.57915,,True
PRKAR1B,-1.10955,,-1.012,True
SH2D4A,1.3112,0.35600000000000004,,True
SMOC1,-1.3532000000000002,-0.5785,,True
STEAP4,-0.8516999999999997,-0.3513000000000001,,True
SUDS3,-0.32799999999999996,,-0.03025,True
TNKS1BP1,0.7118000000000001,,0.1887,True
