,Difference_In_Median,P_Value,cancer_type,comparison,size
ATAD3A,,,colon,ATAD3A,
ATP5S,,,colon,ATP5S,
C1QBP,,,colon,C1QBP,
CHCHD2,,,colon,CHCHD2,
COL5A1,,,colon,COL5A1,
COX6A1,,,colon,COX6A1,
DNAJC19,,,colon,DNAJC19,
EMILIN1,,,colon,EMILIN1,
ENO2,,,colon,ENO2,
ETFRF1,,,colon,ETFRF1,
FAHD1,,,colon,FAHD1,
FAM160A1,,,colon,FAM160A1,
FMC1,,,colon,FMC1,
GRPEL1,,,colon,GRPEL1,
HACE1,,,colon,HACE1,
HSPA9,,,colon,HSPA9,
IDH3A,-0.12850000000000006,0.036229817601588166,colon,IDH3A,16.589364042728914
IDH3B,,,colon,IDH3B,
LAMA1,,,colon,LAMA1,
MDH2,,,colon,MDH2,
MRC2,,,colon,MRC2,
MRPL1,,,colon,MRPL1,
MRPL18,,,colon,MRPL18,
MRPL48,,,colon,MRPL48,
MRPS10,,,colon,MRPS10,
MRPS12,,,colon,MRPS12,
MRPS15,,,colon,MRPS15,
MRPS16,,,colon,MRPS16,
MRPS18B,,,colon,MRPS18B,
MRPS26,,,colon,MRPS26,
MRPS35,,,colon,MRPS35,
NDUFAF1,0.31405,0.028727687269400462,colon,NDUFAF1,17.749469540168857
OXNAD1,,,colon,OXNAD1,
PET117,,,colon,PET117,
PRSS8,-0.536,0.016064970085858082,colon,PRSS8,20.655570742426313
TFAM,,,colon,TFAM,
THY1,,,colon,THY1,
TST,,,colon,TST,
VCAN,,,colon,VCAN,
ATAD3A,0.31699999999999995,0.048268036156545936,endo,ATAD3A,15.15492857346024
ATP5S,0.34516,0.04867987819863785,endo,ATP5S,15.112447564740773
C1QBP,0.4159999999999999,0.005123652472175127,endo,C1QBP,26.369438603944616
CHCHD2,0.5285000000000001,0.0017098879968886055,endo,CHCHD2,31.856637047541337
COL5A1,-0.31799999999999995,0.013737346583043777,endo,COL5A1,21.438185635320362
COX6A1,0.30299999999999994,0.041836447135604825,endo,COX6A1,15.869936891640055
DNAJC19,0.36200000000000004,0.0039328499407759,endo,DNAJC19,27.691954700719585
EMILIN1,-0.528,0.027644274568623287,endo,EMILIN1,17.94168320248949
ENO2,0.6609999999999999,0.048611946197502726,endo,ENO2,15.119429858740935
ETFRF1,0.4585,0.019282429948358774,endo,ETFRF1,19.74280481537764
FAHD1,0.4315,0.03104024994107198,endo,FAHD1,17.362352657371403
FAM160A1,0.3065,0.023052876265878455,endo,FAM160A1,18.84982366777598
FMC1,0.31861799999999996,0.029264074502478324,endo,FMC1,17.65697320731065
GRPEL1,0.5538,0.025599507568583896,endo,GRPEL1,18.325910816419093
HACE1,-0.3925,0.037604009081856696,endo,HACE1,16.403223048764065
HSPA9,0.3281,0.04010962433658796,endo,HSPA9,16.08069482536653
IDH3A,0.4116000000000001,0.00677744346882536,endo,IDH3A,24.970776588165975
IDH3B,0.4612000000000001,0.006565577033582305,endo,IDH3B,25.129574398235533
