,Difference_In_Median_Brca,P_Value_Brca,Difference_In_Median_Endo,P_Value_Endo,Difference_In_Median,P_Value
A2ML1,,,1.10585,0.03704373350775898,,
AADAT,-1.3319999999999999,0.027477375707478158,,,,
AAGAB,,,,,0.139,0.03918868066524861
AASDHPPT,0.51445,0.003619982442132261,,,,
AATF,-0.16904999999999998,0.04227084076304375,,,,
ABCA13,0.6373500000000001,0.021190331205730627,,,,
ABCC5,0.6895500000000001,0.049307575502703295,,,,
ABCF3,0.33264999999999995,0.036960780018485635,,,,
ABHD10,-0.9098,0.004309674700558185,,,,
ABHD16A,,,,,-0.1912,0.03568436377722542
ABL1,0.40015,0.00043869712034576465,-0.16100000000000006,0.027486473157456708,,
ABRACL,-1.8836,0.0034156704496484274,,,,
ACADM,-0.613,0.035629035103045284,,,,
ACADVL,,,0.3909,0.02543467376250317,,
ACAP2,0.5094000000000001,4.585810623594815e-05,,,,
ACAT1,-0.7737499999999999,0.024438605214247143,,,,
ACBD7,-1.6087,0.0240448497513777,,,,
ACE,,,-0.5985999999999999,0.01814929578220837,,
ACE2,-2.39485,0.04953561115670412,,,,
ACO2,-0.5835,0.013562906104125552,,,,
ACOT13,-0.851,0.004786709777496221,,,,
ACOT9,,,0.37104499999999996,0.0101607212985399,-0.2495,0.02955532028060454
ACP5,,,-0.3838,0.037172115756583336,,
ACSF2,,,0.3605,0.02279206163570937,,
ACSF3,-0.56445,0.014692147736147434,,,,
ACTR8,-0.12905,0.04462639752325726,-0.13715,0.02669000901244796,,
ACVR1,1.24605,0.031007263501433388,,,,
ADAMTS12,1.0132,0.0426983818112765,,,,
ADAMTS2,,,-0.5453,0.03692382876080552,,
ADARB1,,,-0.23850000000000005,0.038365294788221684,,
ADGRE2,-1.0720999999999998,0.029641472940203882,,,,
ADGRE5,-0.77135,0.04467186747923872,,,,
ADPRH,-0.368,0.033002881298656896,,,,
AES,,,,,0.7695000000000001,0.0001670490905729558
AFDN,-0.87435,0.00530767310369508,,,,
AFMID,,,-0.1477,0.027774779281003758,,
AGAP3,-0.12329999999999995,0.034388690224888725,,,,
AGK,-0.48525,0.021175087033074386,,,,
AGPAT3,0.5583499999999999,0.03328968864231428,,,,
AGTPBP1,,,-0.2007,0.022191200095440282,,
AHCYL2,-0.6033,0.0031985770955019954,,,,
AIFM1,-0.7392,0.007175976056328958,,,-0.2925,0.045816570242887086
AIFM2,-0.3651,0.029147902422586105,,,,
AK2,-0.5749000000000001,0.004140626040960629,0.23744,0.02075936277624673,,
AK3,-0.5762499999999999,0.011506445548581452,,,,
AKAP11,,,-0.183,0.015665954108402567,,
AKAP8,,,,,0.218,0.0057798281997143595
AKAP8L,-0.5338,0.008009506905647184,,,,
AKT2,,,-0.2746,0.022383040775346825,,
ALDH2,,,0.5016,0.01057960242037781,,
ALDH5A1,-1.8812,0.0029509568121757835,0.2795,0.04209430015540359,,
ALDH7A1,,,0.3860000000000001,0.017616170950955534,,
ALKBH4,,,-0.2211,0.0453812241043491,,
ALKBH5,-0.411,0.030341527970024613,,,,
ALPK1,,,-0.3837,0.008562896482612178,,
ANAPC15,,,-0.943,0.0346062197285509,,
ANKHD1-EIF4EBP3,,,0.3069,0.023177582263825224,,
ANKRD16,-0.42275,0.021726045972835163,,,,
ANKRD40,,,-0.2811,0.023025456861487728,,
ANKRD46,,,-0.3696,0.02521349673073196,,
ANKS1A,-0.4415,0.03216582200959225,,,,
ANO10,0.5287000000000001,0.038978282901063865,,,,
ANO6,,,-0.45,0.03853660086167365,,
ANXA3,,,0.4945,0.04427587868958047,,
ANXA8,1.4107499999999995,0.005899506581236942,,,,
ANXA8L1,0.8424000000000001,0.010792797031687,,,,
AOC3,,,-0.3670000000000001,0.02718232599233671,,
AP2A1,0.42455,0.04541051128385334,,,,
AP2B1,,,-0.16300000000000006,0.031132787542722955,,
AP2M1,0.6477999999999999,0.005171516327792806,-0.2204,0.034346803952161345,,
AP2S1,,,-0.2247,0.04315735598852189,,
AP3S1,,,,,0.043050000000000005,0.048166132654656184
APBB1,,,-0.2625,0.035791317416691934,,
APOO,,,0.6475,0.010358041755937636,,
APPL2,,,,,-0.2115,0.01732424587613576
ARHGAP17,,,-0.046000000000000034,0.04237786927544082,,
ARHGDIA,-0.325,0.04397488715122149,,,,
ARHGEF1,,,-0.2289,0.01499823599572931,,
ARHGEF12,0.5202,0.03671281807160221,,,,
ARHGEF18,,,,,0.33190000000000003,0.00863694216371457
ARL15,,,-0.28179999999999994,0.032943915033898825,,
ARL2,-0.5847,0.0443084376679173,,,,
ARL4C,1.1912,0.021795478101176453,,,,
ARL6IP4,,,0.09717999999999999,0.03848610539957737,,
ARL8B,,,,,-0.2673,0.04140302958185015
ARMC5,1.1857000000000002,0.015018637374280224,,,,
ARMC9,1.07515,0.02575191840249302,,,,
ARNT,0.18105,0.03505092175800741,-0.2975,0.016755413318828943,,
ARPC5,,,-0.13849999999999998,0.02548438557718235,,
ASCC3,0.41885,0.002877099171200873,,,,
ASNSD1,-0.49975,0.037167289876203914,,,,
ASPA,-1.1423,0.03135671628825748,,,,
ATAD3A,-0.90185,0.003493584592827842,0.31699999999999995,0.048268036156545936,,
ATG16L1,,,,,-0.2247,0.03131187606237544
ATG4A,0.718,0.028062653515108445,,,,
ATM,0.31025,0.048371833788768664,,,,
ATP5A1,-0.54815,0.004936176440879277,,,,
ATP5B,-0.5257999999999999,0.0198844257181538,,,,
ATP5C1,-0.47585,0.01613237104243136,,,,
ATP5H,-0.45605,0.005847004255698272,,,,
ATP5J,-0.63225,0.02642129520031644,,,,
ATP5O,-0.4458,0.02174777928289149,,,,
ATP5S,-0.64845,0.017750438533159888,0.34516,0.04867987819863785,,
ATP6V0D1,-0.72045,0.02708159846312179,,,,
ATP6V1D,,,,,0.21,0.03296088679266945
ATP6V1F,,,,,0.2404,0.04127178310418808
ATP8A1,-0.51505,0.045666199042448036,,,,
ATPAF2,,,0.12199999999999996,0.011091348616659412,,
ATXN1,,,-0.35,0.0016863520711176893,,
ATXN3,0.3272,0.016896794872060486,,,,
AUH,-0.7585999999999999,0.0184893442199143,,,,
AVL9,,,0.112,0.0215990327603111,,
BAD,-1.16935,0.04152143169516311,,,,
BCL2L13,-0.51255,0.00792561706831416,,,,
