,Difference_In_Median,P_Value,cancer_type,comparison,size
ATAD3A,,,colon,ATAD3A,
ATP5S,,,colon,ATP5S,
C1QBP,,,colon,C1QBP,
CALML3,0.7031499999999999,,colon,CALML3,
CHCHD2,,,colon,CHCHD2,
CHTF8,-0.74495,,colon,CHTF8,
COL5A1,,,colon,COL5A1,
COX6A1,,,colon,COX6A1,
DNAJC19,,,colon,DNAJC19,
EMILIN1,,,colon,EMILIN1,
ENO2,,,colon,ENO2,
ETFRF1,,,colon,ETFRF1,
FAHD1,,,colon,FAHD1,
FAM160A1,,,colon,FAM160A1,
FMC1,,,colon,FMC1,
GRPEL1,,,colon,GRPEL1,
HACE1,,,colon,HACE1,
HSPA9,,,colon,HSPA9,
IDH3A,0.12850000000000006,0.036229817601588166,colon,IDH3A,0.33178728085457826
IDH3B,,,colon,IDH3B,
KRT14,0.4849999999999999,,colon,KRT14,
LAMA1,,,colon,LAMA1,
MAPKAPK5,0.3078,,colon,MAPKAPK5,
MARK1,-0.456,,colon,MARK1,
MDH2,,,colon,MDH2,
MELTF,-0.7355499999999999,,colon,MELTF,
MRC2,,,colon,MRC2,
MRPL1,,,colon,MRPL1,
MRPL18,,,colon,MRPL18,
MRPL48,,,colon,MRPL48,
MRPS10,,,colon,MRPS10,
MRPS12,,,colon,MRPS12,
MRPS15,,,colon,MRPS15,
MRPS16,,,colon,MRPS16,
MRPS18B,,,colon,MRPS18B,
MRPS26,,,colon,MRPS26,
MRPS35,,,colon,MRPS35,
NDUFAF1,-0.31405,0.028727687269400462,colon,NDUFAF1,0.3549893908033771
OXNAD1,,,colon,OXNAD1,
PET117,,,colon,PET117,
PRSS8,0.536,0.016064970085858082,colon,PRSS8,0.41311141484852626
TFAM,,,colon,TFAM,
THY1,,,colon,THY1,
TST,,,colon,TST,
VCAN,,,colon,VCAN,
ATAD3A,-0.31699999999999995,0.048268036156545936,endo,ATAD3A,0.30309857146920477
ATP5S,-0.34516,0.04867987819863785,endo,ATP5S,0.30224895129481544
C1QBP,-0.4159999999999999,0.005123652472175127,endo,C1QBP,0.5273887720788923
CALML3,,,endo,CALML3,
CHCHD2,-0.5285000000000001,0.0017098879968886055,endo,CHCHD2,0.6371327409508267
CHTF8,,,endo,CHTF8,
COL5A1,0.31799999999999995,0.013737346583043777,endo,COL5A1,0.42876371270640723
COX6A1,-0.30299999999999994,0.041836447135604825,endo,COX6A1,0.3173987378328011
DNAJC19,-0.36200000000000004,0.0039328499407759,endo,DNAJC19,0.5538390940143917
EMILIN1,0.528,0.027644274568623287,endo,EMILIN1,0.3588336640497898
ENO2,-0.6609999999999999,0.048611946197502726,endo,ENO2,0.3023885971748187
ETFRF1,-0.4585,0.019282429948358774,endo,ETFRF1,0.39485609630755275
FAHD1,-0.4315,0.03104024994107198,endo,FAHD1,0.3472470531474281
FAM160A1,-0.3065,0.023052876265878455,endo,FAM160A1,0.3769964733555196
FMC1,-0.31861799999999996,0.029264074502478324,endo,FMC1,0.353139464146213
