Proteomics,En_P_Value,En_Median
NOL10,0.0009150791853675396,-0.442
ABT1,0.0012419024397145968,-0.4851
TOPBP1,0.0012419024397145968,-0.61795
UTP25,0.0012419024397145968,-0.7345
RIF1,0.001589775543608556,-0.5464
L1CAM,0.001589775543608556,-1.8219999999999998
ESF1,0.0015957317640966642,-0.3886
SMG8,0.002102970920035779,-0.21239999999999998
DDX52,0.002102970920035779,-0.5602
SENP2,0.002102970920035779,-0.4815
HOMER2,0.002102970920035779,0.903
CASP6,0.002102970920035779,0.569
DDX18,0.0021963011159990696,-0.4977
BSPRY,0.0021963011159990696,0.728
AP1M2,0.0021963011159990696,1.0050000000000001
USP39,0.0023495336402027138,-0.32670000000000005
NOP56,0.002384618891075856,-0.47115
ARVCF,0.002384618891075856,0.7979999999999999
SLC4A1AP,0.002401371701587965,-0.6058
FBXO38,0.002401371701587965,0.44465999999999994
STAT1,0.0024147562831200627,-0.937
LSG1,0.002564234282066786,-0.202589
ANK3,0.0025693897823640165,0.6970000000000001
LIMA1,0.002766233829602722,0.497
DCAF13,0.003060705618424847,-0.3538
ALG2,0.0032373784952257007,0.386
UTP3,0.0032373784952257007,-0.4357
AATF,0.0032373784952257007,-0.34800000000000003
TNK2,0.0032373784952257007,-0.47
NGDN,0.0032373784952257007,-0.4650000000000001
HEATR1,0.0032373784952257007,-0.48160000000000003
XPO5,0.003359394937447175,-0.5053
HSPBAP1,0.0036053523434487816,-0.718
WDR46,0.003620960795800312,-0.4603
CEBPZ,0.0037635820863298496,-0.3817
CMTR1,0.0038378362357953835,-0.3909
GRB7,0.0038378362357953835,-1.259
ARFIP1,0.0038378362357953835,0.42699999999999994
KCTD14,0.0038378362357953835,1.2069999999999999
WDR75,0.004071290132414415,-0.4283
KIF27,0.004071290132414415,0.5860000000000001
DCTN4,0.004204133399387559,0.262
CMSS1,0.004327644138979881,-0.5609999999999999
EPSTI1,0.004397162423166054,-1.294
BCL2L1,0.0045711538387011984,-0.5044
WDR43,0.0045711538387011984,-0.5517
PLEKHA7,0.0045711538387011984,0.44500000000000006
TRMT6,0.004633855569210915,-0.4623
REXO4,0.004633855569210915,-0.46001000000000003
KIF13B,0.005004049772753158,0.696
SGSM3,0.005004049772753158,0.653
TJP3,0.0051496461503274076,0.5498000000000001
MTHFD2,0.005323911447505297,-0.8711
ZBP1,0.005430806773470915,-1.0907
GLTP,0.005430806773470915,0.519
DDX56,0.005459756698794961,-0.35910000000000003
TTC9,0.005459756698794961,0.807
SUPT6H,0.005459756698794961,-0.1673
PSMB7,0.005466001981728225,0.334
ADAR,0.005686660613580932,-0.40278
PDLIM1,0.00569971434842527,0.7169999999999999
ACTR10,0.00569971434842527,0.2066
ST14,0.00569971434842527,0.49499999999999994
PLK1,0.005761286352162698,-0.7329999999999999
LRBA,0.005829312864402071,0.603
GMDS,0.005829312864402071,0.8959999999999999
IMP4,0.006414791185609871,-0.4177
BOP1,0.006661834495742991,-0.2713
ATP5IF1,0.006969083770153809,0.723
ACOX3,0.006996369404163967,0.796
BIRC2,0.007142474961101441,0.1923
EIF2AK2,0.007269551373647684,-0.43999999999999995
TNKS1BP1,0.007834972584866116,0.2203
CA8,0.007834972584866116,0.977
UTP6,0.007839725370431988,-0.33774000000000004
NOL6,0.008097523499035475,-0.2747
ARFIP2,0.008194364150241266,0.644
DDX27,0.008308395458033024,-0.35860000000000003
SETDB1,0.008872618477670565,-0.18566
RNMT,0.008872618477670565,-0.3418
