Proteomics,Lscc_P_Value,Lscc_Median
ATAD1,6.493982783305725e-06,-1.34185
BTAF1,0.0011359715126109603,-0.59625
VPS26A,0.04709618907791713,-0.45299999999999996
KIF20B,0.06464046949572017,-1.1310499999999999
SLK,0.08380615158640904,-0.61615
WAPL,0.08380615158640904,-0.4256
ZSWIM8,0.08380615158640904,-0.44155
LZTS2,0.11339445396240805,-0.47255
CWF19L1_isoform_1,0.1290336083932932,-0.61765
NOLC1,0.33287225213694016,-0.78385
PDLIM1,0.33287225213694016,-0.6973
RNF10,0.33287225213694016,-0.7142000000000001
DLG5,0.36690347160434056,-0.8748
VPS35,0.36690347160434056,-0.24970000000000003
ARID5B,0.36690347160434056,-0.5539499999999999
MMS19,0.36690347160434056,-0.35665
KLHL36,0.36690347160434056,-0.6642499999999999
ZMIZ1,0.36690347160434056,-0.31395
FRA10AC1,0.36690347160434056,-0.89625
ADK,0.404233291641168,-0.527
KIF1BP,0.404233291641168,-0.552
PLCD3,0.404233291641168,-0.6411
TRMT10A,0.404233291641168,0.90255
PGAM1,0.404233291641168,-0.6114
ANXA8L1,0.404233291641168,-2.85795
METTL2B,0.4512983635921564,0.30754999999999993
KIAA1551,0.46267073943252096,-0.8429
ENKD1,0.4640221178764776,-1.5439000000000003
PRNP,0.4667910238598598,-0.97045
ULBP3,0.4679325278168077,-0.95575
VCP,0.4679325278168077,0.5741499999999999
PIAS2,0.4679325278168077,0.65605
CEP55,0.4679325278168077,-1.2638
NHLRC2,0.4679325278168077,-0.31604999999999994
FBXO2,0.4679325278168077,-1.5655999999999999
PI4K2A,0.4679325278168077,-0.7358500000000001
ANXA8,0.4679325278168077,-2.4326
EML6,0.4679325278168077,-0.6714
INTS10,0.4679325278168077,0.34475
ANXA7,0.4679325278168077,-0.5
KIZ,0.4679325278168077,-0.8331999999999999
TXNIP,0.475240253109029,-0.90945
SASH1,0.475240253109029,0.2702500000000001
VKORC1L1,0.475240253109029,0.7646
INTS2,0.475240253109029,0.24054999999999999
TLDC1,0.475240253109029,-1.1372499999999999
MECOM,0.475240253109029,-0.85315
EBNA1BP2,0.4993425096723444,-0.5211
ECD,0.5031712307487045,-0.3512
PQLC1,0.5031712307487045,1.15645
THSD4,0.5031712307487045,-0.8609
MYOF_isoform_1,0.5031712307487045,-1.01795
NT5C2,0.5153499795973439,-0.44934999999999997
COX15,0.5153499795973439,-0.8115
GNAO1,0.5153499795973439,-0.70655
ITPRIP,0.5153499795973439,-0.7993
PCGF5,0.5153499795973439,-0.77945
NUDT11,0.5153499795973439,-0.53235
LONP1,0.5153499795973439,0.5834999999999999
ADO,0.5153499795973439,-0.36745000000000005
SNCG,0.5153499795973439,-1.30835
ADD3_isoform_1,0.5153499795973439,-0.4766499999999999
VPS29,0.5153499795973439,-0.3059
OGA,0.5153499795973439,-0.50265
GBA2,0.51857907358594,0.39365000000000006
SIGMAR1,0.51857907358594,1.2779500000000001
