Proteomics,Ov_P_Value,Ov_Median
MMS19,0.00011015882743118954,-0.324897269
PI4K2A,0.32285304479912774,-0.2983992645
RACK1,0.32285304479912774,-0.191249766
PGAM2,0.35527492406541905,-0.292221179
RRP12,0.35527492406541905,-0.30570502
WAPL,0.35527492406541905,-0.218775051
IDE,0.35527492406541905,-0.208025495
ANKRD17,0.44464743234440485,0.0962665825
COX15,0.7274795422540788,-0.43076859449999994
ARIH1,0.7274795422540788,-0.330249858
RPS9,0.7274795422540788,-0.1779677105
TTC30B,0.7601826734918583,-0.20878083349999998
EIF3E,0.7601826734918583,-0.18040021
PGAM1,0.8233425840044174,-0.19422457099999998
UFD1,0.8233425840044174,0.2369979225
H2AFY2,0.9011981972205682,-0.404331745
TM9SF3,0.9011981972205682,-0.25738707950000006
NFKB2,0.9061905051848652,-0.2977065
CWF19L1,0.9061905051848652,-0.2758395415
OSBP2,0.9061905051848652,0.188869001
ACYP2_isoform_1,0.9061905051848652,
TK1,0.9061905051848652,0.33652832099999996
POLR2L,0.9061905051848652,-0.257466097
OSTF1,0.9061905051848652,0.215395446
PHF23,0.9061905051848652,-0.260007328
ACYP2,0.9061905051848652,0.21584154250000004
CBS,0.9061905051848652,-0.47306821999999993
CA12,0.9061905051848652,0.2959242584999999
DLGAP4,0.9061905051848652,-0.1926493685
SH3BP4,0.9061905051848652,-0.273316741
CARD16,0.9061905051848652,0.374411363
FLOT2,0.9061905051848652,-0.16899594999999998
KRT3,0.9061905051848652,-0.37419092249999997
THEMIS2,0.9061905051848652,-0.2578313905
CFHR4,0.9061905051848652,0.19322234249999998
KRT76,0.9061905051848652,-0.37231437850000004
TSSC4,0.9061905051848652,-0.1646063045
ITGA4,0.9061905051848652,0.2329938335
STXBP6,0.9061905051848652,0.5117342684999999
POLE3,0.9061905051848652,0.4195164370000001
GCN1,0.9061905051848652,-0.15394339549999997
CMPK1,0.9061905051848652,0.340612084
RNPS1,0.9061905051848652,-0.140451726
NFU1,0.9061905051848652,0.2886743735
NFKB2_isoform_1,0.9061905051848652,
TROVE2,0.9061905051848652,-0.1759584445
EIF3L,0.9061905051848652,-0.205736177
CTNNBL1,0.9061905051848652,-0.23081829999999998
RPUSD2,0.9061905051848652,-0.2501126545
ANKHD1-EIF4EBP3,0.9061905051848652,0.1415339135
ANKHD1,0.9061905051848652,0.1415339135
BCL7A,0.9061905051848652,-0.24127243450000005
RRP8,0.9061905051848652,-0.1972807995
TRAF2,0.9061905051848652,0.2532507135
ATPAF1,0.9061905051848652,0.38801983799999995
SCLY,0.9061905051848652,-0.2352031215
IFI30,0.9061905051848652,0.25165405150000003
EDC3,0.9061905051848652,-0.142351399
CPNE1,0.9061905051848652,-0.4239078175
PRKAR2A,0.9061905051848652,-0.12585054499999998
PCYT2,0.9061905051848652,0.2261912655
TOR1B,0.9061905051848652,0.338964113
SLC1A3,0.9061905051848652,0.586791363
ATP6V1D,0.9061905051848652,0.18940976150000002
AHCY,0.9061905051848652,-0.23368201500000005
IL17RA,0.9061905051848652,0.22806012850000001
ATP1A1,0.9061905051848652,0.3241204235
RPL15,0.9061905051848652,-0.2535337705
TMEM11,0.9061905051848652,-0.22502065999999998
ZCCHC6,0.9061905051848652,0.1934292595
EIF3H,0.9061905051848652,-0.19506642300000002
RPL3,0.9061905051848652,-0.1930539095
EIF3C,0.9061905051848652,-0.1379231705
EIF3A,0.9061905051848652,-0.13087727049999998
ATP2B3,0.9061905051848652,-0.19900716300000004
DOCK1,0.9061905051848652,-0.296575587
IMPDH2,0.9061905051848652,-0.25513196
DOCK1_isoform_1,0.9061905051848652,
RPL3L,0.9061905051848652,-0.4475394275000001
FCGR2B_isoform_1,0.9061905051848652,
FCGR2B,0.9061905051848652,0.405523727
TMED10,0.9061905051848652,-0.13612789749999998
TGIF2,0.9061905051848652,-0.4507884629999999
CNP,0.9061905051848652,-0.231302573
NOLC1_isoform_1,0.9061905051848652,
SHKBP1,0.9061905051848652,0.3322790035
SYK,0.9061905051848652,0.4056184745
PLEKHF2,0.9061905051848652,0.23981622
FYCO1,0.9061905051848652,-0.2040887615
PIK3R2,0.9061905051848652,0.2409862715
TALDO1,0.9061905051848652,-0.2067541415
SYK_isoform_1,0.9061905051848652,
FRA10AC1,0.9061905051848652,-0.30216008850000003
PIK3CA,0.9061905051848652,0.19929612950000003
HIF1AN,0.9061905051848652,-0.2544566625
ABLIM1_isoform_1,0.9061905051848652,
ABLIM1,0.9061905051848652,-0.38233851
MPV17,0.9061905051848652,-0.4649596305
DHRS7B,0.9061905051848652,-0.17392702300000001
UBE2V2,0.9061905051848652,-0.1405321365
ARHGEF37,0.9061905051848652,0.402654175
NOLC1,0.9061905051848652,-0.43581221849999996
RAB5B,0.9061905051848652,-0.089067541
ARL8A,0.9093159693085107,-0.12413486900000001
IFT81,0.9093159693085107,-0.19764998099999997
MOSPD2,0.9222319094666562,0.241925584
KRT84,0.9222319094666562,-0.4232765205
LMBR1,0.9222319094666562,-0.5026454870000001
IGF2BP2,0.9236802407770882,-0.45314684200000005
THEM4,0.9236802407770882,-0.415683254
MPPE1,0.9236802407770882,0.8075583835
FAM96B,0.9236802407770882,-0.12385263999999999
RPRD1B,0.9236802407770882,-0.364273539
TMED4,0.9236802407770882,-0.319232203
DGKE,0.9236802407770882,0.29428102300000003
PREPL,0.9390511388664053,0.2880075895
KRT79,0.9615785544238649,-0.376727283
ECHDC2,0.9615785544238649,0.254826026
MT1H,0.9664456660869182,1.0721456745000002
EIF4A2,0.9664456660869182,-0.113001869
ADD3_isoform_1,0.9664456660869182,
ADD3,0.9664456660869182,-0.313592644
ATP1A3,0.9664456660869182,0.282862296
GHITM,0.9664456660869182,-0.28122514049999997
TRUB1,0.9664456660869182,-0.258005607
NOL6,0.9664456660869182,-0.1049402515
RPL10,0.9664456660869182,-0.1994067135
RPL22,0.9664456660869182,-0.18767572449999997
CCDC59,0.9664456660869182,-0.3045236655
MBLAC1,0.9664456660869182,-0.3298234125
MYLK2,0.9664456660869182,-0.35053565900000005
FAM45A,0.9664456660869182,-0.22861376049999999
MAN2C1,0.9664456660869182,-0.19126580149999997
CD99,0.9664456660869182,0.491190291
FAM83D,0.9664456660869182,0.2881347935
B3GALNT1,0.9664456660869182,0.11469930250000002
FAM126B,0.9664456660869182,0.384725688
ARMC8,0.9664456660869182,0.13697678599999996
NAPA,0.9664456660869182,0.23939039399999998
CISD3,0.9664456660869182,-0.605270263
GREB1,0.9664456660869182,-0.46318250099999997
ATP6V0A1,0.9664456660869182,-0.29599488999999995
GLUD2,0.9664456660869182,-0.3054041775
RPLP2,0.9664456660869182,-0.1439882515
TMEM189-UBE2V1,0.9664456660869182,-0.09319214749999999
ANXA13,0.9664456660869182,-0.25080703649999997
FRYL,0.9664456660869182,0.20058930849999998
CAMSAP1,0.9664456660869182,0.232382269
PDCD4,0.9664456660869182,-0.274540473
ASPSCR1,0.9664456660869182,0.16697318049999998
CHAC2,0.9664456660869182,0.1907766565
POLDIP2,0.9664456660869182,-0.19830083999999998
KRT75,0.9664456660869182,-0.36760297699999994
FLCN,0.9664456660869182,-0.34454591850000005
QRICH1,0.9664456660869182,-0.12294446199999998
TJP1,0.9664456660869182,-0.30409976299999997
KRT78,0.9664456660869182,-0.4483286605
ART4,0.9664456660869182,0.784808795
PTPN14,0.9779253624367071,-0.10522062650000001
FBL,0.9779253624367071,-0.234948618
UTP6,0.9779253624367071,-0.2588473025
CD200,0.9779253624367071,-0.34435743150000003
CCDC186,0.9779253624367071,-0.12695121049999997
KRTDAP,0.9779253624367071,0.22202143899999993
MAP3K15,0.9779253624367071,0.17104018999999998
GJB2,0.9779253624367071,-0.503624666
EIF3I,0.9779253624367071,-0.140927647
HAPLN1,0.9779253624367071,0.17587476500000004
NAT1,0.9779253624367071,0.33060641550000003
ETV3,0.9779253624367071,-0.5481013809999999
TJP1_isoform_1,0.9779253624367071,
DHPS,0.9779253624367071,0.474024805
FCGR2A,0.9779253624367071,0.3921613315
ADAMTSL4,0.9779253624367071,-0.2971606295
PDLIM7,0.9857040435694392,0.1253601525
PELI2,0.9857040435694392,0.223335759
PIEZO1,0.9857040435694392,0.030809160500000005
PLAA,0.9857040435694392,0.004791645000000039
PLBD1,0.9857040435694392,-0.19375982549999998
PELP1,0.9857040435694392,-0.09424624100000001
PDP1,0.9857040435694392,-0.033124756500000005
