Proteomics,P_Value,Medians,Cancer
ARMH3,5.766739162739872e-07,-0.4051337799246164,Gbm
CUTC,8.514758420578509e-07,-0.5532547699078205,Gbm
PIP4K2A,2.7834772833975867e-06,-0.8388820985545764,Gbm
DCTN1,1.5008898009485894e-05,-0.38298750640634,Gbm
ACTR1A,3.847715291074248e-05,-0.4911259174744436,Gbm
ABRAXAS2,0.00017590677488208597,-0.3192491226979453,Gbm
ATE1,0.00022507201402167902,-0.3782040342065589,Gbm
DCTN4,0.0002501062995320566,-0.3621403649312675,Gbm
PPIG,0.0002758164477289858,0.486645321049424,Gbm
FAM49B,0.00027671583169833593,-0.5683652465577332,Gbm
DCTN6,0.00035021982592617096,-0.29149198815814903,Gbm
PRKDC,0.0004357814500673585,0.4673597642944506,Gbm
VPS26A,0.0006218184807157023,-0.3726257034424015,Gbm
SSB,0.0006218184807157023,0.5349652434758666,Gbm
ELMO1,0.0006218184807157023,-0.7064987971360025,Gbm
ADO,0.0006218184807157023,-0.537734831228088,Gbm
CYTH1,0.0006290790774708202,-0.5603851843521271,Gbm
MMS19,0.0006290790774708202,-0.32428672480430704,Gbm
GLTP,0.0006805341361772173,-0.6862168284505473,Gbm
AKR1C1,0.0007124844602291688,-1.2795171880770853,Gbm
MCM4,0.0013030057537881232,1.2364838744723563,Gbm
MAST3,0.0013030057537881232,-0.4595743110352936,Gbm
USP25,0.0013030057537881232,-0.1881301886044784,Gbm
MAD2L1,0.0013030057537881232,0.546913936694619,Gbm
SELL,0.001325658159262582,-0.7115678685209035,Gbm
USP39,0.0014783273425505812,0.4197656966513674,Gbm
PCNA,0.001545340760765996,0.631486413863703,Gbm
RAB8B,0.0016088715372960453,-0.446976426090049,Gbm
DCTN5,0.001766098318999759,-0.2898255973570384,Gbm
PI4K2A,0.0018252502807370216,-0.5580968316034195,Gbm
TFRC,0.001925154189879441,0.7459332689316355,Gbm
ACTR10,0.0019395010266764735,-0.4656434974143857,Gbm
PURB,0.0020328848903173624,0.3983225989129025,Gbm
AMPD3,0.0021703921812978285,-0.7760122859966825,Gbm
MCM5,0.002218040568180753,0.8705330309606905,Gbm
MCM2,0.002221565475271988,0.9395132155795306,Gbm
XPNPEP1,0.0022405951233284,-0.2150913992486652,Gbm
GSTO1,0.0025129373062138397,-0.8432274194743387,Gbm
PRPF6,0.0025129373062138397,0.3918699551897835,Gbm
LIG3,0.0025129373062138397,0.5717001972179869,Gbm
PCM1,0.0025531116976906607,0.3543201136800785,Gbm
IPO9,0.0025636694180892405,0.3174287742674409,Gbm
WDFY4,0.0025683947807317,-0.6357060889969898,Gbm
MCM7,0.0025683947807317,1.0364554796463556,Gbm
ERLIN1,0.0028249772142416693,-0.305040357969053,Gbm
GCLC,0.0031126496692071982,-0.476277164073063,Gbm
NT5C2,0.0031403830767271013,-0.32879440600580223,Gbm
NCBP1,0.0031403830767271013,0.3867164980743214,Gbm
NPL,0.0031721831196860587,-1.0864863938518778,Gbm
TPR,0.0033390661272569263,0.3313253556014946,Gbm
MCM3,0.00336161250561508,0.9265258372271764,Gbm
PUS7,0.003449219476266681,0.439167885477694,Gbm
NSUN2,0.0034805828228218405,0.3148783620022745,Gbm
SLK,0.0035063163241749943,-0.3057573605529692,Gbm
AKR1C3,0.003511951100846004,-0.8056327009482855,Gbm
SHOC2,0.0035304824797374548,-0.2647367226213155,Gbm
ACTR1B,0.003689626867109242,-0.41813265559164303,Gbm
UBA2,0.003744419063055232,0.4037595917771549,Gbm
FAM107B,0.003945260881796798,-0.450460179497089,Gbm
NCKAP1L,0.0040117301443064355,-0.9295674855924709,Gbm
C1orf35,0.004164992959558165,0.4916685378345887,Gbm
NCL,0.004183823723018247,0.3727680272599479,Gbm
DOCK10,0.004183823723018247,-0.5007155781412646,Gbm
EFTUD2,0.004218624894516119,0.30442935594168385,Gbm
THOC2,0.004239178299143272,0.2766275774241525,Gbm
ZFYVE27,0.004279978836747777,-0.444018720684461,Gbm
UBAP2L,0.0043749351587615394,0.2369067493038743,Gbm
POMT2,0.00446507798194806,0.4738473836235008,Gbm
RFC3,0.004683970190176297,0.4436710716837048,Gbm
SSRP1,0.004774680893239979,0.6323784150016856,Gbm
ACSL5,0.004837653306092403,-0.5389231854352476,Gbm
CSE1L,0.004998333938495607,0.33338641473712044,Gbm
AKAP8,0.005022234494539074,0.2991444851364289,Gbm
IARS,0.005163375696002846,0.35591499160908924,Gbm
TIA1,0.00532148491394155,0.4195716088587721,Gbm
CIAO1,0.005364719397223106,-0.2988519293130495,Gbm
CAB39,0.005397338930629468,-0.18709221443190746,Gbm
DOCK2,0.0054188646053597075,-0.8007981043949994,Gbm
PWP2,0.005446540676141593,0.3155941335395533,Gbm
CHUK,0.00571509502432925,-0.24222427037246705,Gbm
ATAD1,0.005723145328574182,-0.4148124099032907,Gbm
PRPF40A,0.005787091539086074,0.3634604455111985,Gbm
ANK3,0.005787091539086074,-0.8955846189519945,Gbm
ADA2,0.005867625154364072,-0.6574292878869921,Gbm
CDK11B,0.005877963828285866,0.3822677464116973,Gbm
DDX39A,0.005888709255126677,0.4731640685429175,Gbm
XPO1,0.005969822792178596,0.2800925368014751,Gbm
GBF1,0.006053082428471767,-0.250844584652212,Gbm
SYK,0.006883660010785857,-0.6975496593830832,Gbm
RAB4B,0.0070725418519269985,-0.2733333539907904,Gbm
RASAL3,0.00729868818689923,-0.4511072831387438,Gbm
NOM1,0.00729868818689923,0.4724276027527993,Gbm
PRKCB,0.0075987241844978565,-1.0374849101017891,Gbm
WDR4,0.007621101380553477,0.30377135961391,Gbm
TTC27,0.007711830522368637,0.3084644554963813,Gbm
ADAR,0.007811936172022324,0.32962920125437345,Gbm
IL16,0.008130627834448205,-0.7005063194263684,Gbm
CHTF8,0.008144125966943964,0.555404214789192,Gbm
KIF1C,0.008343559491953041,-0.36486659320474735,Gbm
PARP1,0.00847241799930448,0.471833939748412,Gbm
IFT43,0.008543802429726558,0.3321961336161946,Gbm
CSF1R,0.00888754446733765,-0.8907861353210267,Gbm
HIF1AN,0.00899810345796964,-0.27119115950585543,Gbm
ARFGEF3,0.009005239056263045,-0.34245365472806105,Gbm
CHTF18,0.009142585659634932,0.5028870220999511,Gbm
EVI2B,0.009583743385108262,-0.7781916477932413,Gbm
SYMPK,0.009623405829443234,0.2204054086720217,Gbm
DNMT3A,0.009623405829443234,0.4729064758246774,Gbm
DDX56,0.009623405829443234,0.3418367527678305,Gbm
RFC2,0.009631959400847413,0.3782538249394579,Gbm
NUF2,0.009779796927380836,0.9999421535022296,Gbm
GMPS,0.010082174639402024,0.2208846086494849,Gbm
RAB8A,0.010153060662237536,-0.2741507026789565,Gbm
ZC3H8,0.01019492340593924,0.5908845175922409,Gbm
RPS6KA1,0.010292737345001642,-0.4515410293326306,Gbm
GPSM3,0.010430165846308015,-0.7155752855446255,Gbm
EPRS,0.010502370514726123,0.2542284821762958,Gbm
WDR75,0.010527383550919915,0.3446410700893575,Gbm
TBL3,0.010600092874037764,0.30709273672573606,Gbm
GPATCH4,0.010622280995051372,0.3943254123832941,Gbm
RGS10,0.010894144106258514,-0.5254113616661852,Gbm
BTK,0.010899842448908018,-0.5316967238739758,Gbm
BYSL,0.011199037594675266,0.36213634995655397,Gbm
CAD,0.011294298478233,0.3463693845816559,Gbm
PTDSS1,0.011379627820018029,0.4187303229906496,Gbm
ESF1,0.0114968292558395,0.2973563469806185,Gbm
WDR45,0.011497898284167862,-0.2195491159322249,Gbm
APBB1IP,0.011497898284167862,-0.5808146696479872,Gbm
CMTR1,0.011497898284167862,0.2899215084873849,Gbm
ZFR,0.011752696766281441,0.26726754100262684,Gbm
RFC4,0.01186181101422539,0.35955056704040705,Gbm
POLR2B,0.011864449502759977,0.20851717576304668,Gbm
ITGAL,0.011864449502759977,-0.5916928236268382,Gbm
XPO5,0.012192514333584654,0.4737716799557895,Gbm
CDK9,0.012350672435651806,0.243032799882742,Gbm
TOPBP1,0.012648620550200405,0.4930731012212592,Gbm
ZGPAT,0.012701550306245668,0.44895808118682506,Gbm
PLCG2,0.012760567416716077,-0.6155367063104661,Gbm
ECHDC1,0.01279977830419352,-0.5388215092910895,Gbm
EEF1D,0.012799868602462886,0.2699140107028761,Gbm
PIK3CD,0.013180075901323076,-0.49209949217776,Gbm
SUPT16H,0.013514776896546734,0.485259635481568,Gbm
CIP2A,0.013739162942646469,0.4889281993958549,Gbm
INPP5D,0.013739162942646469,-0.6772425619193045,Gbm
AKR1B10,0.013801518974021813,-0.3359345851085305,Gbm
HARS,0.013825464812801476,0.1911459052052181,Gbm
RANBP2,0.013871793017060364,0.2389747894568466,Gbm
PDCD2L,0.013871793017060364,0.27034150260927026,Gbm
HNRNPH1,0.01433036891570703,0.2489468251721401,Gbm
LSG1,0.014544623818316869,0.26064478349207565,Gbm
UBR7,0.01678577934414487,0.49565225580647404,Gbm
CENPF,0.01716066497188983,0.553913767962281,Gbm
NUP155,0.01755015415488094,0.1971794310287357,Gbm
GINS4,0.018096113948484985,0.7420856361276841,Gbm
