Proteomics,Hnscc_P_Value,Hnscc_Median
NLN_proteomics,1.1134296346884011e-09,0.43166568770910274
AKR1C3_proteomics,1.0329770604581112e-08,0.9519048342720993
AKR1C1_proteomics,6.931627029920253e-08,1.9612623383942989
ADI1_proteomics,1.6018800205090963e-07,0.5131977039737521
EPHX1_proteomics,3.899393897400202e-07,0.8716882694865546
ADH7_proteomics,4.321698434601235e-07,2.155736065212455
PTGR1_proteomics,4.5762248431455336e-07,0.8412203269826009
AKR1C2_proteomics,6.736959120090694e-07,1.7179380924011483
PGD_proteomics,1.070247871070096e-06,0.6092594933251974
CCDC186_proteomics,1.099321520542778e-06,-0.35173334669535095
PRPSAP2_proteomics,1.135055587975722e-06,0.35340205342510345
NFKB2_proteomics,1.1827017664676625e-06,-0.44337733126515033
DHX30_proteomics,1.2312003089629225e-06,0.2413134178682519
SELENOI_proteomics,1.3535948528015176e-06,0.5275184575211505
ABCC3_proteomics,1.8612403255249456e-06,0.4728950395010507
G6PD_proteomics,2.2046187777414662e-06,0.7315107262479508
ZNF280C_proteomics,2.230243235724036e-06,0.7314209428233056
PIR_proteomics,2.395808613673901e-06,1.0512361722414028
POU2F2_proteomics,2.4702724091775564e-06,-1.451604253648803
ECHDC1_proteomics,2.903103242101368e-06,-0.4131667243094057
ALDH3A1_proteomics,4.112705016089136e-06,1.5055399128206979
CES1_proteomics,4.558377721151502e-06,1.3151915928737488
TNIP2_proteomics,4.9021676013117614e-06,-0.43452791302825133
HPRT1_proteomics,4.956141466979101e-06,0.49280083955814646
IARS2_proteomics,6.2084288283085806e-06,0.2846956312271942
CCDC88B_proteomics,6.538679839423233e-06,-0.5327791951194527
USP28_proteomics,6.588940710463301e-06,0.39414076406774967
MAP1B_proteomics,8.259797116528832e-06,0.8514106961644003
HMGB3_proteomics,8.3298601308733e-06,0.6194293685975474
ABRAXAS2_proteomics,8.50238486965619e-06,-0.23654008976089713
PRKRA_proteomics,9.230739591329462e-06,0.29094286113915047
IDH1_proteomics,1.005981751290585e-05,0.35979186807750096
UBE2T_proteomics,1.1416430460220675e-05,0.42317911671550235
SELL_proteomics,1.1432451150412587e-05,-0.5531478176740485
AKR1B10_proteomics,1.1726267627214472e-05,1.8672563171417487
UGDH_proteomics,1.2098240578023831e-05,0.4889657173121513
SRXN1_proteomics,1.214406258697453e-05,1.111393688709601
XPO1_proteomics,1.2305127509483634e-05,0.2905874329229512
PYCR2_proteomics,1.2309961926062179e-05,0.6495738536219982
PLBD1_proteomics,1.2369531008547219e-05,-0.7953873190221472
TIA1_proteomics,1.5067164390338056e-05,0.48185359927745
ME1_proteomics,1.58289125321577e-05,0.7016329998985
GINS4_proteomics,1.6270949555765514e-05,0.4728146780419955
MPEG1_proteomics,1.6394942461952023e-05,-0.5739665702835985
DHX9_proteomics,1.711937406057678e-05,0.34195577133615274
PLS1_proteomics,1.7708333393715257e-05,0.50168837892355
TXNRD1_proteomics,1.884086550322477e-05,0.4366474275397003
EPS8_proteomics,1.9633200276877124e-05,0.5265823081836523
AKR1C4_proteomics,2.065006972757227e-05,1.9327124548365973
WDR46_proteomics,2.0663973623452174e-05,0.22194969385005336
CDK17_proteomics,2.094229087647312e-05,-0.18093828417475066
HIST1H1B_proteomics,2.1514219660777578e-05,-0.22806549662790587
CBR1_proteomics,2.1584433041918322e-05,0.5182923865010487
PTEN_proteomics,2.2852809051628075e-05,-0.31881227487765074
HLA-E_proteomics,2.2869089369302063e-05,-0.2710600462213506
BLNK_proteomics,2.5188312245078108e-05,-0.5545933291618468
TFB2M_proteomics,2.802974684447776e-05,0.4573150894124538
TRMT13_proteomics,2.804534413195725e-05,-0.30530843220435244
CRMP1_proteomics,2.889676790994327e-05,1.1335958537238042
HIST1H1D_proteomics,2.9982977826069367e-05,-0.5402378889918964
MSI2_proteomics,3.0389163007648375e-05,0.5587974836308511
SLK_proteomics,3.0639510828460745e-05,-0.44302046535290174
PPIG_proteomics,3.2201126728222526e-05,0.2601645812465989
GPNMB_proteomics,3.2677152456590455e-05,0.8582272051921507
CUL1_proteomics,3.4437905233857053e-05,0.2048878284015494
GSTM3_proteomics,3.443852877512974e-05,1.0218542305338971
GCLC_proteomics,3.473917775597083e-05,0.5124456556129005
HEATR5A_proteomics,3.668760574927537e-05,0.2723678075973517
STK26_proteomics,3.95352317333162e-05,0.30300755148510206
ST13_proteomics,4.331447262607085e-05,0.3158100426058503
EPRS_proteomics,4.567301413949992e-05,0.17101137612124973
XG_proteomics,4.587510740106235e-05,-1.0746054917366017
APLP2_proteomics,4.613932769952038e-05,0.25675784530509915
ANKS1B_proteomics,4.7913698374245146e-05,0.7863865359419009
CD300A_proteomics,4.820874517040872e-05,-0.5303367348391461
PTPRE_proteomics,5.1431411066792194e-05,-0.2724163669984456
SP110_proteomics,5.705971502530342e-05,-0.5134010058051004
FMNL1_proteomics,5.9973734099374486e-05,-0.6447479332407475
