Proteomics,Lscc_P_Value,Lscc_Median
ATAD1_proteomics,5.44587842532965e-06,-1.34185
BTAF1_proteomics,0.0009526299897530656,-0.59625
PTEN_proteomics,0.0357657453516126,-0.57975
VPS26A_proteomics,0.0357657453516126,-0.45299999999999996
KIF20B_proteomics,0.04336619297912285,-1.1310499999999999
ZSWIM8_proteomics,0.061495135120569845,-0.44155
SLK_proteomics,0.061495135120569845,-0.61615
WAPL_proteomics,0.061495135120569845,-0.4256
LZTS2_proteomics,0.08452712556182498,-0.47255
CWF19L1_proteomics_1,0.09738726306884164,
PDLIM1_proteomics,0.2576750073167557,-0.6973
RNF10_proteomics,0.2576750073167557,-0.7142000000000001
NOLC1_proteomics,0.2576750073167557,-0.78385
VPS35_proteomics,0.29111822930400066,-0.24970000000000003
MMS19_proteomics,0.29111822930400066,-0.35665
ZMIZ1_proteomics,0.29111822930400066,-0.31395
DLG5_proteomics,0.2923023017644844,-0.8748
FRA10AC1_proteomics,0.2923023017644844,-0.89625
KLHL36_proteomics,0.2923023017644844,-0.6642499999999999
ARID5B_proteomics,0.2923023017644844,-0.5539499999999999
TRMT10A_proteomics,0.323581703293313,0.90255
PLCD3_proteomics,0.32595342417596945,-0.6411
ANXA8L1_proteomics,0.32595342417596945,-2.85795
PGAM1_proteomics,0.32595342417596945,-0.6114
KIF1BP_proteomics,0.32595342417596945,-0.552
ADK_proteomics,0.32595342417596945,-0.527
METTL2B_proteomics,0.3644434519346115,0.30754999999999993
KIAA1551_proteomics,0.37414037410564727,-0.8429
PRNP_proteomics,0.391452711040591,-0.97045
CEP55_proteomics,0.3934613623669736,-1.2638
ANXA7_proteomics,0.3934613623669736,-0.5
PIAS2_proteomics,0.42338971586629603,0.65605
PI4K2A_proteomics,0.42338971586629603,-0.7358500000000001
INTS10_proteomics,0.42338971586629603,0.34475
ANXA8_proteomics,0.42338971586629603,-2.4326
FBXO2_proteomics,0.42338971586629603,-1.5655999999999999
VCP_proteomics,0.42338971586629603,0.5741499999999999
NHLRC2_proteomics,0.42338971586629603,-0.31604999999999994
