Proteomics,Luad_P_Value,Luad_Median
ATE1_proteomics,0.002585442034556303,-0.88365
SHOC2_proteomics,0.002756416773369591,-0.6060000000000001
EGFR_proteomics,0.002756416773369591,2.3297
LANCL2_proteomics,0.003949939484577407,1.21475
GGCT_proteomics,0.004795170302989056,2.12715
CWF19L1_proteomics,0.004795170302989056,-0.57265
PPP3CB_proteomics,0.004803347627898999,-0.66985
STAG1_proteomics,0.0060549335222019034,-0.7739
RAC2_proteomics,0.0060549335222019034,-1.2618500000000001
GSTZ1_proteomics,0.0060549335222019034,1.4352999999999998
PRKCB_proteomics,0.0060549335222019034,-1.7006
GBF1_proteomics,0.0060549335222019034,-0.6105499999999999
WDFY4_proteomics,0.0060549335222019034,-1.02515
ACTR1A_proteomics,0.0060549335222019034,-0.55825
GIMAP1-GIMAP5_proteomics,0.006392364626153233,-1.5532500000000002
CUL4B_proteomics,0.008755649604433733,0.7085
BTAF1_proteomics,0.011039983725114331,-0.80465
RPL15_proteomics,0.01358333524441778,-1.4097499999999998
ELMO1_proteomics,0.015851958972854352,-0.95015
TM9SF3_proteomics,0.015851958972854352,-1.0321
GSTO1_proteomics,0.01713575564617572,-0.85955
NUDCD3_proteomics,0.01713575564617572,1.12885
PURB_proteomics,0.01713575564617572,0.8724000000000001
RASAL3_proteomics,0.02176876990351596,-0.9308999999999998
COX15_proteomics,0.021982979804463638,-1.2994999999999999
CD4_proteomics,0.02327544599368295,-1.0451000000000001
ANXA6_proteomics,0.02327544599368295,-0.6857
PSTPIP1_proteomics,0.02327544599368295,-1.00585
RAB8B_proteomics,0.02327544599368295,-0.7501
THOC7_proteomics,0.02357440799121734,0.6026
USP25_proteomics,0.02357440799121734,0.5770500000000001
GNG2_proteomics,0.0241039104451655,-1.0976000000000001
WAS_proteomics,0.0241039104451655,-0.8834500000000001
NEK9_proteomics,0.0241039104451655,0.5846
HSD11B1_proteomics,0.0241039104451655,-1.1101500000000002
CD5_proteomics,0.0241039104451655,-1.2723
ACAP1_proteomics,0.0241039104451655,-0.7753
TRAF3IP3_proteomics,0.0241039104451655,-0.9573999999999999
MMS19_proteomics,0.0241039104451655,-0.62
JAK3_proteomics,0.024156516667792387,-0.9072
NOLC1_proteomics,0.024156516667792387,-0.6800999999999999
CD48_proteomics,0.024156516667792387,-1.2706
FMNL1_proteomics,0.024156516667792387,-0.9239999999999999
POMT2_proteomics,0.024299500661441428,1.4451
RPL4_proteomics,0.024299500661441428,-1.1691500000000001
ZAP70_proteomics,0.02740950346720595,-1.1895499999999999
UBR7_proteomics,0.02740950346720595,1.0079
RASSF2_proteomics,0.02740950346720595,-0.49685000000000007
THOC1_proteomics,0.02740950346720595,0.7396000000000001
GPSM3_proteomics,0.02740950346720595,-1.03765
AMPH_proteomics,0.027630793801998507,0.88975
RAB4B_proteomics,0.027630793801998507,-0.7766
ARHGAP25_proteomics,0.027630793801998507,-1.04345
ITGAL_proteomics_1,0.031181859245677658,
GIMAP4_proteomics,0.031181859245677658,-1.3075999999999999
M6PR_proteomics,0.031181859245677658,-0.97485
ATP11B_proteomics,0.031181859245677658,-0.7351500000000001
LNPEP_proteomics,0.031181859245677658,-0.6725
CBR4_proteomics,0.031181859245677658,1.1560000000000001
ERLIN1_proteomics,0.032051749551386545,-1.35005
ARHGAP30_proteomics,0.032051749551386545,-0.9998
GRAP_proteomics,0.032051749551386545,-0.9983
PYHIN1_proteomics,0.032214351103924364,-1.5428499999999998
CD53_proteomics,0.03294301908428857,-1.8723999999999998
VSIR_proteomics,0.03488151896736362,-1.1109
RABGAP1L_proteomics_1,0.035347196658073385,
PTPRCAP_proteomics,0.03630302610245882,-1.5872
PXK_proteomics,0.03632830310724345,-0.4869
GMFG_proteomics,0.03632830310724345,-0.8379
NIPSNAP2_proteomics,0.03632830310724345,1.6594499999999999
PTPRC_proteomics,0.03632830310724345,-1.23705
CHUK_proteomics,0.037178593335074915,-0.5788
PTPN7_proteomics,0.037178593335074915,-0.9742999999999999
MAP4K1_proteomics,0.03757503935858622,-1.1593499999999999
RPL13_proteomics,0.03848669192807193,-1.0244
ZEB2_proteomics,0.03848669192807193,-0.4979
RCSD1_proteomics,0.03848669192807193,-0.899
SPN_proteomics,0.03848669192807193,-0.7927499999999998
DCLK1_proteomics,0.0385400008257446,2.2211
LCP1_proteomics,0.0385400008257446,-0.7404999999999999
NUP210_proteomics,0.0385400008257446,-1.37595
SLK_proteomics,0.039225285257330135,-0.526
CORO1A_proteomics,0.039906668856951266,-1.26555
ACAP2_proteomics,0.039906668856951266,-0.63245
VPS35_proteomics,0.039980958667235306,-0.38739999999999997
RBM6_proteomics,0.04012752623221425,-0.56945
GIMAP8_proteomics,0.04012752623221425,-0.6980499999999998
XPNPEP1_proteomics,0.04012752623221425,-0.38075000000000003
SP1_proteomics,0.04012752623221425,-0.5599000000000001
OSGEP_proteomics,0.04012752623221425,0.6284000000000001
CYTH1_proteomics,0.04012752623221425,-0.6637
ADO_proteomics,0.04012752623221425,-0.43200000000000005
NFKB2_proteomics,0.04012752623221425,-0.8741
SEPT1_proteomics,0.04018549414484269,-1.2557999999999998
PIK3CD_proteomics,0.04115852521173988,-0.84795
SFXN5_proteomics,0.042023064814817664,0.7242999999999999
PIK3R1_proteomics_1,0.042023064814817664,
STK4_proteomics,0.042023064814817664,-0.3246
CCDC88C_proteomics,0.042023064814817664,0.97465
MYO10_proteomics,0.042023064814817664,0.6817500000000001
FERMT3_proteomics,0.04312517914951296,-0.74275
ARHGAP15_proteomics,0.04333630238362084,-0.9738
GNAI2_proteomics,0.044685540539813016,-0.7136
CIAO1_proteomics,0.04517210330781252,-0.659
WASF1_proteomics,0.04583525876693855,1.64115
RPL18_proteomics,0.04617319611830332,-0.88795
ADPGK_proteomics,0.04872135209889214,-0.38805
SYK_proteomics_1,0.04872135209889214,
LRCH1_proteomics,0.048823384806678034,-0.5082
SH3KBP1_proteomics,0.049313551544193486,-0.7457
DCTN1_proteomics,0.049313551544193486,-0.3194
VPS37C_proteomics,0.049313551544193486,0.8162999999999999
RPL19_proteomics,0.049313551544193486,-1.0198
THOC2_proteomics,0.05043145554755237,0.32655
STK10_proteomics,0.05043145554755237,-0.5617
RPL7_proteomics,0.05043145554755237,-0.68025
RAB35_proteomics,0.05043145554755237,-0.5701
CCL5_proteomics,0.051811742639948886,-1.5622000000000003
XPO4_proteomics,0.051811742639948886,-0.58945
FLI1_proteomics,0.05192446142172074,-0.5596
AVL9_proteomics,0.05192446142172074,1.1248500000000001
EIF3A_proteomics,0.05192446142172074,-0.501
FAM13A_proteomics,0.052050700589907,1.4423
PTK2B_proteomics,0.05221435543947054,-0.6576500000000001
RPL23A_proteomics,0.05221435543947054,-0.7599
APBB1IP_proteomics,0.05221435543947054,-0.7683
UBL4A_proteomics,0.05221435543947054,0.59305
CUTC_proteomics,0.05231270969818061,-1.0199500000000001
TRIP11_proteomics,0.05231270969818061,0.47015
GUSB_proteomics,0.05244093832960123,0.84845
ARHGAP9_proteomics,0.05244093832960123,-0.6315999999999999
PLEKHA2_proteomics,0.053026715977924674,-0.82175
PDK3_proteomics,0.053026715977924674,0.88725
ANXA11_proteomics,0.053026715977924674,-0.60505
PPIA_proteomics_1,0.053026715977924674,
GPRIN3_proteomics,0.053026715977924674,-1.0265
NHLRC2_proteomics,0.053026715977924674,-0.55705
HLA-F_proteomics,0.053026715977924674,-0.8383500000000002
ZNF326_proteomics,0.053026715977924674,0.9653999999999999
NOTCH1_proteomics,0.053026715977924674,-0.6179
ISG20_proteomics,0.053026715977924674,-1.3329
CSK_proteomics,0.053026715977924674,-0.72995
ATE1_proteomics_1,0.053026715977924674,
ARHGEF6_proteomics,0.053026715977924674,-0.72255
CD3E_proteomics,0.053843968343601355,-1.3087
HLCS_proteomics,0.053843968343601355,0.5523
MPEG1_proteomics,0.053843968343601355,-0.7360000000000001
PLCG2_proteomics,0.053843968343601355,-0.9747
BTK_proteomics,0.053843968343601355,-0.8569
DOCK2_proteomics,0.053843968343601355,-0.8429500000000001
FAHD2B_proteomics,0.053843968343601355,0.5334
MS4A1_proteomics,0.053843968343601355,-2.1539
TBXAS1_proteomics,0.053843968343601355,-0.92325
GRAP2_proteomics,0.053843968343601355,-1.2121
DCTN3_proteomics,0.05424835392813604,-0.4316
DDX41_proteomics,0.05424835392813604,0.70895
SASH3_proteomics,0.05424835392813604,-0.7622
FAM213A_proteomics,0.05467383137309388,-0.99905
CBR3_proteomics,0.05533401696687693,0.6549499999999999
TIMM9_proteomics,0.05568020875833736,1.3003999999999998
VAV1_proteomics,0.05606568918572284,-0.8084499999999999
METAP1_proteomics,0.05814951097242165,0.5249
GIMAP7_proteomics,0.05814951097242165,-1.3143500000000001
COTL1_proteomics,0.05814951097242165,-1.2315999999999998
C19orf53_proteomics,0.05910486580361944,-0.8323499999999999
RPL6_proteomics,0.05910486580361944,-1.4197499999999998
ENTPD1_proteomics,0.0592825825014002,-0.76405
DENND1C_proteomics,0.05938426347306643,-0.5836
DAAM1_proteomics,0.059400850615076516,0.6284
THOC5_proteomics,0.059400850615076516,0.71955
FAM120C_proteomics,0.059400850615076516,1.6576
SNTA1_proteomics,0.059400850615076516,0.86275
PLEKHG3_proteomics,0.059400850615076516,1.27345
ATF1_proteomics,0.059400850615076516,-0.6284000000000001
TP53RK_proteomics,0.059400850615076516,0.7023999999999999
PIEZO1_proteomics,0.059400850615076516,-0.6884999999999999
SH2D1A_proteomics,0.059400850615076516,-1.06765
BBX_proteomics_1,0.05978858347618114,
CEP170B_proteomics,0.060565489856194615,1.0008
TRANK1_proteomics,0.06128260237586631,-0.61785
FOLR2_proteomics,0.06128260237586631,-1.0452
ARHGAP4_proteomics,0.061596450351620154,-0.8426
SLC9A9_proteomics,0.061596450351620154,-0.6806
DCTN2_proteomics_1,0.061596450351620154,
SEC24C_proteomics,0.061596450351620154,-0.6066
KCTD18_proteomics,0.061596450351620154,0.63285
PTPRE_proteomics,0.061596450351620154,-0.5903999999999999
DLGAP4_proteomics,0.061596450351620154,0.56555
NKAP_proteomics,0.061596450351620154,0.40240000000000004
SPCS3_proteomics,0.061623371611608406,-1.21035
BIN2_proteomics,0.061623371611608406,-0.88985
TBC1D10C_proteomics,0.061623371611608406,-0.7173499999999999
IRF2BPL_proteomics,0.061646272569269175,0.7230000000000001
YKT6_proteomics,0.061646272569269175,0.86675
MEF2D_proteomics,0.061646272569269175,-0.5961
EVI2B_proteomics,0.061646272569269175,-1.22825
RHOG_proteomics,0.06224185699918412,-0.54575
PDCD4_proteomics,0.06273649232384282,-0.9316500000000001
ZMIZ2_proteomics,0.06286174275317427,0.9751999999999998
AGPAT5_proteomics,0.06388238056127885,-1.2568000000000001
APOBEC3C_proteomics,0.0642476045963269,-1.2211
MICU1_proteomics,0.06452925110644818,-0.7838499999999999
PTPN6_proteomics,0.06484778855223061,-0.7875
SP140_proteomics,0.06484778855223061,-1.25825
RPL34_proteomics,0.06484778855223061,-1.40075
HOOK3_proteomics,0.06746485459663328,-0.46855
POU2F2_proteomics,0.06785908460690412,-1.8641
B2M_proteomics,0.06834252597112131,-1.1390500000000001
PIK3CG_proteomics,0.06873658401020576,-0.8431000000000001
CYTH4_proteomics,0.06877500078420382,-0.43069999999999997
WDR4_proteomics,0.07021305411122149,0.8635
METTL1_proteomics,0.07021305411122149,0.7473
NEK8_proteomics,0.07029828862049413,1.1599
TMEM176B_proteomics,0.07029828862049413,-1.8893
RPL29_proteomics,0.07029828862049413,-0.7618
SPCS2_proteomics,0.07038372801099824,-0.7773000000000001
ICAM3_proteomics,0.07075107100546277,-1.09475
TSPAN14_proteomics,0.07075107100546277,-0.7787499999999998
STAU2_proteomics,0.07182022413506488,0.57805
CRLF3_proteomics,0.07182022413506488,-0.6222
KLC1_proteomics,0.07182022413506488,-1.157
ZFYVE27_proteomics,0.07215554028730427,-0.26325000000000004
RAB7A_proteomics,0.07233176282125772,-0.48424999999999996
DNAJB12_proteomics,0.07271889081969336,-0.9033
HIVEP2_proteomics,0.07271889081969336,0.68775
PPP6R1_proteomics,0.07271889081969336,-0.4941
RASGRP2_proteomics,0.07271889081969336,-0.63815
MYO1F_proteomics,0.07271889081969336,-0.70475
KIFAP3_proteomics,0.07435668230895258,0.4927
EVL_proteomics,0.07437561525508482,-0.9602
DEF6_proteomics,0.07482643555674538,-0.6557
METTL7A_proteomics,0.07495307108569682,-1.20925
LAMP2_proteomics,0.07495307108569682,1.45485
DNM2_proteomics,0.07520979592716721,-0.91425
SIGLEC1_proteomics,0.07520979592716721,-0.71515
CDH6_proteomics,0.07520979592716721,0.31614999999999993
SERPINB9_proteomics,0.07532262414811126,-0.68235
TTC8_proteomics,0.07570165818511411,0.7072999999999999
GATAD1_proteomics,0.07574526427725808,0.58485
IKZF1_proteomics,0.07576612578570373,-0.9052
INPP5F_proteomics,0.07576612578570373,-0.45844999999999997
FAM118A_proteomics,0.0758332884882936,-1.0728
SEC11C_proteomics,0.07662745084733874,-1.84925
NCKAP1L_proteomics,0.07662745084733874,-0.8352499999999999
SEC23IP_proteomics,0.07662745084733874,-0.578
FGD2_proteomics,0.07682853130510345,-0.5622
EML4_proteomics,0.07682853130510345,0.5408999999999999
RPE_proteomics,0.07682853130510345,0.64655
SPTBN1_proteomics_1,0.07854937017291291,
DCAF11_proteomics,0.07854937017291291,0.48665
SEC11A_proteomics,0.07860841704635756,-0.33969999999999995
SEMA4A_proteomics,0.07886744757313349,-1.2348
VPS26A_proteomics,0.07917881405973773,-0.50015
RUNX1_proteomics,0.07917881405973773,0.35525
VASP_proteomics,0.07935180526081151,-0.50785
