,Proteomics,Gbm_P_Value,Gbm_Median,Hnscc_P_Value,Hnscc_Median,Luad_P_Value,Luad_Median,Brca_P_Value,Brca_Median,Ov_P_Value,Ov_Median,En_P_Value,En_Median,Colon_P_Value,Colon_Median
0,PTEN_proteomics,1.219523167774163e-07,0.511725505875249,2.2852809051628075e-05,0.31881227487765074,0.01435202473975884,0.3649,4.324019968256245e-06,1.008,0.0009092804662139597,0.169972474,0.0006400622864238615,0.7466,0.012871832250085143,0.20400000000000001
1,MAPK3_proteomics,1.0206600748639713e-06,0.6651049672988946,0.12949408358969608,0.06141670580199943,0.5256186559576419,-0.33845000000000003,0.28541167368759573,0.22335000000000005,0.842428227069159,-0.059507287500000006,0.27211126390226903,-0.08199999999999999,0.0033895793615515073,-0.19490000000000002
2,PIK3CD_proteomics,0.0010308145743823183,0.49209949217775995,0.014016172336587186,0.23817135046289906,0.0004312883184552491,0.84795,0.8367011710776802,-0.15015,0.9379835714648993,0.035308149,0.045488929442632824,0.18242999999999998,0.13120042369729648,0.076
3,GRB2_proteomics,0.001089951206409345,0.3121455881438509,0.10472280732985047,0.19004716791879517,0.007160789266746513,0.5588500000000001,0.06151650190167634,0.3147,0.08642797215907641,-0.184242966,0.1601160869650381,0.264,0.8274352944472834,-0.016799999999999995
4,PIK3C3_proteomics,0.0012259488588709762,0.10251794695313304,0.3129042689440962,0.04128658083860515,0.5491623674444364,0.101,0.44508045041679467,-0.1149,0.4445829707071428,-0.10468652850000001,0.03659197225318376,0.1316,0.1164185858664782,0.07995000000000001
5,USP7_proteomics,0.004017791748567292,-0.15403500369129497,0.06438437884490468,-0.09408090770760325,0.37151414022072504,-0.1326,0.9293311170060103,0.14305,0.525068896559169,0.017808445000000006,0.5725004419720592,-0.03834,0.23744085739831539,-0.04450000000000001
6,MAP2K1_proteomics,0.004138455989992525,0.5923892160666611,0.5501155312721068,-0.008519297847396246,0.2426636468499375,0.10475,0.7579266772285884,0.030450000000000033,0.47212365352171604,0.025625436499999987,0.6757927112730362,0.0919,0.717025327698291,0.02675
7,PIK3R1_proteomics,0.004282296281711184,0.1883903248023968,0.43462231817471964,-0.0720643209151497,0.6486764735376717,-0.47740000000000005,0.16447479935443515,1.0361500000000001,0.2199772057715856,-0.179425339,0.13594335963234921,-0.3399,0.9727769619265426,0.012450000000000017
9,INPP4B_proteomics,0.014555780128667768,0.34182882970316597,0.0006755535757107907,0.5915958152576515,0.27667161479610203,-1.8751,0.2959695972050356,0.37695,0.3536197469451454,-0.370647393,0.4891860257467182,-0.16319999999999998,0.11813487437382096,-0.0822
12,EGFR_proteomics,0.04010871443923345,-1.0010350384834585,0.017718702647044105,-0.4672273654723966,9.12116735066046e-07,-2.3297,0.016613738186264687,-0.58645,0.8389603603911838,0.06338793100000001,0.006128118136330128,-0.526,0.3668857435254632,0.023499999999999965
14,CSNK2A1_proteomics,0.05604258277535233,-0.1238741534175999,0.04058576844570477,-0.07970017107134808,,,,,0.5809199695344516,-0.015517826499999998,0.0023635754696901866,0.10412,0.14442518213211666,0.04844999999999999
20,XIAP_proteomics,0.11846553230948076,-0.08896674429844756,0.10498114966023706,-0.049397346325953606,0.004264738393488959,-0.5248,0.38380436667619855,-0.15039999999999998,0.6850269787517888,0.01059052299999999,0.9138637559495657,-0.09772,0.516876455657765,0.069
26,PIK3CA_proteomics,0.2876721301575151,0.10574557191159716,0.001676624117797313,-0.16366335136745036,0.07637238611418593,0.13565000000000005,0.46031037277602604,0.27749999999999997,0.008334846610600733,-0.19929612950000003,0.001761499067747207,0.353,0.33290238771279734,-0.03385
35,TP53_proteomics,0.6682499953545944,-0.25663004221534325,0.03180065447641866,-0.7055603817422487,0.23921259175265527,-2.7678,0.06842731866835366,-0.11100000000000021,0.9801451891670429,-0.196586121,0.0012457895678088257,0.8026,0.9688699707005592,-0.04905000000000001
37,FOXO1_proteomics,0.7974794722088047,-0.0830734123884711,0.5700601110286807,-0.06492977838734859,0.005642363945063567,0.57005,0.9122026932595553,-0.1482,0.876445894426744,0.0392629095,0.13867363151006967,-0.09000000000000002,,
