Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2016	Ribosome biogenesis in eukaryotes Homo sapiens hsa03008	13/89	4.58385403833065e-09	8.286973291792825e-07	0	0	9.995600942655145	191.92279190250295	UTP6;IMP3;WDR3;HEATR1;NAT10;WDR75;IMP4;PWP2;UTP18;LSG1;TBL3;XPO1;MPHOSPH10
KEGG_2016	DNA replication Homo sapiens hsa03030	9/36	8.204924051280025e-09	8.286973291792825e-07	0	0	19.296951819075712	359.2809027664953	RFC3;PCNA;RFC4;MCM7;RFC2;MCM3;MCM4;MCM5;MCM2
KEGG_2016	B cell receptor signaling pathway Homo sapiens hsa04662	11/73	5.135862800052988e-08	3.4581476187023446e-06	0	0	10.313487125490571	173.10603253315352	PPP3CB;SYK;CHUK;PIK3CA;PRKCB;INPP5D;BLNK;RAC2;BTK;PLCG2;PIK3CD
KEGG_2016	Fc gamma R-mediated phagocytosis Homo sapiens hsa04666	12/93	7.506138298812151e-08	3.790599840900136e-06	0	0	8.629188712522046	141.56149236768113	PAK1;PTPRC;SYK;PIK3CA;MYO10;PRKCB;INPP5D;RAC2;WAS;PLCG2;PIK3CD;DOCK2
KEGG_2016	RNA transport Homo sapiens hsa03013	15/172	3.5433311008665494e-07	1.431505764750086e-05	0	0	5.593332185688873	83.07792167781325	RANBP2;NUP210;NUP155;NCBP1;NUP133;THOC3;THOC2;THOC7;FXR1;EIF5;XPO1;NUP85;TPR;XPO5;RAE1
KEGG_2016	Mismatch repair Homo sapiens hsa03430	6/23	2.08953523472979e-06	7.034768623590292e-05	0	0	20.26315789473684	265.01310650478786	MSH6;RFC3;PCNA;RFC4;MSH2;RFC2
KEGG_2016	Osteoclast differentiation Homo sapiens hsa04380	12/132	3.4294884089178693e-06	9.735429636999048e-05	0	0	5.813095238095238	73.14675555041461	CSF1R;PPP3CB;SYK;CHUK;PIK3CA;BTK;PLCG2;BLNK;CYBB;PIK3CD;LILRB1;NFKB2
KEGG_2016	Spliceosome Homo sapiens hsa03040	12/134	4.013821756550433e-06	9.735429636999048e-05	0	0	5.717213114754099	71.04075641826677	EFTUD2;DDX5;PRPF6;NCBP1;PUF60;PRPF3;PCBP1;HNRNPU;THOC3;PRPF40A;THOC2;USP39
KEGG_2016	Natural killer cell mediated cytotoxicity Homo sapiens hsa04650	12/135	4.337567660049081e-06	9.735429636999048e-05	0	0	5.670441347270615	70.01972577808219	ZAP70;PPP3CB;PAK1;SYK;PIK3CA;PRKCB;ITGB2;PLCG2;RAC2;PIK3CD;CD48;ITGAL
KEGG_2016	Endocytosis Homo sapiens hsa04144	16/259	1.3379200706460998e-05	0.00027025985427051215	0	0	3.84927363776092	43.19581448698949	SH3GLB2;CSF1R;TFRC;WIPF1;SH3KBP1;GBF1;WAS;VPS26A;ACAP2;ZFYVE27;ACAP1;VPS35;SMAP2;FOLR2;RAB8A;CYTH1
