,Comparison,Slope,R_squared,P_value
760,EGFR_proteomics,1.0,1.0,0.0
784,PPP2R5D_proteomics,-0.23570512764628626,0.2071255709434456,2.820288706639057e-06
804,TBC1D1_proteomics,0.46366002876988255,0.1847957365157639,1.7055900385620525e-05
434,PLD1_proteomics,0.43135448762923195,0.1757447670883428,2.8833492917225157e-05
258,PPP1CC_proteomics,0.3873648605380324,0.16031327850564636,4.831388062797309e-05
405,PRKCB_proteomics,0.45930226945040736,0.15675850474307212,5.96457592012421e-05
103,RASGRP2_proteomics,1.4152759722750312,0.539949264348853,6.516777311489489e-05
785,SLC5A6_proteomics,-0.6256728848655386,0.16635859704202974,9.697838418485752e-05
84,BCL2L1_proteomics,-0.4660472314675355,0.15079169390739425,0.00015559283174849738
479,TRAF6_proteomics,0.2896074195442337,0.15066313239348772,0.00015669173360979317
159,CXCL8_proteomics,2.1042104471580174,0.3716806697002491,0.00016573634835624846
339,RAD50_proteomics,-0.3203509056093482,0.13908408434050337,0.00016850086543080062
274,MAPK13_proteomics,-0.33872948437236533,0.13851045229456393,0.00017423532545028875
816,EML4_proteomics,-0.22612062845158767,0.13489651936969319,0.0002150608675986422
67,CRABP1_proteomics,0.8499344266337285,0.19224473650388388,0.0002311403117175844
45,MAPT_proteomics,0.4722421612841796,0.14063026702653217,0.0002707935054638139
669,SELENOP_proteomics,0.5125440440047561,0.14247717390508527,0.00028856484939646034
802,NRAS_proteomics,-0.5597203137903028,0.192888354017333,0.00031701305578939865
98,NFKB2_proteomics,0.2569233370110416,0.1277100293519764,0.0003263405988221633
808,LAMC2_proteomics,0.5722064050552688,0.1251625485121318,0.0003781469159348674
13,GPX2_proteomics,-0.6683436428953767,0.1242217298106422,0.0003992694381632309
116,AKT1S1_proteomics,-0.4505149923353286,0.13278328458928046,0.0004825472705216103
768,MMP1_proteomics,0.8246490844719994,0.1461072843006765,0.0005084408069448599
592,CBR3_proteomics,0.3590671820136204,0.11994162226907187,0.0005110701829809623
306,STOM_proteomics,0.44501149024810177,0.11953284086239155,0.0005232457385114002
326,PPP3R1_proteomics,0.3805998120663791,0.1230615298607548,0.0006071578991765933
327,VWF_proteomics,0.28565616123272836,0.1165279049858855,0.0006220071240001614
56,TOP1_proteomics,-0.34651706896306017,0.11488447726266256,0.000683609812791779
14,CSPG4_proteomics,0.2745035469150113,0.11402434440375338,0.0007182220191689215
595,BIRC5_proteomics,0.27826470296291905,0.1136537089972864,0.0007336665645944172
594,CDC42_proteomics,0.27826470296291905,0.1136537089972864,0.0007336665645944172
545,PLA2G2A_proteomics,0.925805209750357,0.11307580428962567,0.0007584070191711499
667,ICAM3_proteomics,0.4284715334475302,0.1122628397709707,0.0007946156219463853
490,WNT5B_proteomics,0.5115871253681339,0.11188119191193951,0.0008121995858851876
489,PGM1_proteomics,0.5115871253681339,0.11188119191193951,0.0008121995858851876
266,PFN1_proteomics,0.42142023945088136,0.11030038858098959,0.0008892335608987097
284,ARL5B_proteomics,0.3237826136415807,0.13100541858976725,0.0009702614499810486
283,ABL1_proteomics,0.3237826136415807,0.13100541858976725,0.0009702614499810486
