,Comparison,Correlation,P_value,Cancer Type
760,EGFR_proteomics,1.0,0.0,Colon
784,PPP2R5D_proteomics,-0.4551105041014165,2.8202887066390828e-06,Colon
804,TBC1D1_proteomics,0.429878746294538,1.7055900385620745e-05,Colon
434,PLD1_proteomics,0.4192192351125398,2.883349291722488e-05,Colon
258,PPP1CC_proteomics,0.400391406633117,4.831388062797403e-05,Colon
405,PRKCB_proteomics,0.395927398323319,5.9645759201242355e-05,Colon
103,RASGRP2_proteomics,0.734812400785978,6.516777311489552e-05,Colon
785,SLC5A6_proteomics,-0.40787080925463376,9.697838418485768e-05,Colon
84,BCL2L1_proteomics,-0.3883190619933488,0.00015559283174849676,Colon
479,TRAF6_proteomics,0.38815349076555755,0.00015669173360979334,Colon
159,CXCL8_proteomics,0.6096561897498045,0.00016573634835624656,Colon
339,RAD50_proteomics,-0.3729397864810128,0.00016850086543080095,Colon
274,MAPK13_proteomics,-0.37216992395217,0.0001742353254502877,Colon
816,EML4_proteomics,-0.36728261512041815,0.0002150608675986411,Colon
67,CRABP1_proteomics,0.43845722311747126,0.00023114031171758364,Colon
45,MAPT_proteomics,0.3750070226362865,0.0002707935054638122,Colon
669,SELENOP_proteomics,0.3774614866514004,0.0002885648493964605,Colon
802,NRAS_proteomics,-0.43919056685832064,0.0003170130557893987,Colon
98,NFKB2_proteomics,0.35736540032853825,0.000326340598822164,Colon
808,LAMC2_proteomics,0.35378319421947074,0.00037814691593486934,Colon
13,GPX2_proteomics,-0.3524510317911441,0.00039926943816323546,Colon
116,AKT1S1_proteomics,-0.3643944080104418,0.0004825472705216147,Colon
768,MMP1_proteomics,0.3822398256339552,0.0005084408069448612,Colon
592,CBR3_proteomics,0.3463258902667714,0.0005110701829809649,Colon
306,STOM_proteomics,0.34573521785087435,0.0005232457385113997,Colon
326,PPP3R1_proteomics,0.3508012683283156,0.0006071578991765937,Colon
327,VWF_proteomics,0.3413618387955595,0.0006220071240001624,Colon
56,TOP1_proteomics,-0.3389461273752254,0.0006836098127917807,Colon
14,CSPG4_proteomics,0.3376749093488488,0.0007182220191689306,Colon
595,BIRC5_proteomics,0.3371256575778332,0.0007336665645944159,Colon
594,CDC42_proteomics,0.3371256575778332,0.0007336665645944159,Colon
545,PLA2G2A_proteomics,0.336267459456941,0.0007584070191711584,Colon
667,ICAM3_proteomics,0.33505647251018855,0.0007946156219463825,Colon
490,WNT5B_proteomics,0.33448645998297055,0.0008121995858851912,Colon
489,PGM1_proteomics,0.33448645998297055,0.0008121995858851912,Colon
