Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Neuronal System Homo sapiens R-HSA-112316	29/301	1.3745067370533421e-08	2.1029953076916133e-05	0	0	3.3569865836294817	60.77013770620897	PTPRS;GRIK5;GNAI3;SLC1A2;SLC1A3;ABAT;AKAP5;SLC6A1;ADCY8;LIN7C;AP2A2;LIN7B;PTPRF;NCALD;EPB41L1;FLOT2;KCNN2;GRIA3;BCHE;ACTN2;KCND3;CACFD1;CASK;SLC6A11;AP2B1;LRFN3;DLG1;ALDH5A1;DNAJC5
Reactome_2016	Transmission across Chemical Synapses Homo sapiens R-HSA-112315	23/211	4.598676046539305e-08	3.517987175602569e-05	0	0	3.798074541341216	64.16813627667189	BCHE;ACTN2;GRIK5;CACFD1;GNAI3;SLC1A2;CASK;SLC1A3;ABAT;SLC6A11;AKAP5;AP2B1;SLC6A1;ADCY8;LIN7C;AP2A2;LIN7B;NCALD;DLG1;ALDH5A1;EPB41L1;DNAJC5;GRIA3
Reactome_2016	Axon guidance Homo sapiens R-HSA-422475	36/515	9.184313491503593e-07	0.0004683999880666833	0	0	2.4356415547511925	33.856875774682216	ROBO2;YWHAB;NCAN;PITPNA;PDGFA;ARHGAP39;AP2A2;RASGRP1;EGFR;ARHGAP35;PPP2R1A;FYN;PLCG1;SRGAP3;NEO1;EPHB3;EPHA4;SEMA6A;YES1;MYO10;ACTN2;SEMA6D;MMP2;PPP2R5A;AP2B1;PPP2R5C;RGMA;PPP5C;DLG1;RASA3;PTPRA;NF1;ARHGEF7;KBTBD7;FGFR3;FGFR2
Reactome_2016	Neurotransmitter Release Cycle Homo sapiens R-HSA-112310	10/51	1.5525241957943769e-06	0.0005938405048913491	0	0	6.832001093120175	91.38230811100284	ALDH5A1;DNAJC5;SLC1A2;CASK;SLC1A3;ABAT;SLC6A11;SLC6A1;LIN7C;LIN7B
Reactome_2016	Developmental Biology Homo sapiens R-HSA-1266738	47/786	1.784906283941431e-06	0.0005461813228860779	0	0	2.0834995700011527	27.57750167863188	ROBO2;NOTCH1;SMARCD3;YWHAB;NCAN;PITPNA;PDGFA;ARHGAP39;AP2A2;RASGRP1;EGFR;ARHGAP35;CDH4;CDH2;PPP2R1A;FYN;PLCG1;SRGAP3;CTNNA2;NEO1;EPHB3;EPHA4;SEMA6A;YES1;MYO10;ACTN2;SEMA6D;MMP2;PPP2R5A;PAX6;AP2B1;PPP2R5C;PBX1;RGMA;PPP5C;DLG1;MEIS1;NCOR1;RASA3;PTPRA;NF1;CTNNB1;KBTBD7;ARHGEF7;AJUBA;FGFR3;FGFR2
Reactome_2016	Defective CHST3 causes SEDCJD Homo sapiens R-HSA-3595172	4/7	2.1934380356193194e-05	0.0055932669908292645	0	0	19.91040318566451	213.58795963834572	BCAN;NCAN;CSPG5;CSPG4
Reactome_2016	Defective CHSY1 causes TPBS Homo sapiens R-HSA-3595177	4/7	2.1934380356193194e-05	0.0047942288492822255	0	0	19.91040318566451	213.58795963834572	BCAN;NCAN;CSPG5;CSPG4
Reactome_2016	Defective CHST14 causes EDS, musculocontractural type Homo sapiens R-HSA-3595174	4/7	2.1934380356193194e-05	0.004194950243121947	0	0	19.91040318566451	213.58795963834572	BCAN;NCAN;CSPG5;CSPG4
Reactome_2016	SALM protein interactions at the synapse Homo sapiens R-HSA-8849932	6/22	2.743851589076423e-05	0.004664547701429918	0	0	9.502692429521698	99.81212710341607	LRFN3;DLG1;PTPRS;FLOT2;PTPRF;GRIA3
Reactome_2016	S33 mutants of beta-catenin aren't phosphorylated Homo sapiens R-HSA-5358747	5/15	4.5254051237543014e-05	0.006923869839344082	0	0	11.614401858304296	116.18139792932024	APC;PPP2R1A;PPP2R5A;CTNNB1;PPP2R5C
Reactome_2016	S45 mutants of beta-catenin aren't phosphorylated Homo sapiens R-HSA-5358751	5/15	4.5254051237543014e-05	0.0062944271266764384	0	0	11.614401858304296	116.18139792932024	APC;PPP2R1A;PPP2R5A;CTNNB1;PPP2R5C
Reactome_2016	phosphorylation site mutants of CTNNB1 are not targeted to the proteasome by the destruction complex Homo sapiens R-HSA-4839743	5/15	4.5254051237543014e-05	0.005769891532786735	0	0	11.614401858304296	116.18139792932024	APC;PPP2R1A;PPP2R5A;CTNNB1;PPP2R5C
Reactome_2016	T41 mutants of beta-catenin aren't phosphorylated Homo sapiens R-HSA-5358752	5/15	4.5254051237543014e-05	0.005326053722572371	0	0	11.614401858304296	116.18139792932024	APC;PPP2R1A;PPP2R5A;CTNNB1;PPP2R5C
Reactome_2016	S37 mutants of beta-catenin aren't phosphorylated Homo sapiens R-HSA-5358749	5/15	4.5254051237543014e-05	0.0049456213138172	0	0	11.614401858304296	116.18139792932024	APC;PPP2R1A;PPP2R5A;CTNNB1;PPP2R5C
Reactome_2016	Misspliced GSK3beta mutants stabilize beta-catenin Homo sapiens R-HSA-5339716	5/15	4.5254051237543014e-05	0.004615913226229389	0	0	11.614401858304296	116.18139792932024	APC;PPP2R1A;PPP2R5A;CTNNB1;PPP2R5C
Reactome_2016	Cell-cell junction organization Homo sapiens R-HSA-421270	9/61	5.690001889296795e-05	0.0054410643066400595	0	0	5.140800822528131	50.24729191931541	CDH6;CLDN10;CDH4;CDH2;CADM2;CDH10;CLDN12;CTNNB1;MPP5
Reactome_2016	Beta-catenin phosphorylation cascade Homo sapiens R-HSA-196299	5/17	8.891130375474701e-05	0.00800201733792723	0	0	10.248001639680265	95.59204009203195	APC;PPP2R1A;PPP2R5A;CTNNB1;PPP2R5C
Reactome_2016	Diseases of signal transduction Homo sapiens R-HSA-5663202	21/288	9.5158840721078e-05	0.00808850146129163	0	0	2.5406504065040654	23.526328899954237	NOTCH1;ZFYVE9;CTBP1;GAB1;PDGFA;PPP2R5A;PPP2R5C;GTF2F2;HDAC9;EGFR;RLBP1;BCR;NCOR1;APC;PPP2R1A;TRIM24;CTNNB1;FYN;PLCG1;FGFR3;FGFR2
