,Comparison,Correlation,P_value,Cancer Type
20,EGFR_proteomics,1.0,0.0,Kidney
7,ATP11A_proteomics,0.5770791126332542,4.1446358679554355e-11,Kidney
56,PLCB1_proteomics,0.5619523505883179,1.684847335580958e-10,Kidney
5,APAF1_proteomics,0.5609093043557825,1.8511189504927286e-10,Kidney
31,HPCAL1_proteomics,0.5566812490346316,2.7019395981994784e-10,Kidney
45,NUDCD3_proteomics,0.5562135224443416,2.816460455552968e-10,Kidney
25,ENPP3_proteomics,0.5544967541293412,3.2782031830815833e-10,Kidney
63,SCARB1_proteomics,0.5399166280816554,1.1502548086507168e-09,Kidney
85,ZC3HAV1L_proteomics,0.5354991544082187,1.66297406435354e-09,Kidney
53,PGK1_proteomics,0.53244966986068,2.1382656310959776e-09,Kidney
18,DYNC1LI1_proteomics,-0.5309866646802255,2.4102153084607178e-09,Kidney
74,TMEM30A_proteomics,0.5277094863954344,3.1450736135582613e-09,Kidney
59,PPP1R13L_proteomics,0.5274531008381123,3.2108563843068327e-09,Kidney
46,PBRM1_proteomics,-0.5215220759085548,5.158430687182847e-09,Kidney
40,NDUFA4L2_proteomics,0.5204969693553742,5.593779284591103e-09,Kidney
44,NR2C2AP_proteomics,0.5156896111109901,8.150349539746208e-09,Kidney
67,SLC16A3_proteomics,0.5145067279205569,8.933302541247294e-09,Kidney
68,SLC39A14_proteomics,0.5110418515536013,1.1663481610537328e-08,Kidney
83,YBX3_proteomics,0.5371583288770783,1.1816723456955546e-08,Kidney
82,YBX3_proteomics,0.5371583288770783,1.1816723456955546e-08,Kidney
2,ALDOC_proteomics,0.510441761627153,1.2211126643766836e-08,Kidney
9,CEMIP2_proteomics,0.5080964343410768,1.4597229206345584e-08,Kidney
76,TPI1_proteomics,0.5070935778067069,1.5748440436595408e-08,Kidney
60,PUS7_proteomics,0.5059292037346123,1.7194171384730954e-08,Kidney
33,JPT2_proteomics,0.5050421842010804,1.8379916326499027e-08,Kidney
61,PYGL_proteomics,0.5031492276613793,2.1177554453469474e-08,Kidney
3,AMPD2_proteomics,0.5006987732586918,2.540839155806318e-08,Kidney
