,Comparison,Correlation,P_value
1006,EGFR_proteomics,1.0,0.0
329,PLCB1_proteomics,0.5619523505883179,1.684847335580958e-10
131,ENPP3_proteomics,0.5544967541293412,3.2782031830815833e-10
783,PGK1_proteomics,0.53244966986068,2.1382656310959776e-09
784,CDC42_proteomics,0.53244966986068,2.1382656310959776e-09
785,BIRC5_proteomics,0.53244966986068,2.1382656310959776e-09
935,PBRM1_proteomics,-0.5215220759085548,5.158430687182847e-09
820,SLC39A14_proteomics,0.5110418515536013,1.1663481610537328e-08
449,ALDOC_proteomics,0.510441761627153,1.2211126643766836e-08
1086,TPI1_proteomics,0.5070935778067069,1.5748440436595408e-08
887,RHOB_proteomics,0.47596236519311785,1.478113078845386e-07
865,EIF4EBP1_proteomics,0.467487293875278,2.6190800667532964e-07
58,LDHA_proteomics,0.4574243924174143,5.064884016686268e-07
59,MAPT_proteomics,0.4574243924174143,5.064884016686268e-07
1043,PFKP_proteomics,0.4475114417645887,9.5039276980772e-07
324,LEF1_proteomics,0.44563576753551737,1.0682172263440644e-06
322,PDK1_proteomics,0.44563576753551737,1.0682172263440644e-06
323,TFAP2A_proteomics,0.44563576753551737,1.0682172263440644e-06
204,PLOD2_proteomics,0.4409781052531989,1.423626035728912e-06
203,GYS1_proteomics,0.4409781052531989,1.423626035728912e-06
587,GNAI3_proteomics,0.4392895954120083,1.5781968747042254e-06
112,PFKL_proteomics,0.43479765166586304,2.070549053070406e-06
811,PFKFB2_proteomics,-0.43720354616974555,2.786226199621911e-06
1080,ABCC3_proteomics,0.421531974365294,4.514914333876223e-06
734,CSNK2A1_proteomics,0.4206784789963057,4.741825069118896e-06
218,PGK2_proteomics,0.4119232115588151,7.781798537447465e-06
197,PPM1B_proteomics,-0.6358506534242756,1.3624830120381428e-05
699,ENO2_proteomics,0.3994007916246056,1.5433916631446706e-05
766,ACAA1_proteomics,-0.39820811981637283,1.6450597043565598e-05
1022,GNG12_proteomics,0.3952830766399285,1.9216785409806955e-05
