,Comparison,Correlation,P_value,Cancer Type
90,EGFR_proteomics,0.9999999999999999,0.0,Brca
202,MPP6_proteomics,0.6482016750801229,4.834438414996777e-15,Brca
65,CPNE8_proteomics,0.616452652877966,2.2292629095873168e-13,Brca
68,CRYBG3_proteomics,0.6099970715071926,4.612176438723387e-13,Brca
268,PSAT1_proteomics,0.6093187041227728,4.973595244978248e-13,Brca
250,PHC3_proteomics,-0.6032043673296034,9.738760535376897e-13,Brca
126,GATA3_proteomics,-0.5989112714956837,1.5478464694256326e-12,Brca
168,KRT16_proteomics,0.5953254717268092,2.267368508490368e-12,Brca
170,KRT5_proteomics,0.5947703956956036,2.4043842952646757e-12,Brca
234,NXN_proteomics,0.5928643081653011,2.9385727077300687e-12,Brca
17,ANGPTL4_proteomics,0.5927303341631387,2.9801580865769115e-12,Brca
204,MSI2_proteomics,-0.5927073291304642,2.9873558506601664e-12,Brca
360,WWTR1_proteomics,0.5904236890563149,3.792047745957696e-12,Brca
178,LPIN1_proteomics,0.5853048327707228,6.429025037315383e-12,Brca
253,PLA2G4A_proteomics,0.5821618873400262,8.850043244400969e-12,Brca
117,FMNL2_proteomics,0.5798977074970961,1.1117892337405575e-11,Brca
32,ATP1B3_proteomics,0.5791346978189895,1.2001612503431938e-11,Brca
91,EHBP1_proteomics,0.578128173337492,1.3271710923324408e-11,Brca
329,TBC1D9_proteomics,-0.5765724918711845,1.5493800901363032e-11,Brca
220,NDUFA4L2_proteomics,0.6098649748436494,2.6391190237714396e-11,Brca
176,LMX1B_proteomics,-0.5700717567371781,2.9329942308461165e-11,Brca
310,SLC9A3R1_proteomics,-0.5698606251584877,2.993721603128771e-11,Brca
245,PARD6B_proteomics,-0.567350488543637,3.815436261159485e-11,Brca
38,CA12_proteomics,-0.5654257640250651,4.588954162558463e-11,Brca
219,NDRG1_proteomics,0.5635350183366943,5.494995624499721e-11,Brca
345,TRIP10_proteomics,0.5627884324370849,5.898357339291424e-11,Brca
79,DENND2D_proteomics,-0.5624979330807623,6.062903778798008e-11,Brca
198,MMP14_proteomics,0.5611608759369696,6.879092766499291e-11,Brca
24,ARHGAP10_proteomics,0.5605272344738426,7.301970002203246e-11,Brca
200,MMP24_proteomics,0.5594043658286081,8.113699162208727e-11,Brca
258,PLOD1_proteomics,0.559319003315738,8.178847403328096e-11,Brca
248,PFKP_proteomics,0.5576454572411504,9.56282529768725e-11,Brca
37,C3orf58_proteomics,0.5757376747378147,1.072509707654087e-10,Brca
195,MKL2_proteomics,-0.5560954802302165,1.1044133891130862e-10,Brca
