,Comparison,Correlation,P_value,Cancer Type
142,EGFR_proteomics,1.0,0.0,Colon
580,UTP6_proteomics,-0.5103433457160391,1.7337483463979957e-07,Colon
419,RAE1_proteomics,-0.4988020069726074,1.993818230187808e-07,Colon
176,GAR1_proteomics,-0.4897880299878189,3.5505498666347347e-07,Colon
422,RALYL_proteomics,-0.48576266847937516,4.5699469470248376e-07,Colon
526,TFAM_proteomics,-0.47018483595724936,1.1780680845050665e-06,Colon
355,NUP153_proteomics,-0.47015486869545464,1.1801634049031425e-06,Colon
459,SCG2_proteomics,0.45590142930557764,2.6967919383907684e-06,Colon
391,PPP2R5D_proteomics,-0.4551105041014165,2.8202887066390828e-06,Colon
456,SBF1_proteomics,0.4520408152746056,3.3520306508413378e-06,Colon
267,MAMDC2_proteomics,0.530626820433032,3.858198210856544e-06,Colon
493,SNU13_proteomics,-0.4483738093051055,4.111218748455223e-06,Colon
421,RALY_proteomics,-0.444764007094965,5.01478574122327e-06,Colon
128,DDX27_proteomics,-0.4431709719793594,5.470377932538197e-06,Colon
335,NDUFAB1_proteomics,-0.44220060058800453,5.7667114665474764e-06,Colon
381,POFUT1_proteomics,-0.4413811331140185,6.0286705625628425e-06,Colon
222,HSPE1_proteomics,-0.4315941902139311,1.0158280497774428e-05,Colon
173,FYCO1_proteomics,0.43101331166426915,1.0472493540890586e-05,Colon
469,SERPINB8_proteomics,0.4305634572527005,1.0722082382282387e-05,Colon
482,SLC25A6_proteomics,-0.4294705698707778,1.1351917498357025e-05,Colon
129,DDX28_proteomics,-0.42916687972930023,1.1533009496769937e-05,Colon
19,AFAP1L2_proteomics,0.4371760395058685,1.1783891450398324e-05,Colon
227,IDH3G_proteomics,-0.42643957539872746,1.3285394590784662e-05,Colon
314,MTCH2_proteomics,-0.4263646763509397,1.3336874498742206e-05,Colon
512,STAU1_proteomics,-0.4259801376855453,1.3604138600393377e-05,Colon
449,S100A13_proteomics,0.42515940212664693,1.4191474810457382e-05,Colon
484,SLC50A1_proteomics,0.5407531314382037,1.6890675244315123e-05,Colon
522,TBC1D1_proteomics,0.429878746294538,1.7055900385620745e-05,Colon
426,RASSF2_proteomics,0.4603741065155126,1.733075868570796e-05,Colon
442,RPRD1B_proteomics,-0.4200391924928882,1.842780995241024e-05,Colon
206,HECTD1_proteomics,0.4191402964402317,1.9284162707767277e-05,Colon
48,ARFGEF2_proteomics,-0.41713893603005436,2.1326560511170188e-05,Colon
32,ALG13_proteomics,-0.4339852015474232,2.1487029232681772e-05,Colon
413,RAB27A_proteomics,0.4168070577403171,2.1684227003642657e-05,Colon
531,TIMM13_proteomics,-0.41650045671651276,2.2019637603397367e-05,Colon
302,MRPL42_proteomics,-0.4242347338762474,2.257174119084838e-05,Colon
528,TFCP2_proteomics,-0.4135731260839518,2.547600910474771e-05,Colon
7,ACOT8_proteomics,-0.41354616407589007,2.5510083458042267e-05,Colon
404,PTPN2_proteomics,0.4303801689011899,2.5575910336507868e-05,Colon
488,SLK_proteomics,0.41347546552132325,2.559963434824811e-05,Colon
385,PPIF_proteomics,-0.4133651330276644,2.5739975919605096e-05,Colon
379,PLD1_proteomics,0.4192192351125398,2.883349291722488e-05,Colon
532,TIMM17B_proteomics,-0.4234262952921583,2.8909652154971682e-05,Colon
601,XRCC6_proteomics,-0.4095128807598822,3.1116393022664704e-05,Colon
558,TRPT1_proteomics,0.42667856726581194,3.392767156059891e-05,Colon
194,GSDMD_proteomics,0.4076147821576612,3.41358466365871e-05,Colon
537,TMCO1_proteomics,-0.4074735033819134,3.437120227577981e-05,Colon
564,U2AF1_proteomics,-0.40626706728279854,3.644366744543077e-05,Colon
278,MICAL3_proteomics,0.4121956036801262,3.659277905988791e-05,Colon
571,UCHL3_proteomics,-0.40505809759130124,3.863714181107574e-05,Colon
429,RBM12_proteomics,-0.4048988174733451,3.8935151873466717e-05,Colon
118,CSTF1_proteomics,-0.4044453440959739,3.979538981667221e-05,Colon
44,APBB1IP_proteomics,0.4043758593035532,3.992875980703307e-05,Colon
366,PDE4D_proteomics,0.4124064199733425,3.996286496284828e-05,Colon
347,NPTN_proteomics,0.40312495697978445,4.240231478194845e-05,Colon
470,SERPINC1_proteomics,0.40061379751764015,4.7805616503147205e-05,Colon
389,PPP1CC_proteomics,0.400391406633117,4.831388062797403e-05,Colon
38,ANKFY1_proteomics,0.40031233575057645,4.849580502038349e-05,Colon
409,PYGL_proteomics,0.40026264405796486,4.8610461242556644e-05,Colon
279,MICALL1_proteomics,0.3972457445224131,5.606483049946271e-05,Colon
503,SPTLC2_proteomics,0.3971036796275895,5.644084772663628e-05,Colon
