,Comparison,Correlation,P_value
280,EGFR_proteomics,1.0,0.0
522,LANCL2_proteomics,0.7967283641326608,3.7981943155461576e-25
689,PHLDA3_proteomics,0.7637844857470779,4.542520609977959e-22
687,PHLDA1_proteomics,0.6642710702729873,3.4266153320094797e-15
688,PHLDA2_proteomics,0.6490337294497416,2.3021292769390686e-14
1004,TPBG_proteomics,0.5508984611671387,5.408669990470611e-10
85,ASRGL1_proteomics,-0.532420805979052,2.543320689758115e-09
412,GRB2_proteomics,-0.532341215310538,2.5598240490135205e-09
358,FSCN1_proteomics,0.5264347695861407,4.1176647890737886e-09
492,JAG1_proteomics,0.5193675703808045,7.186589142408846e-09
472,IRF6_proteomics,0.5142276477593416,1.0690472073234034e-08
141,CD109_proteomics,0.5140019229435475,1.0876919641109324e-08
951,SUMF2_proteomics,0.513876120165785,1.0982179745924328e-08
700,PKN1_proteomics,-0.5084976649711582,1.6517096004527023e-08
584,MPP1_proteomics,-0.5084001720738488,1.6638659293731308e-08
1051,WAS_proteomics,-0.5034268684782973,2.4113325017541083e-08
617,NDRG1_proteomics,0.4953263887241109,4.357925409107438e-08
304,EXOC6_proteomics,-0.4944648402198387,4.6368828145109087e-08
410,GRAP_proteomics,-0.49210526161301443,5.490943030761498e-08
82,ARRB1_proteomics,-0.4919111584556752,5.567523487451946e-08
521,LAMP2_proteomics,0.4887170107488884,6.984136769989813e-08
406,GPRIN3_proteomics,-0.5445271846593618,7.159621410487708e-08
389,GMIP_proteomics,-0.48274154348997167,1.0607590312205474e-07
89,ATP2B4_proteomics,0.48056278202731373,1.2329367264723357e-07
452,IL16_proteomics,-0.47871634249808104,1.3994173133838956e-07
852,RTN1_proteomics,-0.47867465065580217,1.4034131284948695e-07
232,CTSS_proteomics,-0.4785301637263124,1.4173453366482874e-07
679,PECAM1_proteomics,-0.4779330904632045,1.4763292328083745e-07
730,PPFIBP1_proteomics,0.47462765966596715,1.8475937928966017e-07
694,PIK3AP1_proteomics,-0.4734454453412432,2.0007951681674783e-07
681,PFKP_proteomics,0.47213452929198235,2.1848077134321891e-07
260,DOCK8_proteomics,-0.4710626597250119,2.3471339936321523e-07
975,TENM2_proteomics,0.4708342397356705,2.383180717418957e-07
311,FAM107B_proteomics,-0.4707910089197826,2.3900619949958585e-07
471,IRF5_proteomics,-0.4699488782845669,2.5279434052051376e-07
88,ATP2A3_proteomics,-0.46822501619909623,2.834171672097094e-07
698,PIP4K2A_proteomics,-0.46803887878046246,2.8692731557436366e-07
377,GIMAP8_proteomics,-0.46734241327377013,3.004317835958607e-07
96,BIN2_proteomics,-0.466494265425562,3.176949505162471e-07
71,ARHGAP4_proteomics,-0.46641297682921207,3.193981834680214e-07
68,ARHGAP25_proteomics,-0.4661374699208939,3.2523572524150267e-07
808,RCSD1_proteomics,-0.46585790688077117,3.3126290889859934e-07
24,ADA2_proteomics,-0.46583556560269346,3.317491301860936e-07
70,ARHGAP30_proteomics,-0.4656505687590924,3.3580145885310175e-07
350,FNBP1_proteomics,-0.4635221178342521,3.8594481170881317e-07
746,PREX1_proteomics,-0.46300983691832176,3.99035686829628e-07
488,ITPR1_proteomics,-0.46233601237783306,4.16898752673098e-07
885,SEPT1_proteomics,-0.46218877739770314,4.209019313519391e-07
37,AHNAK2_proteomics,0.460030656704128,4.839412242422305e-07
165,CELF2_proteomics,-0.45969704444904996,4.944532235858475e-07
336,FHIT_proteomics,-0.4681310660984413,5.413160014255303e-07
79,ARL15_proteomics,0.45785303428236634,5.565858143334042e-07
621,NFATC2_proteomics,-0.45753634751797206,5.679765294142425e-07
976,TESC_proteomics,-0.4678048673652177,6.280915788738798e-07
105,BTK_proteomics,-0.45487270981593275,6.729499167298105e-07
750,PRKCB_proteomics,-0.45425750894818057,6.996893309568912e-07
703,PLAU_proteomics,0.45186517098401147,8.135765501967518e-07
318,FAT2_proteomics,0.44969462599017473,9.319454009524723e-07
373,GIMAP1-GIMAP5_proteomics,-0.449682807240268,9.326325572950511e-07
236,CYFIP2_proteomics,-0.4488312062809535,9.83431196443925e-07
48,ANKRD44_proteomics,-0.44847678974932303,1.005336833392235e-06
329,FERMT3_proteomics,-0.44811058081592225,1.0284572264125872e-06
367,GCC2_proteomics,-0.44785756009461336,1.04472527055565e-06
376,GIMAP7_proteomics,-0.44404945238790944,1.3210688551054316e-06
481,ITGAL_proteomics,-0.4438449068890873,1.3377200617406303e-06
72,ARHGAP45_proteomics,-0.44361982477371875,1.3562729523466459e-06
654,P4HA2_proteomics,0.44346054281274505,1.3695492295120328e-06
482,ITGAV_proteomics,0.4428407536140119,1.4223908397161948e-06
13,ACAP1_proteomics,-0.4422000273812984,1.479045793238391e-06
1068,ZBP1_proteomics,-0.442137854937479,1.4846556782984693e-06
128,CARD8_proteomics,-0.4420912074734858,1.4888779633536424e-06
510,KIF13B_proteomics,-0.4409492106991713,1.595866241684417e-06
424,HCLS1_proteomics,-0.4407619945821126,1.6140861176106405e-06
891,SERPINE1_proteomics,0.44058980862939956,1.6310171073916581e-06
1014,TRIP6_proteomics,0.4404324988714384,1.6466323010085362e-06
473,ISG20_proteomics,-0.44029190301190735,1.6607081815251689e-06
4,ABI3_proteomics,-0.44012798284634724,1.677263131364608e-06
259,DOCK2_proteomics,-0.4400847028736206,1.6816601687282443e-06
461,INPP5D_proteomics,-0.4400583857621493,1.6843391978159522e-06
1043,VAV1_proteomics,-0.43946391089850745,1.745943823346517e-06
735,PPM1K_proteomics,-0.4388457323694496,1.812265281199678e-06
453,IL1RAP_proteomics,0.43878359073020146,1.8190625843955986e-06
653,P4HA1_proteomics,0.43838024410527143,1.8637728096900646e-06
717,PLOD1_proteomics,0.4370437775073418,2.0194718001212863e-06
172,CGGBP1_proteomics,-0.4368511964664086,2.0428977511851033e-06
635,NUB1_proteomics,-0.4337400677994331,2.4588950496279657e-06
335,FGL2_proteomics,-0.4335338962802843,2.489121527900838e-06
1056,WIPF1_proteomics,-0.4332703408113532,2.5282731615041573e-06
965,TBC1D1_proteomics,-0.43320159163906957,2.5385813883099386e-06
308,F11R_proteomics,0.43231466183825784,2.675184117644018e-06
174,CHCHD2_proteomics,0.43191308632664227,2.7392948254617434e-06
939,ST6GAL1_proteomics,-0.4310267641993515,2.885975527804016e-06
278,EFNA1_proteomics,0.4304135149258218,2.991779215871139e-06
799,RASIP1_proteomics,-0.4303666495631692,3.000013978198652e-06
588,MSRA_proteomics,-0.4302357864495482,3.023121712840938e-06
98,BLOC1S5_proteomics,-0.4299276903252824,3.078191542003374e-06
262,DOK2_proteomics,-0.42929088899833834,3.195035720969672e-06
916,SMAP2_proteomics,-0.42839089201604824,3.3673421766220983e-06
