,Comparison,Correlation,P_value,Cancer Type
2670,EGFR_proteomics,1.0,0.0,Hnscc
4657,LANCL2_proteomics,0.7967283641326608,3.7981943155461576e-25,Hnscc
6502,PHLDA3_proteomics,0.7637844857470779,4.542520609977959e-22,Hnscc
6500,PHLDA1_proteomics,0.6642710702729873,3.4266153320094797e-15,Hnscc
6501,PHLDA2_proteomics,0.6490337294497416,2.3021292769390686e-14,Hnscc
9364,TPBG_proteomics,0.5508984611671387,5.408669990470611e-10,Hnscc
710,ASRGL1_proteomics,-0.532420805979052,2.543320689758115e-09,Hnscc
3668,GRB2_proteomics,-0.532341215310538,2.5598240490135205e-09,Hnscc
3315,FSCN1_proteomics,0.5264347695861407,4.1176647890737886e-09,Hnscc
4353,JAG1_proteomics,0.5193675703808045,7.186589142408846e-09,Hnscc
4276,IRF6_proteomics,0.5142276477593416,1.0690472073234034e-08,Hnscc
1408,CD109_proteomics,0.5140019229435475,1.0876919641109324e-08,Hnscc
8783,SUMF2_proteomics,0.513876120165785,1.0982179745924328e-08,Hnscc
6587,PKN1_proteomics,-0.5084976649711582,1.6517096004527023e-08,Hnscc
5325,MPP1_proteomics,-0.5084001720738488,1.6638659293731308e-08,Hnscc
9967,WAS_proteomics,-0.5034268684782973,2.4113325017541083e-08,Hnscc
5730,NDRG1_proteomics,0.4953263887241109,4.357925409107438e-08,Hnscc
2925,EXOC6_proteomics,-0.4944648402198387,4.6368828145109087e-08,Hnscc
3664,GRAP_proteomics,-0.49210526161301443,5.490943030761498e-08,Hnscc
672,ARRB1_proteomics,-0.4919111584556752,5.567523487451946e-08,Hnscc
4649,LAMP2_proteomics,0.4887170107488884,6.984136769989813e-08,Hnscc
3647,GPRIN3_proteomics,-0.5445271846593618,7.159621410487708e-08,Hnscc
3537,GMIP_proteomics,-0.48274154348997167,1.0607590312205474e-07,Hnscc
767,ATP2B4_proteomics,0.48056278202731373,1.2329367264723357e-07,Hnscc
4171,IL16_proteomics,-0.47871634249808104,1.3994173133838956e-07,Hnscc
7801,RTN1_proteomics,-0.47867465065580217,1.4034131284948695e-07,Hnscc
2132,CTSS_proteomics,-0.4785301637263124,1.4173453366482874e-07,Hnscc
6400,PECAM1_proteomics,-0.4779330904632045,1.4763292328083745e-07,Hnscc
6808,PPFIBP1_proteomics,0.47462765966596715,1.8475937928966017e-07,Hnscc
6543,PIK3AP1_proteomics,-0.4734454453412432,2.0007951681674783e-07,Hnscc
6444,PFKP_proteomics,0.47213452929198235,2.1848077134321891e-07,Hnscc
2500,DOCK8_proteomics,-0.4710626597250119,2.3471339936321523e-07,Hnscc
8995,TENM2_proteomics,0.4708342397356705,2.383180717418957e-07,Hnscc
2982,FAM107B_proteomics,-0.4707910089197826,2.3900619949958585e-07,Hnscc
4275,IRF5_proteomics,-0.4699488782845669,2.5279434052051376e-07,Hnscc
765,ATP2A3_proteomics,-0.46822501619909623,2.834171672097094e-07,Hnscc
6562,PIP4K2A_proteomics,-0.46803887878046246,2.8692731557436366e-07,Hnscc
3488,GIMAP8_proteomics,-0.46734241327377013,3.004317835958607e-07,Hnscc
944,BIN2_proteomics,-0.466494265425562,3.176949505162471e-07,Hnscc
591,ARHGAP4_proteomics,-0.46641297682921207,3.193981834680214e-07,Hnscc
583,ARHGAP25_proteomics,-0.4661374699208939,3.2523572524150267e-07,Hnscc
7436,RCSD1_proteomics,-0.46585790688077117,3.3126290889859934e-07,Hnscc
160,ADA2_proteomics,-0.46583556560269346,3.317491301860936e-07,Hnscc
587,ARHGAP30_proteomics,-0.4656505687590924,3.3580145885310175e-07,Hnscc
3265,FNBP1_proteomics,-0.4635221178342521,3.8594481170881317e-07,Hnscc
6922,PREX1_proteomics,-0.46300983691832176,3.99035686829628e-07,Hnscc
4340,ITPR1_proteomics,-0.46233601237783306,4.16898752673098e-07,Hnscc
8026,SEPT1_proteomics,-0.46218877739770314,4.209019313519391e-07,Hnscc
272,AHNAK2_proteomics,0.460030656704128,4.839412242422305e-07,Hnscc
1557,CELF2_proteomics,-0.45969704444904996,4.944532235858475e-07,Hnscc
3205,FHIT_proteomics,-0.4681310660984413,5.413160014255303e-07,Hnscc
633,ARL15_proteomics,0.45785303428236634,5.565858143334042e-07,Hnscc
5828,NFATC2_proteomics,-0.45753634751797206,5.679765294142425e-07,Hnscc
9008,TESC_proteomics,-0.4678048673652177,6.280915788738798e-07,Hnscc
1036,BTK_proteomics,-0.45487270981593275,6.729499167298105e-07,Hnscc
6946,PRKCB_proteomics,-0.45425750894818057,6.996893309568912e-07,Hnscc
6609,PLAU_proteomics,0.45186517098401147,8.135765501967518e-07,Hnscc
3099,FAT2_proteomics,0.44969462599017473,9.319454009524723e-07,Hnscc
3483,GIMAP1-GIMAP5_proteomics,-0.449682807240268,9.326325572950511e-07,Hnscc
2191,CYFIP2_proteomics,-0.4488312062809535,9.83431196443925e-07,Hnscc
430,ANKRD44_proteomics,-0.44847678974932303,1.005336833392235e-06,Hnscc
3179,FERMT3_proteomics,-0.44811058081592225,1.0284572264125872e-06,Hnscc
3425,GCC2_proteomics,-0.44785756009461336,1.04472527055565e-06,Hnscc
3487,GIMAP7_proteomics,-0.44404945238790944,1.3210688551054316e-06,Hnscc
4312,ITGAL_proteomics,-0.4438449068890873,1.3377200617406303e-06,Hnscc
593,ARHGAP45_proteomics,-0.44361982477371875,1.3562729523466459e-06,Hnscc
6196,P4HA2_proteomics,0.44346054281274505,1.3695492295120328e-06,Hnscc
4314,ITGAV_proteomics,0.4428407536140119,1.4223908397161948e-06,Hnscc
90,ACAP1_proteomics,-0.4422000273812984,1.479045793238391e-06,Hnscc
10145,ZBP1_proteomics,-0.442137854937479,1.4846556782984693e-06,Hnscc
1263,CARD8_proteomics,-0.4420912074734858,1.4888779633536424e-06,Hnscc
4478,KIF13B_proteomics,-0.4409492106991713,1.595866241684417e-06,Hnscc
3817,HCLS1_proteomics,-0.4407619945821126,1.6140861176106405e-06,Hnscc
8065,SERPINE1_proteomics,0.44058980862939956,1.6310171073916581e-06,Hnscc
9470,TRIP6_proteomics,0.4404324988714384,1.6466323010085362e-06,Hnscc
4288,ISG20_proteomics,-0.44029190301190735,1.6607081815251689e-06,Hnscc
61,ABI3_proteomics,-0.44012798284634724,1.677263131364608e-06,Hnscc
2495,DOCK2_proteomics,-0.4400847028736206,1.6816601687282443e-06,Hnscc
4228,INPP5D_proteomics,-0.4400583857621493,1.6843391978159522e-06,Hnscc
9877,VAV1_proteomics,-0.43946391089850745,1.745943823346517e-06,Hnscc
