,Comparison,Correlation,P_value,Cancer Type
2488,EGFR_proteomics,1.0,0.0,Kidney
717,ATP11A_proteomics,0.5770791126332542,2.010562859545182e-07,Kidney
488,APAF1_proteomics,0.5609093043557825,4.4898890144201137e-07,Kidney
6161,PLCB1_proteomics,0.5619523505883179,4.4898890144201137e-07,Kidney
3756,HPCAL1_proteomics,0.5566812490346316,4.5435896117510743e-07,Kidney
5611,NUDCD3_proteomics,0.5562135224443416,4.5435896117510743e-07,Kidney
2616,ENPP3_proteomics,0.5544967541293412,4.5435896117510743e-07,Kidney
7386,SCARB1_proteomics,0.5399166280816554,1.3949715191911568e-06,Kidney
9542,ZC3HAV1L_proteomics,0.5354991544082187,1.7926860413731162e-06,Kidney
6010,PGK1_proteomics,0.53244966986068,2.0745453152893176e-06,Kidney
2417,DYNC1LI1_proteomics,-0.5309866646802255,2.125809902062353e-06,Kidney
6389,PPP1R13L_proteomics,0.5274531008381123,2.396286818503453e-06,Kidney
8668,TMEM30A_proteomics,0.5277094863954344,2.396286818503453e-06,Kidney
5848,PBRM1_proteomics,-0.5215220759085548,3.574792466217713e-06,Kidney
5321,NDUFA4L2_proteomics,0.5204969693553742,3.618056441273525e-06,Kidney
5548,NR2C2AP_proteomics,0.5156896111109901,4.942168202163607e-06,Kidney
7678,SLC16A3_proteomics,0.5145067279205569,5.098288309128308e-06,Kidney
333,ALDOC_proteomics,0.510441761627153,5.641540509420278e-06,Kidney
9472,YBX3_proteomics,0.5371583288770783,5.641540509420278e-06,Kidney
7773,SLC39A14_proteomics,0.5110418515536013,5.641540509420278e-06,Kidney
9471,YBX3_proteomics,0.5371583288770783,5.641540509420278e-06,Kidney
1461,CEMIP2_proteomics,0.5080964343410768,6.437378079998402e-06,Kidney
8789,TPI1_proteomics,0.5070935778067069,6.643103005036897e-06,Kidney
6686,PUS7_proteomics,0.5059292037346123,6.950743782277488e-06,Kidney
4097,JPT2_proteomics,0.5050421842010804,7.132877927987743e-06,Kidney
6706,PYGL_proteomics,0.5031492276613793,7.902485896444648e-06,Kidney
376,AMPD2_proteomics,0.5006987732586918,9.13008203319737e-06,Kidney
5487,NOL3_proteomics,0.4959086735293742,1.2517684529399133e-05,Kidney
9199,USP11_proteomics,-0.4913958893007957,1.6755270071273692e-05,Kidney
1821,COX7A2L_proteomics,-0.49083705528816024,1.6859866726101394e-05,Kidney
6277,POLD2_proteomics,0.4803005162975936,3.379544962500113e-05,Kidney
644,ARPC5L_proteomics,-0.48006052802495525,3.379544962500113e-05,Kidney
2585,EMC2_proteomics,-0.47905902424690094,3.512314477415202e-05,Kidney
8399,TCAF2_proteomics,0.47844933987209864,3.5555341507432726e-05,Kidney
7030,RHOB_proteomics,0.47596236519311785,4.0973294545594094e-05,Kidney
1502,CFAP36_proteomics,0.47319773673047216,4.808916717998752e-05,Kidney
8897,TRNT1_proteomics,-0.4704782580114704,5.622043650050447e-05,Kidney
8576,TM6SF1_proteomics,-0.6139687480218804,5.9339409934548006e-05,Kidney
4190,KIAA1671_proteomics,0.46843251165861954,6.117412696125585e-05,Kidney
8703,TMSB10_proteomics,0.46681965249483837,6.324832640797132e-05,Kidney
