,Comparison,Correlation,P_value
2832,EGFR_proteomics,1.0,0.0
6790,PHLDA1_proteomics,0.7098116757596845,3.919195497958474e-18
6792,PHLDA3_proteomics,0.6856437017419061,1.4123094176462207e-16
4884,LANCL2_proteomics,0.5722612417035284,6.528910213751107e-11
4532,ITGB4_proteomics,0.567379918673675,1.0269808364774248e-10
4392,IL1RAP_proteomics,0.5498912671308103,4.90537317431362e-10
9817,TRIM29_proteomics,0.5407122774801669,1.0757536689887667e-09
2191,CSNK1A1_proteomics,0.5315294648782994,2.3056531521932346e-09
4513,ITGA2_proteomics,0.5305344871888873,2.500782453320639e-09
1776,CHCHD2_proteomics,0.5295961026925241,2.699271806001706e-09
6047,NECTIN1_proteomics,0.5220843119010871,4.9336544073033674e-09
3265,FAT2_proteomics,0.5209714696535914,5.38805683335461e-09
8371,SESN3_proteomics,0.5153243266065364,8.38482678308613e-09
7821,RIN1_proteomics,0.5085529450060499,1.4100295660007858e-08
1670,CELSR1_proteomics,0.5053289858419251,1.798821732126695e-08
4860,LAD1_proteomics,0.5032228908135311,2.1061451673743973e-08
4827,KRT5_proteomics,0.5031481448102282,2.117926572830214e-08
3532,FZD6_proteomics,0.5004563630880492,2.586833750324522e-08
1606,CDCP1_proteomics,0.49553385182350684,3.7126334610075307e-08
8394,SFN_proteomics,0.4949873896086441,3.863220705535862e-08
910,BAG3_proteomics,0.49280881624693584,4.523662578927128e-08
2936,ENDOD1_proteomics,0.49273204298382045,4.548800494652809e-08
4870,LAMB3_proteomics,0.492286041839352,4.697496293825685e-08
5593,MPZL2_proteomics,0.4898771731133481,5.584359087990555e-08
6791,PHLDA2_proteomics,0.545422143719086,6.74867579089618e-08
7174,PPP4R1_proteomics,0.4775550150203627,1.325157295496118e-07
4873,LAMC2_proteomics,0.47641054930827753,1.433447950959028e-07
500,ANXA8_proteomics,0.4737156877077351,1.7227475997771504e-07
4828,KRT6A_proteomics,0.46695591062221486,2.7133377794827437e-07
8937,SRC_proteomics,0.46615810465078955,2.8609412612063827e-07
5463,MICALL1_proteomics,0.4640939485242632,3.2791373208263395e-07
3738,GNA15_proteomics,0.4719096374583623,3.7371993796379604e-07
4518,ITGA6_proteomics,0.46007149259951086,4.266885562938389e-07
468,ANKRD50_proteomics,0.4600127760496875,4.283210301253342e-07
4256,HSPB1_proteomics,0.45986376845742977,4.324905393459446e-07
4536,ITGB8_proteomics,0.4586921444006671,4.66646420220118e-07
9551,TMEM134_proteomics,0.45584794489232494,5.60551556274342e-07
3234,FAM83H_proteomics,0.4557659485272235,5.635085545060093e-07
4818,KRT19_proteomics,0.4547093715715852,6.029626064625929e-07
6893,PKP3_proteomics,0.45369073978910396,6.434746609923036e-07
7265,PROM2_proteomics,0.5084142082234286,6.780181365196675e-07
5228,MAP3K6_proteomics,0.45140537303883477,7.439784507618377e-07
7319,PSIP1_proteomics,-0.450878159433894,7.691936110867952e-07
2029,COL7A1_proteomics,0.4494161585961959,8.434319291528912e-07
9674,TNKS1BP1_proteomics,0.4477544135509863,9.360650702285614e-07
9635,TMPRSS4_proteomics,0.44616076558972595,1.0339116485921998e-06
2980,EPHA2_proteomics,0.4450282177569803,1.1092649608561204e-06
6179,NOL3_proteomics,0.4432696345486756,1.2366809250864646e-06
7482,RAB10_proteomics,0.4424926453190173,1.2972921256271552e-06
3498,FSCN1_proteomics,0.4420777079305946,1.3308037554401242e-06
6523,PANX1_proteomics,0.4419226462453669,1.3435364229300885e-06
264,AGAP3_proteomics,0.45020511609207525,1.44548807033076e-06
7142,PPP1R13L_proteomics,0.440445730796978,1.4707404632233957e-06
3264,FAT1_proteomics,0.43453547092097355,2.103373745937003e-06
2176,CRYBG2_proteomics,0.45324169323128494,2.187628823121987e-06
1870,CLCA2_proteomics,0.43370204458921346,2.2110212180124927e-06
3228,FAM83B_proteomics,0.43230122001114957,2.403794613249444e-06
5968,NCKAP1_proteomics,0.4318550268142002,2.4684659273320046e-06
4751,KLC3_proteomics,0.4317545053347317,2.4832610898582034e-06
10421,WLS_proteomics,0.4316635129276851,2.496726056420437e-06
9960,TTYH3_proteomics,0.4405505516333142,2.5621839336230485e-06
6228,NPTN_proteomics,0.4278186043848085,3.1331989221879533e-06
6936,PLEKHA1_proteomics,0.42635387951673204,3.4138110226194845e-06
3171,FAM160A1_proteomics,0.42314752710930664,4.11319911079219e-06
4565,JADE3_proteomics,-0.42213152980214863,4.361691440638555e-06
501,ANXA8L1_proteomics,0.4191054907191797,5.188504367764519e-06
6989,PLXNB2_proteomics,0.41902871887672055,5.2112910289030214e-06
4484,IRF6_proteomics,0.41885913564386024,5.261960305936857e-06
2234,CTNNA1_proteomics,0.4163577521281071,6.065511992493301e-06
3686,GJA1_proteomics,0.4159466729993556,6.208167202375465e-06
2417,DDR1_proteomics,0.4157504963307168,6.277355842762003e-06
10245,VANGL1_proteomics,0.41558432883377455,6.336529059340553e-06
9694,TNS4_proteomics,0.4240889394745317,6.5357275322549945e-06
7348,PSPH_proteomics,0.41366255266779645,7.060236431994395e-06
2630,DNASE1L1_proteomics,0.41289752748608854,7.369466491588341e-06
8828,SOWAHC_proteomics,0.4119634222874493,7.764359575862675e-06
1641,CDKN1B_proteomics,-0.41157807175764305,7.933007807642462e-06
8590,SLC2A1_proteomics,0.4112543904760416,8.077328542182174e-06
8127,S100A2_proteomics,0.4109128027094805,8.23231483311295e-06
2050,COMT_proteomics,0.4106496577488151,8.353616270871792e-06
2000,COL14A1_proteomics,-0.4091488436056203,9.07827320444324e-06
9550,TMEM132A_proteomics,0.4087144793113726,9.298806175052131e-06
6985,PLXNA1_proteomics,0.4084144197801496,9.454087089034497e-06
8237,SDC1_proteomics,0.40830011807184585,9.513878075203241e-06
