,Comparison,Correlation_Gbm,P_value_Gbm,Correlation_kidney,P_value_kidney,Correlation_Ovar,P_value_Ovar,Correlation_Brca,P_value_Brca,Correlation_Luad,P_value_Luad,Correlation_hnscc,P_value_hnscc,Correlation_colon,P_value_colon,Correlation_Lscc,P_value_Lscc
0,EGFR_proteomics,0.9999999999999998,0.0,1.0,0.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,PHLDA1_proteomics,0.8168478152481624,6.553435386439516e-25,0.25443557318509064,0.0073106001218761815,0.3728410411338733,0.0727539174234371,0.3647974044559096,0.0001902968641768824,0.26010991704325576,0.011345998502413598,0.6642710702729873,3.42661533200948e-15,0.3861042848491417,0.02196847303866342,0.7098116757596845,3.919195497958473e-18
2,GRB2_proteomics,-0.6108891162098071,1.886384108144321e-11,-0.2174268000660176,0.02250643371172086,-0.1900896757516644,0.08520228333391508,-0.1773788287397987,0.057898783201392565,-0.3024385657756904,0.0013212650738275414,-0.532341215310538,2.5598240490135205e-09,0.15095975815868326,0.13994930017575194,-0.17481029596069686,0.06776395411668991
3,SOCS2_proteomics,0.5627196030682289,1.3434640782638405e-09,,,,,,,,,0.020297085759036958,0.8984786025936004,,,0.47857382010393895,0.0002191662181854632
4,CDH4_proteomics,0.5591797537196763,1.7900481215202167e-09,0.14840660949161086,0.2577813134775007,,,,,,,,,,,,
5,PLA2G15_proteomics,-0.5566242323733048,2.1975620249173136e-09,-0.2980294498940282,0.001565619407774808,-0.03539538264495537,0.7599025031888198,0.2741849473526441,0.003024564243936721,-0.1829300239886905,0.05576812489516947,-0.08931333949727661,0.35571759579783296,,,-0.13922111305322254,0.1469031106712695
6,DAB2_proteomics,-0.5564015379913563,2.2370098379586097e-09,-0.07617340724928492,0.4289806760434533,0.07698073673020353,0.4891136527559872,0.3260553475239116,0.0003764707210962175,-0.08640270942843724,0.36943762732644414,-0.2084366411133521,0.02962991660348082,-0.14751916418020578,0.14931294922694868,-0.06603120688768079,0.4931051440254233
7,GLA_proteomics,-0.5504906315237544,3.5702294261417187e-09,-0.2983475619308701,0.0015467040213645506,0.022300409189650275,0.8413944697645864,0.06950425537891887,0.4604531202999448,0.1637215958264345,0.08743921386645008,-0.019486448130398508,0.8406062323899077,0.0571180884023277,0.5784096355128465,-0.030735583275682037,0.7499157992508017
8,CTSC_proteomics,-0.5462852751917662,4.951742478740451e-09,-0.30231627569503383,0.0013275453634613366,-0.07245331181889404,0.5150937260449772,0.26693956593905577,0.0039283528478327185,0.30276041161402084,0.001304865432522853,-0.05229691338380784,0.5891481436976277,0.19362077329735303,0.0574007923573951,-0.07655381558453367,0.4266724477139901
9,CKB_proteomics,0.5442462597158703,5.793441254542527e-09,0.04777714513515975,0.620141425645565,-0.0036259730885388063,0.9740467595667924,0.015466043163906224,0.8696895876591018,0.006996204387108445,0.9421725943797924,-0.10040750697227914,0.2988849323717223,0.13326539499184756,0.1931524307557074,-0.08406387988645933,0.3825843043179477
10,DCBLD2_proteomics,-0.5653725668293248,6.4080703524936024e-09,-0.030321596826597238,0.8507262599346219,0.2278166343547349,0.0383257111595395,,,0.2659465146221208,0.007187041710813952,0.17573140911765842,0.13979610514645874,,,0.22255343464455213,0.019445201236326454
11,ARNT2_proteomics,0.5420787847456093,6.837755397258697e-09,-0.10003136682346142,0.5796665999750471,0.01852749161818316,0.8931977609051943,-0.24395824229879556,0.026245807099358618,,,,,,,,
12,SHC1_proteomics,-0.5405244914396086,7.695117931637705e-09,,,0.17509752571894166,0.11335765212874994,0.09090809168094884,0.33392745153484177,-0.13584358113008238,0.2621637252120521,-0.0859102282091423,0.3744158658246564,0.2032501666619065,0.04585503691460885,0.12392169252965465,0.19710882944928293
13,SCPEP1_proteomics,-0.531494133013942,1.51074842787198e-08,-0.386583468079414,3.024882596838577e-05,-0.021208262277545083,0.8490681065295612,0.3991869646977245,9.907282432492504e-06,-0.02828205967968705,0.7692967280439055,0.18499708197715745,0.05412726444093549,0.1084370001984888,0.29039434232374983,0.12870782545023154,0.18022600611578635
14,ROBO2_proteomics,0.5271277906035979,2.078744078781758e-08,,,0.21677628845639413,0.15753634791608576,-0.2065767635805212,0.10719869801042174,-0.034631675079016426,0.7634062144743442,-0.01664059746272479,0.9077322176692564,,,0.2618789164323751,0.010359414273432569
15,PHLDA3_proteomics,0.5258827854613878,2.2749193535040245e-08,0.4325299757098131,3.651700740714689e-06,-0.2644806582329193,0.020103855827028384,0.1851237636957071,0.04762500995308523,0.2317888048637517,0.014828914332835194,0.7637844857470779,4.542520609977958e-22,0.09688304949197514,0.4537982852408029,0.6856437017419061,1.4123094176462207e-16
16,BLOC1S2_proteomics,-0.5229648266822912,2.8063596415516746e-08,0.11948164550930525,0.21376538835202127,0.18498928187082228,0.09408004154842804,-0.047032749099712765,0.6176832141557337,-0.1615677401629998,0.09174239896406307,-0.2554786425608909,0.007336477760532714,0.17555710121857707,0.112399141631177,-0.09249111637637576,0.3365342883205853
17,ATP7A_proteomics,-0.5224817306372646,2.9050654593125225e-08,0.008752207314704958,0.9276935868692144,0.13500691555824232,0.22364282802687854,0.16794023550873402,0.0728053660361469,0.21414384612394086,0.024676477875667385,0.14021775055461486,0.14588148842923754,,,-0.047016549149331344,0.6257265582899224
18,MEOX2_proteomics,0.5458632466939957,3.15918193420926e-08,,,,,,,,,,,,,-0.15797394572916454,0.1075075625155882
19,CD180_proteomics,-0.5182666129723484,3.9188354698101024e-08,-0.0992893884826202,0.3020661770994463,-0.18042440816797334,0.10262861157235363,0.1814456401532185,0.05899728109387289,-0.034102576157929096,0.7235727949391719,-0.07414902744401906,0.4544203402408447,0.2228108752818761,0.14601322006652975,-0.05957817678789655,0.5363956150445046
20,FAM129B_proteomics,-0.5149840251387472,4.9338151849772536e-08,0.01668360378730549,0.8626575042002985,0.13903011043631594,0.21001895724878133,0.34409341711677,0.00016632733304323226,0.18891311819458487,0.04809374008047553,0.2116977705686348,0.02711776688403892,0.14632853163887474,0.15266052245636227,0.35320095999548584,0.00015381499473207978
