Comparison,Correlation
LANCL2,0.7967283641326608
PHLDA3,0.7637844857470779
PHLDA1,0.6642710702729873
PHLDA2,0.6490337294497416
TPBG,0.5508984611671387
ASRGL1,-0.5324208059790521
GRB2,-0.532341215310538
FSCN1,0.5264347695861407
JAG1,0.5193675703808045
IRF6,0.5142276477593416
CD109,0.5140019229435475
SUMF2,0.513876120165785
PKN1,-0.5084976649711582
MPP1,-0.5084001720738488
WAS,-0.5034268684782973
NDRG1,0.4953263887241109
EXOC6,-0.4944648402198387
GRAP,-0.4921052616130144
ARRB1,-0.4919111584556752
LAMP2,0.4887170107488884
GPRIN3,-0.5445271846593618
GMIP,-0.4827415434899717
ATP2B4,0.4805627820273137
IL16,-0.478716342498081
RTN1,-0.4786746506558022
CTSS,-0.4785301637263124
PECAM1,-0.4779330904632045
PPFIBP1,0.4746276596659672
PIK3AP1,-0.4734454453412432
PFKP,0.4721345292919824
DOCK8,-0.4710626597250119
TENM2,0.4708342397356705
FAM107B,-0.4707910089197826
IRF5,-0.4699488782845669
ATP2A3,-0.4682250161990962
PIP4K2A,-0.4680388787804625
GIMAP8,-0.4673424132737701
BIN2,-0.46649426542556205
ARHGAP4,-0.4664129768292121
ARHGAP25,-0.4661374699208939
RCSD1,-0.4658579068807712
ADA2,-0.4658355656026935
ARHGAP30,-0.4656505687590924
FNBP1,-0.4635221178342521
PREX1,-0.4630098369183218
ITPR1,-0.462336012377833
SEPT1,-0.4621887773977032
AHNAK2,0.460030656704128
CELF2,-0.45969704444905
FHIT,-0.4681310660984413
ARL15,0.4578530342823664
NFATC2,-0.4575363475179721
TESC,-0.4678048673652177
BTK,-0.4548727098159328
PRKCB,-0.4542575089481806
PLAU,0.4518651709840114
FAT2,0.4496946259901747
GIMAP1-GIMAP5,-0.44968280724026793
CYFIP2,-0.4488312062809535
ANKRD44,-0.44847678974932303
FERMT3,-0.4481105808159223
GCC2,-0.44785756009461336
GIMAP7,-0.44404945238790944
ITGAL,-0.4438449068890873
ARHGAP45,-0.4436198247737188
P4HA2,0.44346054281274505
ITGAV,0.4428407536140119
ACAP1,-0.4422000273812984
ZBP1,-0.442137854937479
CARD8,-0.4420912074734858
KIF13B,-0.4409492106991713
HCLS1,-0.4407619945821126
SERPINE1,0.4405898086293996
TRIP6,0.4404324988714384
ISG20,-0.44029190301190735
ABI3,-0.4401279828463472
DOCK2,-0.4400847028736206
INPP5D,-0.4400583857621493
VAV1,-0.43946391089850745
PPM1K,-0.4388457323694496
IL1RAP,0.4387835907302015
P4HA1,0.4383802441052714
PLOD1,0.4370437775073418
CGGBP1,-0.4368511964664086
NUB1,-0.4337400677994331
FGL2,-0.4335338962802843
WIPF1,-0.4332703408113532
TBC1D1,-0.4332015916390696
F11R,0.43231466183825773
CHCHD2,0.4319130863266423
ST6GAL1,-0.4310267641993515
EFNA1,0.4304135149258218
RASIP1,-0.4303666495631692
MSRA,-0.4302357864495482
BLOC1S5,-0.4299276903252824
DOK2,-0.4292908889983384
SMAP2,-0.42839089201604813
GRAP2,-0.4280928767245835
EXT1,0.4372183642149689
CADPS2,-0.44898414873437575
PTPN18,-0.4258698642603373
FADD,0.4253626536384056
RASAL3,-0.4249307088419797
MAP4K1,-0.4232537960756701
ADPRH,-0.42319209437660177
DOCK10,-0.4211909004674405
PACSIN1,-0.4642313736569086
INHBA,0.4205589520795511
RIPK3,-0.42049314202604027
CAVIN2,-0.4196447588164822
AP1S2,-0.4187672117278523
PRKAR2B,-0.4186443323233162
ANO1,0.41830133382150775
CD4,-0.4172324388659395
TMEM159,0.4172320149528149
ARHGDIB,-0.4172130431511783
GPSM3,-0.4163502879889822
CORO1A,-0.41624040770107457
GLRX,-0.4158674292676963
STX6,0.4156265148813595
CAMSAP2,0.41541673440419147
GLIPR2,-0.4152524066007333
NGLY1,-0.41500566527937777
SP2,-0.4647985567775924
CAB39L,-0.4135769168321187
CD276,0.41317233553674015
PURB,0.4123792046608771
MMRN2,-0.4121912191553697
SORBS2,-0.4117627025202684
CD34,-0.4116507158477375
FRMD6,0.4116095072250173
NSF,-0.4115194008275717
PTPN6,-0.411321190584976
NCKAP1L,-0.4107485259871254
ZAP70,-0.4101673910556346
NUP133,0.4098573672235587
SEPT6,-0.40965608156970745
TBC1D10C,-0.4096547816248133
LRRC8A,0.4086413027053424
MPZL1,0.40738623389397255
COL12A1,0.40719293203498497
IVNS1ABP,0.4070628568372416
PSTPIP1,-0.4070243361448293
CD48,-0.4065999601068356
CLIC2,-0.4062465297524333
FN3K,-0.4060099439765156
CARD11,-0.4048202958078945
FOSL2,0.4047681287730043
RASGRP2,-0.4046579281461644
GIMAP1,-0.4029098239851556
PIK3CG,-0.4024840049333565
PTPRC,-0.4023965480766871
NUP37,0.4021549575568661
HSD17B11,-0.4021456901239445
SKAP1,-0.4224476839351175
IKZF1,-0.4017369571387324
GPC1,0.4016066017618977
SLC2A1,0.40149734169546425
SELP,-0.4012807982103539
SASH3,-0.4011723614932973
THEMIS2,-0.4010718283582962
ARHGEF6,-0.4010364518648825
ITGB8,0.4008437150067259
CTTN,0.4002062693775088
NEDD9,-0.4326347141003749
GIMAP4,-0.3986168265735719
TRIM26,-0.39858862687571495
LIMD1,-0.39761943757262935
TFEB,-0.3970445515891313
CLSTN1,0.3963304448309263
ARRB2,-0.3959667040338391
PLCB2,-0.3957625801954976
CD2,-0.3957065223797676
GZMH,-0.3955829710054996
RFK,-0.3951549913154555
RPS3,0.3951088109241606
FERMT1,0.39493834108300585
HDDC3,-0.3943840233785104
GNG7,-0.4047302218447526
VPS13C,-0.3940090314155126
PUS7,0.3929848999781237
ITGA2,0.3927585591329192
KCNAB2,-0.3924041757456884
BAIAP2L1,0.39208310463083584
PHACTR2,-0.3920658195744773
FAM49A,-0.3918631295738604
ACVR1,0.4137529443857799
COL28A1,-0.3915485553642112
FKBP14,0.3911524246647626
JAK1,-0.3911420532307712
ECHDC1,-0.3905817666044027
PLEKHO1,-0.3903558167318909
NAAA,-0.3902383003594543
LCP2,-0.3900975548371692
COTL1,-0.39002114651327097
TMC5,-0.5509403464099658
ARL4C,0.466443416756075
PRNP,0.3895588658633055
MYO1G,-0.3895294803242211
ITGA5,0.3891455243561357
ARHGAP15,-0.3888292496480555
HID1,-0.3887660174033151
SOD3,-0.3886348891312989
COL11A1,0.3884581110361827
TTC9,-0.3882876870887532
GMPR,-0.3882876761269267
CD38,-0.3879386887546149
ENPP4,-0.3878129721232836
EPB41L3,-0.3876269591703295
FGD2,-0.38748963863260777
PICK1,-0.3957481266266538
SAMHD1,-0.3869854638257351
KANK4,0.39560660303762
FRY,-0.39719937849432907
CD5,-0.3969504486623524
IRF4,-0.3864794009764706
LAMC2,0.3863042786980868
PLXNA1,0.3860884510627962
YKT6,0.3860656057438393
TBRG4,0.3858472669065007
UBE2J1,-0.3849932453559095
P3H4,0.3849349963342849
SP110,-0.3845958346012061
KRIT1,0.3836194564655627
DSC3,0.38284338684804986
SERINC3,0.3826807408510621
CARMIL2,-0.4165152803861112
APBB1IP,-0.3825552618620904
BZW2,0.3821228367552638
SEMA4A,-0.3934151822672213
ERO1A,0.3809571010622293
CELSR1,0.3808765099839783
REPIN1,-0.38940737600229136
MMP14,0.3806904916697732
RASSF2,-0.38046114340987824
CSK,-0.3802600095388597
STAT5B,-0.3801315711032272
GJB3,0.5123446634583998
ANK2,-0.37933259623208027
PLCG2,-0.3789496501144576
EPB41,-0.3788716157354369
ADGRE5,-0.3783654250653158
ACSL5,-0.3783079316327603
