,Comparison,Correlation,P_value
963,EGFR_proteomics,1.0,0.0
734,LPAR1_proteomics,0.6722820479910396,2.1586430937701284e-11
498,FZD1_proteomics,0.6117335831741777,4.5321177627085835e-11
540,SLC27A1_proteomics,0.609468114176467,5.583581958716371e-11
106,ITGA6_proteomics,0.600443133573932,1.261442151781659e-10
644,DOCK1_proteomics,0.5955183069693211,1.947175692820365e-10
279,ITGB1_proteomics,0.5949753692672735,2.0417178597707222e-10
950,RAB14_proteomics,0.5715510192008193,1.4557624036961049e-09
594,GNAQ_proteomics,0.5631849280726806,2.830429956632968e-09
985,PTPRA_proteomics,0.5587926530865008,3.983565545498928e-09
170,GJA1_proteomics,0.5582566000710015,4.151819702985159e-09
322,GNA11_proteomics,0.5554749461238526,5.139966506243129e-09
660,PAK2_proteomics,-0.5368224281997176,2.0479085536816734e-08
205,ITGAV_proteomics,0.5311875066085516,3.059227952008248e-08
46,SQSTM1_proteomics,-0.5267857658606836,4.1645905624189564e-08
1044,MYOF_proteomics,0.5214798163712463,6.00538832319395e-08
969,CACYBP_proteomics,-0.5140700037850373,9.909452535272117e-08
285,IGF1R_proteomics,0.5097405985746927,1.3205749509313109e-07
588,ITGB6_proteomics,0.5080759774353389,1.4731813645304652e-07
463,EIF2S1_proteomics,-0.504002734263092,1.9204789503069493e-07
155,RFC4_proteomics,-0.49822916531896033,2.7802849251607525e-07
149,ADAM17_proteomics,0.4901258921242877,4.6204237280119354e-07
0,CD81_proteomics,0.4885878597337413,5.080582765672463e-07
538,ITGB4_proteomics,0.4862453953085209,5.865771410449862e-07
502,CD44_proteomics,0.48617069484858605,5.892611378220931e-07
764,PDGFRB_proteomics,0.4855128302327105,6.134063587254272e-07
675,RTN4_proteomics,0.47056380530201,1.4942328163242942e-06
479,CDH1_proteomics,0.46702182301196127,1.83394519092618e-06
576,CSNK2B_proteomics,-0.4541288168792321,3.7927802528464623e-06
458,RAC1_proteomics,0.450796285636792,4.554677021675136e-06
245,CAV1_proteomics,0.44957281259008,4.868948578747662e-06
460,ITGB5_proteomics,0.44692228692128144,5.62120755645376e-06
1038,ACVR1_proteomics,0.45785172185409867,5.697656626018236e-06
746,CDC42_proteomics,0.4428251407746119,7.002558842362938e-06
351,RHOC_proteomics,0.4389992282347002,8.575489972680233e-06
846,GRB2_proteomics,-0.43733586407512703,9.35812085132489e-06
822,GNAS_proteomics,0.42818484664030737,1.5008302701240426e-05
691,MAP3K2_proteomics,-0.4241794993745035,1.8376834989419074e-05
177,GNG2_proteomics,0.4239567465541704,1.85835513173234e-05
293,SLC39A7_proteomics,0.42355109098668015,1.896561027577846e-05
962,CDK1_proteomics,-0.4225479685954462,1.994221558985225e-05
805,UBE2T_proteomics,-0.44454351335486364,2.5509195529162627e-05
11,SLC39A6_proteomics,0.41320800253301904,3.158782283691369e-05
556,GNAI3_proteomics,0.41286269771035067,3.2121191046345965e-05
978,GNG12_proteomics,0.4123716229536446,3.289422894693496e-05
27,LBR_proteomics,0.41011366968486934,3.667763216907651e-05
1002,CTNNB1_proteomics,0.40762481913475973,4.131677303179742e-05
817,HSP90AB1_proteomics,-0.40465792580549165,4.7561340591865916e-05
116,RALA_proteomics,0.40459140825330264,4.7710938954747906e-05
655,FZD6_proteomics,0.4005691924230773,5.761756479226905e-05
816,EIF2AK2_proteomics,-0.3993021518299361,6.111518623825331e-05
567,NPC1_proteomics,0.39881482361746473,6.25123280656423e-05
201,PGK2_proteomics,-0.39865302966180494,6.29827195811708e-05
268,CDH11_proteomics,0.39801996078106006,6.485513152946066e-05
247,AIP_proteomics,-0.3971354703747376,6.755806012716466e-05
879,RAB10_proteomics,0.39694576669094683,6.815127026188579e-05
622,RAP1B_proteomics,0.39617787441510827,7.060237339331762e-05
432,ITGB8_proteomics,0.3945396942198813,7.610807218516962e-05
984,ATAD2_proteomics,-0.3925348033069063,8.338936013852009e-05
993,UBE2C_proteomics,-0.39166784309898633,8.673422415797609e-05
900,CAPN2_proteomics,0.3916634337941512,8.67515501937675e-05
126,NFKB2_proteomics,-0.3913237801090923,8.809590292221583e-05
290,NCKAP1_proteomics,0.3912059956907351,8.856659774917289e-05
853,KPNA1_proteomics,-0.3899451306102018,9.375384500580815e-05
852,CHTF8_proteomics,-0.4612909735173262,9.691733617640667e-05
344,MGST2_proteomics,0.38765651705941473,0.00010389696243717393
883,INSR_proteomics,0.3842876794207272,0.00012069282384927461
239,FAS_proteomics,0.38314584946006164,0.0001269345618071529
45,G6PC3_proteomics,0.37976016385793404,0.00014724524275466896
530,SLC39A11_proteomics,0.3795990375076626,0.0001482830633977507
536,STAT1_proteomics,-0.37865026340796215,0.00015453280783955404
901,ITGA2_proteomics,0.37861498974078256,0.00015476979682032516
274,PRDX1_proteomics,-0.3748793208229221,0.00018186171048624036
81,COL9A2_proteomics,-0.411195909970302,0.00018416057962796338
708,SLC39A10_proteomics,0.3745547887059615,0.00018441126992899866
82,PSAT1_proteomics,-0.3742258211433825,0.00018702937247126557
125,FAM91A1_proteomics,-0.3725713299643527,0.00020072561686524266
40,GNAI2_proteomics,0.37124447363031504,0.00021237303779882122
856,RELB_proteomics,-0.3710099088402053,0.00021449590985096785
406,ACTB_proteomics,-0.3707232854360921,0.00021711652964719774
1037,LMNB2_proteomics,0.37005822211306627,0.00022331157120255115
184,NFATC3_proteomics,-0.36948595982437804,0.00022877239165405074
62,PLCE1_proteomics,0.36561533427226633,0.000269068256052565
607,TYMP_proteomics,-0.36483824460191094,0.0002779084974591044
934,MTOR_proteomics,0.36142034207412765,0.00032006066088911085
343,CFL1_proteomics,-0.3573406768319637,0.0003780497712648729
1012,NRAS_proteomics,0.3570383265978483,0.0003827103899731155
518,PRKAA1_proteomics,0.35696868323202835,0.000383791374865986
69,LAMTOR3_proteomics,-0.35604271856677716,0.0003984332175128561
921,EIF4B_proteomics,-0.35494723874184264,0.0004164176724897427
664,FGFR2_proteomics,0.35292770773411175,0.00045154002414649974
145,RALB_proteomics,0.34988185904748415,0.0005096789214107548
252,SNAI2_proteomics,0.5496337265826078,0.0005163012054132148
784,ARHGAP35_proteomics,0.34866523553065826,0.0005347620749484201
380,FASN_proteomics,-0.34824985187785884,0.0005435818409797023
597,COL1A1_proteomics,0.34775624390337584,0.0005542357605886595
441,RAB2A_proteomics,0.3475323647083183,0.0005591306964045761
91,WNT5A_proteomics,0.3468665749471921,0.0005739226244263571
404,TP53_proteomics,-0.36846333013485,0.0006094354391337385
148,MGST3_proteomics,0.34339632222886024,0.0006569902438562674
271,PPP5C_proteomics,-0.3425798074771899,0.0006780696272487573
222,LRRC8A_proteomics,0.3425109975510514,0.0006798740003251182
129,BCL2_proteomics,0.3513727484317394,0.0006843325444110891
589,PRKAG1_proteomics,0.34220549850822657,0.0006879381084275537
123,JAG1_proteomics,0.3415314839986673,0.0007060399409837247
1004,CLTC_proteomics,0.340604812593095,0.0007316383740914693
939,FGFR3_proteomics,0.591004669289917,0.0007358777778532365
425,COL3A1_proteomics,0.3403688758249196,0.0007382899524019802
319,PPP1CC_proteomics,-0.339701089401675,0.0007574169308599169
888,CD63_proteomics,0.33963231663417537,0.000759412233982565
884,CD47_proteomics,0.3393202368084273,0.0007685270631631939
976,USF2_proteomics,-0.33890204832984894,0.0007808976281608021
457,ARPC5_proteomics,-0.3386211271517834,0.000789309450005515
