,Comparison,Slope,R_squared,P_value
2061,CYLC1,2.2054967765816342,0.9999999999999998,0.0
6144,PGRMC1,0.8262716663720189,0.45573694063152415,1.7162164040301117e-20
7197,ROR2,0.6963912470989547,0.43056296081970447,4.372765648082661e-19
7077,RHBDF1,0.514846660570462,0.4143454943898206,3.2713814203434296e-18
3484,GPX8,0.8192458217349611,0.4125182183907511,4.089941273823527e-18
6702,PTK7,0.610321356479038,0.4121808462734315,4.2617841423146535e-18
9383,VBP1,-0.2609761373947464,0.40263722660418927,1.3524366242666946e-17
9026,TSPAN15,0.8371913663653036,0.3879300303267842,7.742730638232366e-17
7407,S1PR2,0.6629316599562882,0.40015430844212363,3.1490950826098686e-16
2965,FARP1,0.5184946031350129,0.3744848016744625,3.6838451534266215e-16
8790,TMTC3,0.47686859469794307,0.37169264558952714,5.072275678327275e-16
135,ADAM10,0.5437774087649515,0.3594210921838474,2.0354763261251468e-15
8733,TMEM201,0.5009638583947447,0.3559107865932331,3.01460182211754e-15
3365,GLT8D1,0.5372802351717357,0.3551933561677396,3.2657195003607913e-15
840,BCAP29,0.7269022562785189,0.34777092672433946,7.43549818544826e-15
228,AGPAT1,0.5099639440278927,0.34426391242762167,1.093407302873748e-14
8240,STIM1,0.5831974660554564,0.3311223906770469,4.5577942295938503e-14
4006,INPP5A,0.5629582712166408,0.3304117894126923,4.919758935463654e-14
1356,CD151,0.6681033196834638,0.3300792576993983,5.098745397227689e-14
9031,TSPAN9,0.6787574091570222,0.32579761725840556,8.065531545831343e-14
824,BASP1,0.8660126550403939,0.3231976132373243,1.0641104475937731e-13
6725,PTPRG,0.39911019710202644,0.32288804705732,1.0997322101518709e-13
8269,STRAP,-0.21145502627944845,0.32228513514173796,1.1725197371679835e-13
8748,TMEM259,0.7230909029016014,0.3209057586358507,1.3574052418673478e-13
8699,TMEM120A,0.6573000784778236,0.3182008995467226,1.8073641360547632e-13
716,ATP2B1,0.611868021935401,0.31718655931014506,2.0116431015386599e-13
4992,MME,1.036789030474196,0.3156941519639905,2.3542609813944645e-13
5463,NDUFC2,0.5336439106016012,0.3156585132853803,2.3631100934162824e-13
6315,PLSCR3,0.4087729188408055,0.3146248603682463,2.634546545726946e-13
8611,THY1,0.850566540279633,0.3046858647729126,7.435796863752913e-13
2756,ERLIN1,0.5598700559942582,0.30416303839414793,7.84985364188527e-13
7526,SDK1,0.670420641438982,0.30306488673468795,8.795044815069222e-13
2063,CYP20A1,0.4426384912033058,0.30072535166511105,1.1199148366990844e-12
2421,DPY19L1,0.5511450775148745,0.3003231205578262,1.1673327493169817e-12
3445,GPC1,0.42525472788828844,0.29734392899761064,1.5859190305722101e-12
8681,TMED1,0.4573975729498037,0.29633764433285226,1.7583800723996718e-12
8742,TMEM231,0.623518506340975,0.291343347788948,2.929018063231102e-12
1596,CHM,-0.2290145599462731,0.2887001895605989,3.831844998154726e-12
9316,USP14,-0.2017088080394275,0.28849971573000815,3.910581965035382e-12
9532,WLS,0.6664676710974755,0.28840070782958266,3.9500546234612485e-12
7162,RNF185,0.6266018553503059,0.28673000007909494,4.678626296154835e-12
7865,SLC44A2,0.5156444791628357,0.2859913682033194,5.0415972426120475e-12
7530,SEC11A,0.7597847384770336,0.2859572179137176,5.059034978441962e-12
719,ATP2B4,0.6458672554988187,0.28560222074979863,5.2438654968267685e-12
5649,NPTN,0.48849364657131794,0.2813899520626013,8.01693904321663e-12
407,ANO10,0.4782417301051305,0.28061422978428996,8.666590857759512e-12
9128,TXLNG,-0.30141774879254624,0.2806114066729812,8.66904756018324e-12
3120,FNDC3A,0.4993488279468867,0.2787905780136791,1.0405602932279028e-11
5843,OSBPL8,0.43310788402391276,0.27694091836686796,1.252062799503148e-11
8936,TRIM13,0.3791275210169369,0.2763352113623291,1.3301456289014714e-11
2373,DNM1L,-0.1936523002027641,0.27598613647490633,1.377308547339185e-11
3351,GLG1,0.5481757858785854,0.2749955779931339,1.5203154021121874e-11
9835,ZNF516,0.4713675119086991,0.2728900205641075,1.874760653342773e-11
5672,NRP1,0.5619722163741723,0.2719053173785751,2.0674002037306664e-11
8134,SPTLC1,0.4453061702134323,0.2718491169971888,2.078965758113895e-11
