,Comparison,Slope,R_squared,P_value
140,JAG1,0.3970088371457664,0.3147172255185762,3.8105638255183756e-16
724,FZD6,0.3146019262236584,0.28193496579842714,2.4541233851531762e-14
228,ITGAV,0.3347942424913282,0.2774347046367452,4.2857938451137e-14
766,SERPINE1,0.7168476096379179,0.2773187025654913,4.3476416440865825e-14
909,ARRB1,-0.23762053764139857,0.27511747778883994,5.703612431074368e-14
245,LRRC8A,0.24135370749605212,0.27089220637332717,9.583046882055803e-14
1111,LAMC2,0.6564691707669481,0.25850346783276407,4.317146324667262e-13
208,PRKAR2B,-0.5310578048319818,0.2533403080991024,8.027764409537377e-13
475,SLC2A1,0.5550727538128359,0.25267269975157425,8.695617211579239e-13
1059,SORBS2,-0.6812624984046606,0.25141821464791614,1.0102677214326224e-12
476,ITGB8,0.430239599139906,0.25019165972070667,1.1695623394835685e-12
768,SELP,-0.3748530970196364,0.2469928177115328,1.7115899768846427e-12
189,GJA1,0.48142694057516977,0.24568888427220106,1.9981262304775172e-12
166,ADAM17,0.19114711759464578,0.24541936263525077,2.0630242140032043e-12
81,LAMB3,0.5586321823071484,0.24423172322508788,2.3747460910049726e-12
212,PLOD2,0.5124847963895398,0.24177752831669477,3.1740958442710012e-12
985,ITGA2,0.3271511943711887,0.2367025766722107,5.767343735322475e-12
5,FHIT,-0.3019382330716841,0.2443776857223425,7.32212068669614e-12
648,ITGB6,0.5710242159053949,0.23346552171132376,8.424991120362953e-12
615,FGF2,-0.45590597023607743,0.23114007240611809,1.1051301881473932e-11
1088,PFKP,0.19039686313144388,0.22941486005774092,1.3509115357575312e-11
258,REL,0.1946495183597803,0.22790179522832957,1.6105246111526153e-11
389,YES1,0.1928830244175637,0.22690424061578723,1.8081007903410596e-11
861,COL5A1,0.4556528741821079,0.22514232800469255,2.2173749442214005e-11
315,IGF1R,0.23808996907717256,0.22076123980299778,3.676098414900003e-11
1137,MYOF,0.21855782591581063,0.21990559543875168,4.056330387751664e-11
309,ITGB1,0.2581714595269225,0.2196642671385058,4.170439243718898e-11
408,SOD3,-0.6392885998286787,0.21903460418739387,4.4833440322877975e-11
319,PPP1R12B,-0.5467265306896668,0.21629698435255112,6.136779216926297e-11
60,CDH3,0.3204970267741499,0.2139074472800582,8.064702441747687e-11
842,CAB39L,-0.4918273786966836,0.21184574245359541,1.0202209500054929e-10
974,THBS2,0.5803645774269641,0.2109254816314069,1.1329001914486116e-10
155,COL5A2,0.5063768184062036,0.2099383055748972,1.267487605611896e-10
727,DEPTOR,-0.41432379271482833,0.20816031236463348,1.5509979270394939e-10
929,RHOB,0.29011683230936003,0.20772549354124728,1.6293847507976052e-10
151,LAMB2,-0.4606814229663578,0.20679991189112232,1.8095392332509193e-10
17,GNG11,-0.4385895508717015,0.20469001691940472,2.2972507088841806e-10
546,CEBPZ,0.21875749378394146,0.20423912144611175,2.4172671360016147e-10
150,TNXB,-0.7300784255164058,0.19723181068108353,5.316036290187283e-10
34,PPP1R12C,-0.16196339791716477,0.19418817067556124,7.471653984478536e-10
774,ITGA7,-0.4723863709671304,0.191328942963578,1.0276275717315875e-09
409,TNS4,0.3619472014742828,0.1901500287556749,1.1716068141248851e-09
549,CD44,0.197429155321157,0.1901363698463692,1.1733869021741215e-09
873,RFC3,0.18456469112536675,0.19002356309947155,1.1881911203721294e-09
504,ITGB5,0.22954250139583254,0.1889869241065287,1.3331909647948612e-09
832,CDKN1B,-0.2525458312202166,0.18878748717079644,1.3630332006072765e-09
253,ITGA3,0.3086521323359481,0.18747041268679812,1.5774114152125716e-09
98,EFNA1,0.23914288432957975,0.18740763950084377,1.5884233349451458e-09
1049,PFKFB3,0.23904597917124484,0.18638564762981136,1.7787948088122015e-09
529,MAP3K4,0.16143653133706207,0.18570143388917443,1.918700971755022e-09
133,TTC9,-0.44285329276724095,0.18554999644655742,1.951109635823405e-09
521,HSP90AA1,0.15146247954379846,0.18066054613567298,3.3458980162858586e-09
454,CSNK2A2,0.12050425123497147,0.1769102825176191,5.050606983449194e-09
