,Comparison,Slope,R_squared,P_value
4711,MPP6,0.42983565078137353,0.42016541157667714,4.834438414996868e-15
1807,CPNE8,0.4220362715729644,0.38001387324028263,2.229262909587199e-13
1854,CRYBG3,0.3286750681477617,0.37209642724735176,4.612176438723137e-13
5736,PHC3,-0.35813944267893,0.3638555087655072,9.73876053537684e-13
3057,GATA3,-0.8719090849810118,0.3586947111245765,1.547846469425646e-12
4091,KRT16,1.1521866006796486,0.35441241728674827,2.2673685084902983e-12
4103,KRT5,1.0510913228885184,0.35375182359590546,2.4043842952645465e-12
5386,NXN,0.5053578988712979,0.3514880878963215,2.9385727077299483e-12
4814,MSI2,-0.5173096964671855,0.35130197800496865,2.987355850660114e-12
8829,WWTR1,0.40722583944950713,0.3486001325988679,3.792047745957765e-12
4249,LPIN1,0.42642656152177294,0.34258174726476387,6.429025037315287e-12
2942,FMNL2,0.31754377302536174,0.33628135116038843,1.1117892337404888e-11
705,ATP1B3,0.5111281569784685,0.3353969982178928,1.200161250343138e-11
2410,EHBP1,0.28136827267022524,0.334232184806546,1.3271710923323636e-11
7848,TBC1D9,-0.5453986757610021,0.33243583838254703,1.5493800901363132e-11
5088,NDUFA4L2,1.0327002114357313,0.3719352875410449,2.6391190237714987e-11
4230,LMX1B,-0.5557077890906462,0.3249818078294124,2.932994230846127e-11
7300,SLC9A3R1,-0.6085493097831187,0.3247411321060225,2.993721603128739e-11
5544,PARD6B,-0.4624191190783128,0.3218865768507036,3.8154362611595195e-11
1111,CA12,-0.830996017516477,0.31970629462332906,4.588954162558247e-11
5076,NDRG1,0.5983202171022871,0.31757171689173885,5.494995624499528e-11
8283,TRIP10,0.2850616014482501,0.3167308196849915,5.898357339291282e-11
2093,DENND2D,-0.40416023967567083,0.3164039247201299,6.062903778797932e-11
4660,MMP14,0.486626230344152,0.3149015286823475,6.879092766498929e-11
533,ARHGAP10,0.37179573600796456,0.3141907805868942,7.301970002203097e-11
4663,MMP24,0.7656351965242749,0.31293324450810756,8.113699162208471e-11
5888,PLOD1,0.45463356196175186,0.31283774747011084,8.178847403327884e-11
1064,C3orf58,0.6192848731010828,0.33147387011250595,1.0725097076540739e-10
4631,MKL2,-0.3906388587516612,0.3092421831324756,1.1044133891130346e-10
2802,FAT1,0.3188894748857896,0.30478517908226344,1.5993268289104254e-10
3868,JADE2,-0.3158584545870553,0.3022911998367706,1.9656018173261635e-10
2761,FAM49A,0.28101622527323483,0.2942834819913757,3.793445903602551e-10
5006,NAMPT,0.5533370729918526,0.29427330490064657,3.7966000905093505e-10
3929,KDELC1,0.354218292924115,0.2919814909895913,4.576744229657352e-10
1643,CMBL,-0.6596924920468819,0.2897642137653336,5.480819880033101e-10
2300,DSC2,0.62044604502241,0.28860214909490284,6.022617910674596e-10
8257,TRIM16,0.4483542644683975,0.2870092020219313,6.851788685875222e-10
7706,SUN1,0.3225821606063515,0.2857656959417615,7.576226420500831e-10
1137,CALU,0.3743349861645036,0.2851033241109918,7.992347256304562e-10
1136,CALU,0.3743349861645036,0.2851033241109918,7.992347256304562e-10
2301,DSC3,0.774226300977003,0.28471329513853894,8.24780903625827e-10
3714,IGF2BP2,0.6559421415477527,0.2828595609587516,9.576076694939629e-10
8691,VLDLR,0.5735703197226218,0.32290426648819404,1.0410938986118294e-09
4951,MYO1E,0.27109599199647133,0.2812303867725581,1.0915719613312112e-09
1725,COLGALT1,0.3623517324137798,0.2798436319684939,1.2200047021712322e-09
698,ATP11C,0.3717392956522192,0.2795419198548158,1.2498576295846501e-09
1176,CARD6,0.3820183129730621,0.29686742270094285,1.3011981028388953e-09
8023,TLE3,-0.28328022176977785,0.27779790401095283,1.4370418102625662e-09
6853,RUNDC1,-0.4394048399210352,0.2946023886897645,1.5461140063880094e-09
6852,RUNDC1,-0.4394048399210352,0.2946023886897645,1.5461140063880094e-09
2350,DYSF,0.34181579711164134,0.2765631993653802,1.5859756223442562e-09
6104,PREX1,-0.5453474248235146,0.2756818093547398,1.7014810926158794e-09
2878,FERMT1,0.6904156332534113,0.2907694019734615,2.067658010618022e-09
6495,RBM47,-0.33602458569483595,0.27268548706886764,2.1595385746285295e-09
6496,RBM47,-0.33602458569483595,0.27268548706886764,2.1595385746285295e-09
4563,METTL26,-0.3583526105214323,0.2723818030998602,2.2122405534791795e-09
3284,GPT2,0.5595315364745398,0.2696094179842389,2.755760649148232e-09
1852,CRYAB,0.6997902164611205,0.26894963832796376,2.903340950872147e-09
115,ACSL4,0.33655328151694286,0.2679130451351395,3.1510565526852167e-09
1274,CCDC88A,0.23885800062580625,0.26712369012415144,3.3535308584171066e-09
6385,RABEP1,-0.45898060830993564,0.2662513729120114,3.5921945798970445e-09
4942,MYO10,0.34077414718440047,0.2660505810931128,3.6494541056388403e-09
7655,STRBP,-0.3087326488027085,0.26509594055407015,3.934210952173325e-09
7093,SERPINH1,0.4262152601021024,0.26445678242210835,4.136970291263899e-09
7189,SIGIRR,-0.47466979765604705,0.2637924019829683,4.358629580973733e-09
2624,EXOC6,-0.2725577968591931,0.25942355226801683,6.136808534620608e-09
5344,NUDT12,-0.5039217432488907,0.25918802811620917,6.250724699438481e-09
2582,ERO1A,0.4539988620732772,0.25915823066220833,6.265284353169959e-09
1339,CD58,0.28572433200963804,0.2774953348239575,6.612633145112378e-09
795,BAG2,0.442537475773889,0.2578384482748533,6.9447505917013695e-09
3483,HID1,-0.5390126020717191,0.25688510982192253,7.480175659757406e-09
7163,SH3PXD2B,0.3448085998078751,0.25677542866709135,7.544323691869976e-09
5348,NUDT16L1,-0.2625156812654134,0.254725473107815,8.84792299001745e-09
1609,CLIC3,0.4824013166227505,0.25462838592931014,8.9148775031412e-09
5189,NHSL1,0.2857784086643878,0.254573790416591,8.9527471689557e-09
2917,FKBP14,0.44111407643996386,0.2532730983271599,9.903276574561726e-09
101,ACOT9,0.35956034387356056,0.2528555867774194,1.0228945807436806e-08
7081,SERPINB5,0.9881760907397042,0.2524066338675493,1.0590905396872761e-08
3161,GLIPR2,0.35715825864745,0.2521381323387944,1.0813373484805412e-08
9020,ZNF24,-0.2638468492691068,0.25011204576129276,1.2647122412329557e-08
6947,SCCPDH,-0.46221769441586275,0.24977704469529527,1.2978487400654277e-08
4370,MAGED2,-0.43074338854847,0.24970005853031982,1.3055837344104864e-08
1777,COX17,-0.5175985759987641,0.24927251686580637,1.3493728731135683e-08
7612,STARD10,-0.6299444602278803,0.24855689713423268,1.4259240507402803e-08
4104,KRT6A,1.192889653860188,0.2479537501018761,1.493751377779576e-08
5890,PLOD3,0.370722021448526,0.24630264125631016,1.69609936033137e-08
8265,TRIM29,0.8634862405549203,0.24579060351857876,1.7641649668445186e-08
7707,SUN2,0.29676065694731113,0.2448307404889438,1.8990826395024302e-08
3865,IVL,0.8101342128201009,0.25848201426769263,1.939234012328899e-08
526,ARFGEF3,-0.4502306879077661,0.24409432333276454,2.0094319550416756e-08
6293,PVR,0.427002510295752,0.24354454089770314,2.0959071963099786e-08
4930,MYEF2,-0.8071087631818599,0.24349680314951003,2.1035864640039297e-08
4929,MYEF2,-0.8071087631818599,0.24349680314951003,2.1035864640039297e-08
2993,FSCN1,0.41430286284966666,0.243172923162002,2.1564234148673793e-08
2695,FAM120A,-0.17427009763887874,0.2424550533522027,2.2782361662598194e-08
5318,NT5C2,0.31890222316114597,0.23763245618240372,3.2915077590933636e-08
8984,ZKSCAN1,-0.27882533189685227,0.237450444650942,3.337398199642606e-08
3699,IFT140,-0.3470175403343179,0.2368482888174809,3.493754524497591e-08
5289,NRBF2,0.27754006813171417,0.23662600228572148,3.5532778799577986e-08
3455,HECTD4,-0.21108911384035123,0.23657443700563796,3.567227945483096e-08
431,ANXA8L1,0.7682925511134431,0.23615870428697178,3.681684484269892e-08
5463,OTUD7B,-0.2720155151062829,0.23574100044569923,3.800323602381616e-08
5731,PHAX,-0.1618266860742708,0.23517068364124763,3.9684071165127636e-08
371,ANGEL2,-0.24169552591150711,0.23451417762482138,4.1709679545224025e-08
7468,SPAST,0.1750483580263381,0.23431711408922315,4.2337332445411644e-08
4092,KRT17,0.8334127499037973,0.23407005227964964,4.313738258624062e-08
6443,RARA,-0.4180817133293378,0.23383250056617064,4.392066675627344e-08
7918,TES,0.3039636853375947,0.23379601586146634,4.4042202659968305e-08
4425,MAPT,-1.0372869200035477,0.23370683507660153,4.434067262422038e-08
3614,HSD17B11,0.42768173006007726,0.23200317104496695,5.044047064809466e-08
5648,PDIA6,0.27322890581343096,0.2317490210618261,5.141859260652478e-08
1942,CXXC5,-0.46276907734564315,0.23064146028499072,5.59037628601007e-08
2503,ENO1,0.34871625322250455,0.23054341865215508,5.6318870160538314e-08
8581,UPP1,0.36339724892978365,0.2302223438795252,5.769965689590197e-08
212,AES,-0.22997823124754393,0.22804558037997721,6.798098268060855e-08
9045,ZNF385A,-0.48306736429387376,0.22758749286436403,7.036413824485844e-08
5057,NCK2,0.209904518693576,0.22744002543052314,7.114868650257225e-08
5647,PDIA5,0.3102982217409661,0.22714448600085727,7.274701967602332e-08
8407,TUBB6,0.2621853481576308,0.22710834858161735,7.2944867651274e-08
2214,DNAJC12,-0.8408637118816497,0.22662020824402646,7.56698701656734e-08
2958,FNDC3B,0.3514508610702341,0.22515223680678143,8.448314259273738e-08
8721,VSNL1,0.5716941230671255,0.22505825088622217,8.508063225036028e-08
2921,FKBP4,-0.3417203366708899,0.22476115812257544,8.699681812905239e-08
8376,TTC7A,0.24377205796225318,0.24149036290857764,8.84831124742201e-08
1952,CYB5R3,0.2901124537322587,0.22447736139122068,8.886691111266362e-08
611,ARMT1,-0.6592002515410229,0.22443004623803764,8.918252380568215e-08
7203,SIRPA,0.28862883771938724,0.22428386058659486,9.016463615238724e-08
3628,HSPA4,-0.2061365044698801,0.22423174988328992,9.051729793160796e-08
8161,TOM1L1,-0.43820849612500956,0.22395806220515424,9.23919145360573e-08
1202,CASZ1,-0.27803015847240015,0.22320023129215258,9.778447317843803e-08
1805,CPNE2,0.24053442541131975,0.22309064492065908,9.858949315067946e-08
6644,RND3,0.35487382182512844,0.23961604223390323,1.009651589579623e-07
196,ADI1,0.3519347188816796,0.22192453989219849,1.0757043333164667e-07
5863,PLEKHF2,-0.2908584267623395,0.2218784355380838,1.0794160086160864e-07
6006,POR,0.39334945705342406,0.2200701947714378,1.235375666870857e-07
6419,RALGPS2,-0.3444683112093226,0.2195282399136993,1.286299479059643e-07
116,ACSL5,0.40790047743040203,0.21925617406157027,1.3126375521785054e-07
1899,CTNND2,-0.7372799700853336,0.21912551536016092,1.3254744186244973e-07
4245,LPCAT2,0.2820214603036266,0.2185933410852974,1.3790488048936318e-07
5833,PLAUR,0.3491724755380814,0.21848855528620212,1.3898462520800203e-07
4938,MYL6,0.2900289597608444,0.21812821865332938,1.4276157936082314e-07
4939,MYL6,0.2900289597608444,0.21812821865332938,1.4276157936082314e-07
3595,HPGD,1.055381765963589,0.21772464953744408,1.4711177918905237e-07
4584,MGAT1,0.29363471495822335,0.2167336392351756,1.5835586987656006e-07
2208,DNAJB4,0.23548373774592443,0.21621781457565764,1.6453920245288454e-07
1936,CXADR,0.551571211017344,0.21608694514131171,1.6614542074079024e-07
5132,NECTIN1,0.3061963286779969,0.23044176274769324,1.675180818064147e-07
7330,SMARCC2,-0.14283754372147678,0.21456279599280734,1.8602826824932256e-07
7329,SMARCC2,-0.14283754372147678,0.21456279599280734,1.8602826824932256e-07
3384,HAAO,0.4701858438684184,0.214367996452332,1.8873270422493461e-07
74,ACADSB,-0.6221227987297732,0.214221779640216,1.9078806719359944e-07
7543,SREK1,-0.15834211272244944,0.21373818138530498,1.9774429859852864e-07
1917,CTTNBP2NL,0.17129110293551766,0.21315054176223477,2.0653400398570225e-07
6554,REPS2,-0.37389036667818404,0.21306203653385633,2.0789076116880313e-07
8396,TUBA1C,0.18502146347284923,0.2122909099474506,2.200894988700655e-07
8356,TTC13,0.22426136886038128,0.21220659550690774,2.214653250014281e-07
2808,FBLIM1,0.33998384394754655,0.21176797497336888,2.287604826760286e-07
683,ATG4B,0.22417110451657923,0.2107097849461649,2.473490440860758e-07
635,ASB13,-0.45046555501133884,0.2381285258971015,2.6065837689128713e-07
5322,NT5DC2,0.4459086499609372,0.20946975793075712,2.710314735739796e-07
8370,TTC39A,-0.5447827670148088,0.2093298875493339,2.73839080295302e-07
4140,LARP1,-0.1624991266511187,0.20820493662344938,2.974868739777079e-07
4557,METTL14,-0.18980576947268663,0.20812491692730514,2.9924362390622905e-07
932,BSG,0.36350865440761065,0.2079942104803693,3.0213515599788986e-07
