LINE 401 : 2022-02-04 21:38:39,410 [INFO    ] Connecting to Enrichr Server to get latest library names
LINE 227 : 2022-02-04 21:38:39,410 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 452 : 2022-02-04 21:38:39,538 [DEBUG   ] http://maayanlab.cloud:80 "GET /Enrichr/datasetStatistics HTTP/1.1" 308 172
LINE 971 : 2022-02-04 21:38:39,538 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 452 : 2022-02-04 21:38:39,821 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/datasetStatistics HTTP/1.1" 200 None
LINE 421 : 2022-02-04 21:38:39,887 [DEBUG   ] Start Enrichr using library: Reactome_2016
LINE 422 : 2022-02-04 21:38:39,887 [INFO    ] Analysis name: Tumor_partition, Enrichr Library: Reactome_2016
LINE 227 : 2022-02-04 21:38:39,889 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 452 : 2022-02-04 21:38:40,013 [DEBUG   ] http://maayanlab.cloud:80 "POST /Enrichr/addList HTTP/1.1" 308 172
LINE 971 : 2022-02-04 21:38:40,013 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 452 : 2022-02-04 21:38:41,933 [DEBUG   ] https://maayanlab.cloud:443 "POST /Enrichr/addList HTTP/1.1" 200 74
LINE 227 : 2022-02-04 21:38:42,952 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 452 : 2022-02-04 21:38:43,078 [DEBUG   ] http://maayanlab.cloud:80 "GET /Enrichr/export?userListId=44578554&filename=Reactome_2016.Tumor_partition.reports&backgroundType=Reactome_2016 HTTP/1.1" 308 172
LINE 971 : 2022-02-04 21:38:43,078 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 452 : 2022-02-04 21:38:44,119 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/export?userListId=44578554&filename=Reactome_2016.Tumor_partition.reports&backgroundType=Reactome_2016 HTTP/1.1" 200 None
LINE 430 : 2022-02-04 21:38:44,327 [INFO    ] Save file of enrichment results: Job Id:365d118c2002c1440d0cfb962df4145e
LINE 1329: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: Matching sans\-serif:style=normal:variant=normal:weight=bold:stretch=normal:size=24.0.
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'STIXNonUnicode' (STIXNonUniBol.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'cmr10' (cmr10.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'STIXGeneral' (STIXGeneralBolIta.ttf) italic normal 700 normal>) = 11.05
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'STIXSizeThreeSym' (STIXSizThreeSymReg.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-BoldItalic.ttf) italic normal 700 normal>) = 11.05
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'DejaVu Sans Display' (DejaVuSansDisplay.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'STIXSizeTwoSym' (STIXSizTwoSymBol.ttf) normal normal 700 normal>) = 10.05
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-Italic.ttf) italic normal 400 normal>) = 11.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'STIXGeneral' (STIXGeneralItalic.ttf) italic normal 400 normal>) = 11.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'STIXSizeOneSym' (STIXSizOneSymReg.ttf) normal normal 400 normal>) = 10.335
LINE 1341: 2022-02-04 21:38:44,520 [DEBUG   ] findfont: score(<Font 'DejaVu Sans' (DejaVuSans-Bold.ttf) normal normal 700 normal>) = 0.05
