Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
WikiPathways_2019_Human	EGF/EGFR Signaling Pathway WP437	82/162	2.025484655943323e-26	8.689329173996854e-24	0	0	5.905453306066803	349.3749053570974	USP6NL;SH3GL3;ERRFI1;SH3KBP1;INPPL1;CBLB;AP2A1;ELK1;CRKL;EPS8;RPS6KA3;GJA1;RPS6KA2;CFL1;GRB10;NCK2;AKT1;PLCE1;MYBL2;MAP3K4;NCK1;MEF2A;VAV3;USP8;RALBP1;MAP2K1;MEF2C;PRKCB;PRKCD;GAB1;PRKCA;GAB2;EPS15L1;FOS;EPN1;DNM1;VAV2;ARHGEF1;RAF1;RIN1;SOS1;SOS2;CRK;SHC1;STXBP1;CAMK2A;ASAP1;IQGAP1;FOXO1;EGFR;PLD2;ATXN2;PAK1;MAPK7;INPP5D;ABL1;REPS2;MAPK1;RICTOR;PLCG1;EPS15;MEF2D;MAP3K2;MAP3K3;JUN;JUND;MAP3K1;IQSEC1;NOS3;CAV1;STAT3;BRAF;PTPN11;PTPN12;MAPK14;PTK2;MTOR;ITCH;SYNJ1;NEDD4;ABI1;BCAR1
WikiPathways_2019_Human	Brain-Derived Neurotrophic Factor (BDNF) signaling pathway WP2380	69/144	1.0073413244480714e-20	2.160747140941113e-18	0	0	5.2786834068544275	243.05374349267228	DOCK3;CRTC1;NCF2;IRS1;IRS2;ELK1;RPS6KA3;CDH2;DPYSL2;CFL1;NCK2;AKT1;SIRPA;NCK1;NSF;MEF2A;VAV3;MAP2K1;MEF2C;CDKL5;KSR1;CHUK;RPS6;PRKCD;TSC2;FOS;SYN1;VAV2;TIAM1;ADAM17;DOK5;TRAF6;RAF1;SQSTM1;GRIA1;SHC4;PRKAA1;SHC3;SHC1;CAMK2A;FOXO3;MAPK7;CNR1;SPP1;IGF2BP1;MAPK1;NCAM1;FYN;PLCG1;SH2B1;MAPK3;MAP3K2;NGFR;JUN;MAP3K1;BAD;KIDINS220;STAT3;PTPN11;EEF2;MAPK14;GRIN2B;NFKB1;MTOR;DLG1;MARCKS;APC;CTNNB1;CAMK1
WikiPathways_2019_Human	Insulin Signaling WP481	72/160	1.3337163162471448e-19	1.9072143322334172e-17	0	0	4.695652173913044	204.07843173206086	IRS1;SNAP23;INPPL1;PIK3CD;CBLB;IRS2;ELK1;PIK3CG;RPS6KA4;RPS6KA3;KIF5B;RPS6KA2;GRB10;AKT1;MAP3K8;MAP3K6;MAP3K7;GYG1;MAP3K4;MAP3K5;MAP2K3;CAP1;MAP2K4;MAP2K1;PRKCB;PRKCD;MINK1;GAB1;TSC2;TSC1;PRKCA;FOS;INPP4A;TBC1D4;RAPGEF1;PRKCQ;RAF1;SOS1;SOS2;CRK;PRKAA1;SHC3;STXBP4;SHC1;STXBP1;SRF;PIK3R4;FOXO3;FOXO1;MAPK7;KIF3A;MAPK1;MAP4K5;MAP4K3;MAPK3;MAP4K4;MAP3K2;PTPN1;MAP3K3;JUN;MAP3K1;INSR;PTPN11;SORBS1;MAPK14;MAPK12;MTOR;ARHGAP33;MYO1C;RPS6KB2;MAP3K10;PFKM
WikiPathways_2019_Human	VEGFA-VEGFR2 Signaling Pathway WP3888	92/236	2.0740689215670865e-19	2.2244389183807006e-17	0	0	3.6795105639154886	158.29108894241747	YWHAE;ITGB1;ATF2;NCF2;CTNND1;HSPB1;SHB;ELK1;SLC8A1;PPP3CA;GJA1;ADAMTS1;CFL1;GRB10;AKT1;ACP1;PRKG1;EIF2A;MAP3K5;NCK1;MAP2K3;MAP2K4;FGA;MEF2C;MAP2K1;HSP90AA1;PRKCB;PRKCE;PRKCD;RPS6;GAB1;PLA2G4A;PRKCA;EPN1;VAV2;DOK1;PLCB3;AKT1S1;RAPGEF1;MYH9;PRKD2;PRKD1;PFN1;EZR;RAF1;CRK;VCL;HDAC5;PRKAA1;TNXB;SHC1;ROCK2;MAPKAP1;SRF;PXN;IQGAP1;FOXO3;ACACA;FOXO1;CAMKK2;HDAC7;PAK1;GPC1;MKNK1;MAPK1;RICTOR;FLNB;FYN;PLCG1;FADD;EPS15;PAK2;MAPK3;PTPN1;JUN;JAG1;NOS3;CAV1;STAT3;EIF2AK3;NFATC2;PTPN11;MAPK14;PTK2;NFKB1;MAPK12;MTOR;AFDN;ITCH;RCAN2;CTNNB1;BCAR1
WikiPathways_2019_Human	Angiopoietin Like Protein 8 Regulatory Pathway WP3915	56/132	3.330894378921824e-14	2.8579073771149243e-12	0	0	4.20896159317212	130.61649657413332	THRA;IRS1;PRKAG2;PIK3CD;CBLB;IRS2;PIK3CG;RPS6KA4;RPTOR;RPS6KA3;RPS6KA2;AKT1;MAP3K8;MAP3K6;MAP3K7;MAP3K4;MAP3K5;MAP2K3;CAP1;MAP2K4;MAP2K1;MINK1;TSC2;TSC1;PRKAB1;RAPGEF1;RAF1;SOS1;SOS2;CRK;PRKAA1;SHC3;SHC1;MAPKAP1;PIK3R4;FOXO3;FOXO1;MAPK7;MAPK1;RICTOR;MAP4K5;MAP4K3;MAPK3;MAP4K4;MAP3K2;PTPN1;MAP3K3;MAP3K1;INSR;MAPK14;MAPK12;MTOR;FASN;RPS6KB2;TRIP10;MAP3K10
WikiPathways_2019_Human	B Cell Receptor Signaling Pathway WP23	46/97	4.438938946729821e-14	3.1738413469118223e-12	0	0	5.142391232587311	158.10680858149288	ATF2;SHC1;CAMK2A;DAPP1;ELK1;FOXO1;PIK3CG;CRKL;INPP5D;BLNK;AKT1;PIP5K1A;MAPK1;FYN;PLCG1;PIP5K1C;MAP3K7;MEF2D;GTF2I;NCK1;MAP2K1;MEF2C;JUN;CHUK;PRKCB;PRKCD;NFATC3;GAB1;NFATC2;BRAF;PTPN11;GAB2;MAPK14;NFKB1;VAV2;LAT2;PTPRC;BCL6;LCK;RAPGEF1;HCLS1;RAF1;SOS1;PIK3AP1;CRK;CARD11
WikiPathways_2019_Human	MAPK Signaling Pathway WP382	83/246	1.84991966114175e-13	1.1337364780425867e-11	0	0	2.9203186084308244	85.61925598158905	ATF2;LRRK2;HSPB1;ELK1;DUSP16;CRKL;RPS6KA4;RPS6KA3;PPP3CA;AKT1;MAP3K8;PRKACA;MAP3K6;PRKACB;MAP3K7;MAP3K4;MAP3K5;PRKCG;MAP2K3;MAP2K4;DAXX;MEF2C;MAP2K1;CHUK;PRKCD;PLA2G4A;PRKCA;FOS;MAPK8IP2;MAPK8IP3;MAPK8IP1;CACNB1;CACNB2;PPM1B;CACNB4;TRAF6;RAPGEF2;RAF1;SOS1;SOS2;CRK;SRF;CACNA1B;CACNA1A;RASGRP2;STK4;CACNA1E;EGFR;RELB;CACNA1G;STK3;CACNG7;PAK1;MAPK7;RRAS;MKNK1;MAP3K20;FLNA;MAPK1;FLNB;FLNC;CACNG2;PAK2;MAP4K3;CACNG4;MAP4K4;MAPK3;MAP3K2;JUN;JUND;MAP3K1;NFATC3;BRAF;MAPK14;NFKB1;MAPK12;NFKB2;TAOK3;TAOK1;TAOK2;NF1;TAB2;FGFR3
WikiPathways_2019_Human	ErbB Signaling Pathway WP673	42/91	1.7523581307100711e-12	9.397020475932757e-11	0	0	4.8808723220290124	132.12550041973262	SHC4;CAMK2B;SHC3;SHC1;CAMK2A;PIK3CD;CBLB;ELK1;EGFR;FOXO1;CRKL;PAK1;ERBB3;NCK2;ABL1;AKT1;PAK6;ABL2;MAPK1;PLCG1;PAK2;CAMK2G;PAK5;NCK1;PAK4;MAPK3;PRKCG;MAP2K4;MAP2K1;JUN;PRKCB;BAD;GAB1;PRKCA;BRAF;MTOR;PTK2;RPS6KB2;RAF1;SOS1;SOS2;CRK
WikiPathways_2019_Human	T-Cell antigen Receptor (TCR)  Signaling Pathway WP69	41/90	5.444751567836686e-12	2.59533158066882e-10	0	0	4.763059509518093	123.53646894269095	ATF2;CD83;SHC1;CBLB;CRKL;PSTPIP1;PAK1;GRAP2;AKT1;MAPK1;MAP3K8;FYN;PLCG1;CCR5;MAP3K7;SH2B3;NCK1;MAPK3;VAV3;MAP2K1;JUN;DBNL;FYB1;CHUK;RIPK2;PRKCD;NFATC2;PTPN11;GAB2;FOS;MAPK14;NFKB1;LCK;TRAF6;LCP2;PRKCQ;VIM;RAF1;SOS1;CRK;CARD11
WikiPathways_2019_Human	Focal Adhesion WP306	67/198	3.327876915386439e-11	1.4276591967007822e-09	0	0	2.922846145284079	70.51688272680441	ITGB1;TNC;TESK2;ILK;PIK3CD;ARHGAP5;ELK1;ARHGAP35;CRKL;MYLK;CCND2;AKT1;ITGB8;PRKCG;VAV3;MAP2K1;PPP1R12A;ITGA4;PRKCB;ACTN1;PRKCA;VAV2;HCK;RAPGEF1;TLN2;ITGA5;TLN1;RAF1;PPP1R12B;SOS1;PPP1R12C;DOCK1;CRK;VCL;BIRC2;SHC4;TNXB;SHC3;SHC1;ROCK2;PXN;EGFR;PAK1;SPP1;FLNA;PAK6;MAPK1;FLNB;FYN;PIP5K1C;FLNC;PAK2;PAK4;MAPK3;VASP;JUN;BAD;CAV1;STYK1;FN1;BRAF;LAMB1;PTK2;PPP1CA;ZYX;CTNNB1;BCAR1
