Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2016	Gene Expression Homo sapiens R-HSA-74160	60/1631	2.060954674473579e-15	1.1768051191244137e-12	0	0	3.859325270528326	130.5054269623666	DDX47;ARID4B;CHD4;USP39;WDR46;SMG8;RRP9;SART1;MED14;XPO1;XPO5;TOPBP1;RFC5;MED1;EIF5B;RFC3;PARP1;NCBP1;NUP133;RFC2;IMP4;THOC3;RABGGTB;UTP18;RABGGTA;PRPF6;MSH2;PPA1;XRN2;SNRNP200;GTF3C3;SF3B3;PCNA;DHX9;RNMT;SRRT;DDX23;NUP160;AURKB;NXF1;EMG1;TWISTNB;SF3B1;RAE1;DCAF13;UTP6;SSB;CPSF1;INTS3;SMARCA5;DEK;CDK9;TPX2;XPOT;TRMT6;CDK2;MPHOSPH10;FAS;TRMT61A;EZH2
Reactome_2016	Processing of Capped Intron-Containing Pre-mRNA Homo sapiens R-HSA-72203	16/193	1.5936116676555686e-09	4.549761311156649e-07	0	0	7.90274414850686	160.08796590743745	SF3B3;CPSF1;NCBP1;NUP133;DHX9;SRRT;DDX23;THOC3;USP39;NUP160;SART1;NXF1;PRPF6;SNRNP200;SF3B1;RAE1
Reactome_2016	rRNA modification in the nucleus Homo sapiens R-HSA-6790901	9/58	2.8352994328861204e-08	5.396519920593249e-06	0	0	15.672674264511	272.36808991766594	EMG1;UTP6;DDX47;MPHOSPH10;IMP4;WDR46;UTP18;DCAF13;RRP9
Reactome_2016	Cell Cycle, Mitotic Homo sapiens R-HSA-69278	21/462	1.996235838510219e-07	2.8496266594733376e-05	0	0	4.200695803435529	64.80342980575773	TOP2A;RFC5;RFC3;PCNA;NUP133;RFC2;DCTN1;DCTN3;NUP160;AURKB;TPX2;ORC4;ACTR1A;XPO1;CDK4;NUF2;CDK2;KIF20A;RAE1;CEP78;SPC25
Reactome_2016	Cell Cycle Homo sapiens R-HSA-1640170	23/566	3.747997675298999e-07	3.602662452454257e-05	0	0	3.7510587196917617	55.50394289240695	TOP2A;RFC5;RFC3;PCNA;NUP133;RFC2;DCTN1;DCTN3;SMARCA5;NUP160;AURKB;TPX2;ORC4;ACTR1A;XPO1;CDK4;NUF2;CDK2;KIF20A;TOPBP1;RAE1;CEP78;SPC25
Reactome_2016	DNA Repair Homo sapiens R-HSA-73894	16/285	3.785634801177853e-07	3.602662452454257e-05	0	0	5.175517790759426	76.52977118773131	RFC5;TIPIN;AQR;RFC3;PCNA;PARP1;RIF1;RFC2;ACTL6A;SMARCA5;LIG3;MSH6;XAB2;MSH2;CDK2;TOPBP1
Reactome_2016	mRNA Splicing - Major Pathway Homo sapiens R-HSA-72163	11/134	6.640941433117176e-07	5.417110797585582e-05	0	0	7.668796818972557	109.0874224313922	SART1;PRPF6;SF3B3;CPSF1;NCBP1;DHX9;SRRT;DDX23;SNRNP200;USP39;SF3B1
Reactome_2016	mRNA Splicing Homo sapiens R-HSA-72172	11/144	1.359791347746e-06	9.237765349303364e-05	0	0	7.088583905177791	95.7538623087478	SART1;PRPF6;SF3B3;CPSF1;NCBP1;DHX9;SRRT;DDX23;SNRNP200;USP39;SF3B1
Reactome_2016	DNA Double-Strand Break Repair Homo sapiens R-HSA-5693532	11/145	1.4560400725697072e-06	9.237765349303364e-05	0	0	7.035325555627973	94.55329865571277	RFC5;TIPIN;RFC3;PCNA;RIF1;PARP1;RFC2;CDK2;SMARCA5;LIG3;TOPBP1
Reactome_2016	Base Excision Repair Homo sapiens R-HSA-73884	6/35	3.401829954293283e-06	0.00017658590035467858	0	0	17.445623342175065	219.66128114885583	RFC5;RFC3;PCNA;PARP1;RFC2;LIG3
Reactome_2016	Resolution of Abasic Sites (AP sites) Homo sapiens R-HSA-73933	6/35	3.401829954293283e-06	0.00017658590035467858	0	0	17.445623342175065	219.66128114885583	RFC5;RFC3;PCNA;PARP1;RFC2;LIG3
Reactome_2016	Transport of Mature mRNA Derived from an Intronless Transcript Homo sapiens R-HSA-159231	6/37	4.775550077907278e-06	0.000227236591207088	0	0	16.31844499586435	199.9336107899973	NXF1;CPSF1;NCBP1;NUP133;RAE1;NUP160
Reactome_2016	Resolution of AP sites via the multiple-nucleotide patch replacement pathway Homo sapiens R-HSA-110373	5/22	5.319545667460006e-06	0.00022898708872814925	0	0	24.709637046307886	300.0768631524753	RFC5;RFC3;PCNA;PARP1;RFC2
Reactome_2016	Transport of Mature mRNAs Derived from Intronless Transcripts Homo sapiens R-HSA-159234	6/38	5.614394469691925e-06	0.00022898708872814925	0	0	15.807692307692308	191.11779507094457	NXF1;CPSF1;NCBP1;NUP133;RAE1;NUP160
Reactome_2016	Nucleotide Excision Repair Homo sapiens R-HSA-5696398	9/108	6.191476447026938e-06	0.0002356888700834921	0	0	7.737504919323102	92.7907663643986	RFC5;XAB2;AQR;RFC3;PCNA;PARP1;RFC2;ACTL6A;LIG3
Reactome_2016	Gap-filling DNA repair synthesis and ligation in GG-NER Homo sapiens R-HSA-5696397	5/23	6.730919577261782e-06	0.00024020969241352985	0	0	23.335697399527188	277.9001248413831	RFC5;RFC3;PCNA;RFC2;LIG3
Reactome_2016	Gap-filling DNA repair synthesis and ligation in TC-NER Homo sapiens R-HSA-6782210	7/62	9.20739878394914e-06	0.00030926027680205643	0	0	10.763558330081937	124.8088748604112	RFC5;XAB2;RFC3;AQR;PCNA;RFC2;LIG3
Reactome_2016	Homology Directed Repair Homo sapiens R-HSA-5693538	9/118	1.2757847299163418e-05	0.00040470726710123954	0	0	7.024067675443822	79.15677540393675	RFC5;TIPIN;RFC3;PCNA;PARP1;RFC2;CDK2;LIG3;TOPBP1
Reactome_2016	SUMOylation of DNA replication proteins Homo sapiens R-HSA-4615885	6/44	1.3518381139893833e-05	0.00040626292794101993	0	0	13.307692307692308	149.1986630965959	TOP2A;PCNA;NUP133;RAE1;NUP160;AURKB
Reactome_2016	Polymerase switching on the C-strand of the telomere Homo sapiens R-HSA-174411	4/14	1.8417042979027618e-05	0.0004780059791374895	0	0	33.47457627118644	364.9476660094237	RFC5;RFC3;PCNA;RFC2
Reactome_2016	Polymerase switching Homo sapiens R-HSA-69091	4/14	1.8417042979027618e-05	0.0004780059791374895	0	0	33.47457627118644	364.9476660094237	RFC5;RFC3;PCNA;RFC2
Reactome_2016	Leading Strand Synthesis Homo sapiens R-HSA-69109	4/14	1.8417042979027618e-05	0.0004780059791374895	0	0	33.47457627118644	364.9476660094237	RFC5;RFC3;PCNA;RFC2
Reactome_2016	Transport of Mature Transcript to Cytoplasm Homo sapiens R-HSA-72202	7/74	2.982161858971945e-05	0.0007403540962926002	0	0	8.830376016911153	92.0149638581585	NXF1;NCBP1;NUP133;CPSF1;THOC3;RAE1;NUP160
Reactome_2016	Translesion synthesis by REV1 Homo sapiens R-HSA-110312	4/16	3.2858739440263194e-05	0.000759675141322379	0	0	27.89265536723164	287.9440485378749	RFC5;RFC3;PCNA;RFC2
Reactome_2016	Major pathway of rRNA processing in the nucleolus Homo sapiens R-HSA-6791226	10/166	3.326073298259102e-05	0.000759675141322379	0	0	5.463768115942029	56.337639978599526	EMG1;UTP6;DDX47;XRN2;MPHOSPH10;IMP4;WDR46;UTP18;DCAF13;RRP9
Reactome_2016	Transcription-Coupled Nucleotide Excision Repair (TC-NER) Homo sapiens R-HSA-6781827	7/76	3.5499710495036435e-05	0.0007610792570564444	0	0	8.573552279654164	87.84449676980175	RFC5;XAB2;RFC3;AQR;PCNA;RFC2;LIG3
