,Comparison,Correlation,P_value
2561,EGFR_proteomics,0.9999999999999998,0.0
2786,ERO1A_proteomics,0.5121576051190955,0.0037932469013907035
1547,CGGBP1_proteomics,-0.49299264688237354,0.005210134093179392
1868,CP_proteomics,0.4893278131754406,0.005210134093179392
313,ALDH1L1_proteomics,0.4867613041483839,0.005210134093179392
6805,PROSER2_proteomics,0.5245929168077215,0.005210134093179392
9257,TRPM4_proteomics,0.48385940835209446,0.005212889620051096
1538,CFHR1_proteomics,0.4784062660144347,0.005587567790061616
6521,PMPCA_proteomics,-0.4776108056016822,0.005587567790061616
2251,DHFR_proteomics,-0.4757258748186668,0.005587567790061616
5670,NFIC_proteomics,0.4726618015365188,0.005947340186665241
341,ALG9_proteomics,0.4745137853444875,0.00891672189496164
7431,RNF41_proteomics,0.4620826908545781,0.00891672189496164
9230,TRIP10_proteomics,0.4506953102079415,0.008983878573677167
1542,CFHR5_proteomics,0.45552955201326595,0.008983878573677167
2196,DDX5_proteomics,-0.4446501270770963,0.008983878573677167
7140,RALGAPA2_proteomics,0.45929207488287627,0.008983878573677167
7144,RALY_proteomics,-0.44447392248995665,0.008983878573677167
9229,TRIP10_proteomics,0.4506953102079415,0.008983878573677167
7145,RALY_proteomics,-0.44447392248995665,0.008983878573677167
6464,PLEKHA6_proteomics,0.4556149971389768,0.008983878573677167
1176,CALU_proteomics,0.4467257071243231,0.008983878573677167
2955,FAM89B_proteomics,0.4887489645659464,0.008983878573677167
1175,CALU_proteomics,0.4467257071243231,0.008983878573677167
4217,IVNS1ABP_proteomics,0.4539583499595119,0.008983878573677167
4547,LGALS3_proteomics,0.4444794311552248,0.008983878573677167
8075,SLC2A4_proteomics,0.6777947768010828,0.008983878573677167
59,ABRAXAS1_proteomics,-0.4521239430695056,0.008983878573677167
3683,HCFC1_proteomics,-0.4472493648727852,0.008983878573677167
7223,RBM24_proteomics,-0.44013124600039455,0.00909766950104678
7265,RCC2_proteomics,-0.44138888447368196,0.00909766950104678
1094,C3_proteomics,0.4396574853743202,0.00909766950104678
4340,KIF13B_proteomics,0.43977820383347,0.00909766950104678
2387,DOCK1_proteomics,0.4399210030558673,0.00909766950104678
2388,DOCK1_proteomics,0.4399210030558673,0.00909766950104678
9355,TUBB4B_proteomics,-0.43955660924283446,0.00909766950104678
681,ASL_proteomics,0.43743692525998756,0.009551651163902794
4681,LRSAM1_proteomics,-0.4367562409599259,0.009551651163902794
3436,GNG12_proteomics,0.4372882581946351,0.009551651163902794
9565,USF1_proteomics,-0.4353685632609848,0.009922184806155513
1539,CFHR2_proteomics,0.43450446479205096,0.01006844147658448
1940,CRYL1_proteomics,0.43185914515423673,0.011078848270576546
1921,CRISP3_proteomics,0.4302447696379097,0.011161237689714457
4428,KRT19_proteomics,0.4301595690487068,0.011161237689714457
1123,C8A_proteomics,0.4309698527646243,0.011161237689714457
727,ATOX1_proteomics,-0.42760180630273714,0.01223968752264103
3841,HNRNPAB_proteomics,-0.42647948621772097,0.012328977099061585
3840,HNRNPAB_proteomics,-0.42647948621772097,0.012328977099061585
3868,HOOK1_proteomics,0.4248113261416043,0.013001591851412645
9354,TUBB4A_proteomics,-0.42218915003354146,0.014015988563104443
9353,TUBB4A_proteomics,-0.42218915003354146,0.014015988563104443
3063,FGD4_proteomics,0.41686927556545283,0.01579449206996931
3062,FGD4_proteomics,0.41686927556545283,0.01579449206996931
3054,FETUB_proteomics,0.41815153135961014,0.01579449206996931
7923,SGF29_proteomics,-0.41744379322165703,0.01579449206996931
1654,CLDND1_proteomics,0.4178396259515669,0.01579449206996931
6806,PROZ_proteomics,0.43810978509313886,0.01579449206996931
8428,SRSF7_proteomics,-0.4154580688612685,0.016099167004214345
1697,CMBL_proteomics,0.4157113035403358,0.016099167004214345
5152,MPHOSPH6_proteomics,-0.4152279310632958,0.016099167004214345
10036,ZNF318_proteomics,-0.41312486616827615,0.01732087259024889
6302,PGM1_proteomics,0.41256127411656374,0.017454239212618322
1534,CFB_proteomics,0.41178189972859625,0.01763764149627967
7232,RBM38_proteomics,-0.4115649490968686,0.01763764149627967
9617,UTRN_proteomics,0.40998610073976505,0.01856236755236714
8704,TBC1D4_proteomics,0.40945406158319464,0.018694678155997634
3402,GM2A_proteomics,-0.405863132968673,0.019672299696713157
6947,PTPN12_proteomics,0.40696397637551096,0.019672299696713157
4425,KRT16_proteomics,0.40625961258816445,0.019672299696713157
8794,TFDP1_proteomics,-0.41830463874470813,0.019672299696713157
1105,C5_proteomics,0.40627198372172346,0.019672299696713157
1111,C6_proteomics,0.40549276708949855,0.019672299696713157
335,ALG14_proteomics,0.43913736726563873,0.019672299696713157
1118,C7_proteomics,0.40667216832956576,0.019672299696713157
3039,FCN3_proteomics,0.4047748763978697,0.01999615346302636
9523,UIMC1_proteomics,-0.4043774336136787,0.02006018313106425
4339,KIF13A_proteomics,0.4034028958451173,0.020189176916258694
4338,KIF13A_proteomics,0.4034028958451173,0.020189176916258694
4063,ILKAP_proteomics,-0.40097394849184476,0.020189176916258694
3146,FNBP1L_proteomics,0.4016171193127172,0.020189176916258694
3169,FOXP4_proteomics,-0.40093426141784727,0.020189176916258694
3170,FOXP4_proteomics,-0.40093426141784727,0.020189176916258694
6084,PAPOLG_proteomics,-0.401897880976071,0.020189176916258694
6232,PDS5A_proteomics,-0.40314689735847253,0.020189176916258694
9352,TUBB3_proteomics,-0.40222329315454886,0.020189176916258694
7216,RBM15_proteomics,-0.40258311294273774,0.020189176916258694
8609,SYNE2_proteomics,0.40173346705816304,0.020189176916258694
5469,NAALADL2_proteomics,0.40057398824790336,0.020255853698648525
