,Comparison,Correlation,P_value,Cancer Type
10565,EGFR_phosphoproteomics_Y1197,1.0,0.0,Lscc
10564,EGFR_phosphoproteomics_Y1172,0.9127564381510848,7.644530506205123e-33,Lscc
10555,EGFR_phosphoproteomics_S1064,0.7224681367379403,2.9774401833181157e-16,Lscc
10554,EGFR_phosphoproteomics_S1042S1045N1053,0.7324258236683319,3.582485757499269e-15,Lscc
10553,EGFR_phosphoproteomics_S1039,0.6884516459261173,4.7390037421387195e-15,Lscc
10563,EGFR_phosphoproteomics_T693,0.6491329094539964,4.859236433368054e-13,Lscc
25985,PHLDA2_phosphoproteomics_S144,0.6259236792461056,5.513383070736075e-12,Lscc
10559,EGFR_phosphoproteomics_S991,0.5360372078753457,1.2840174084447422e-08,Lscc
10560,EGFR_phosphoproteomics_S991S995,0.8062069818581763,1.4897483760124772e-08,Lscc
10557,EGFR_phosphoproteomics_S1166,0.5229885882995409,3.3031202574304066e-08,Lscc
21056,MICALL1_phosphoproteomics_S295,0.5824650097123183,6.44989076478195e-08,Lscc
10552,EGFR_phosphoproteomics_S1026,0.5678174457220384,1.9744345617216558e-07,Lscc
25986,PHLDA2_phosphoproteomics_S42,0.4942112666060827,2.3188332641987246e-07,Lscc
10562,EGFR_phosphoproteomics_T1085,0.7524506980202026,4.415286364633565e-07,Lscc
7253,CHD9_phosphoproteomics_S1280,0.5556629158647404,8.712289553169529e-07,Lscc
32695,SHC1_phosphoproteomics_Y318,0.4681658554509148,1.1672283330844212e-06,Lscc
41501,ZC3H13_phosphoproteomics_S370S372S376,-0.6036592815728944,1.351084717106033e-06,Lscc
25987,PHLDA2_phosphoproteomics_T117S138,0.4910483938674065,1.3723343296830142e-06,Lscc
30563,RIN1_phosphoproteomics_S337,0.4721419494837404,1.5538618686592887e-06,Lscc
1935,ANXA2_phosphoproteomics_Y30,0.4945322511825131,2.0151341571796816e-06,Lscc
10556,EGFR_phosphoproteomics_S1071,0.6047396151078448,2.0532190133510875e-06,Lscc
8446,CTNND1_phosphoproteomics_S288S300,0.5933664341930053,2.8342895467988877e-06,Lscc
8465,CTNND1_phosphoproteomics_S895,0.49993300632658105,3.159503534883041e-06,Lscc
28572,PTPN11_phosphoproteomics_Y62,0.469559461081036,3.927944334052062e-06,Lscc
16349,ITGB4_phosphoproteomics_S1483,0.4786631542179757,4.711882744242304e-06,Lscc
10561,EGFR_phosphoproteomics_T1041S1042S1045N1053,0.6335784645778397,5.106190874151894e-06,Lscc
16355,ITGB4_phosphoproteomics_T1496,0.4499289644114499,6.048043332102864e-06,Lscc
32027,SEL1L_phosphoproteomics_S41,0.4647728767330648,9.578766214476017e-06,Lscc
16224,IRS1_phosphoproteomics_M633S636,0.5035248718132331,1.0330307128655723e-05,Lscc
34804,SRC_phosphoproteomics_Y419,0.4363498847131264,1.22929318654538e-05,Lscc
37775,TMEM119_phosphoproteomics_S141,-0.6336144970110177,1.492419421010093e-05,Lscc
1933,ANXA2_phosphoproteomics_Y238,0.4317336595327803,1.553835166270506e-05,Lscc
10558,EGFR_phosphoproteomics_S1205,0.6072513044689161,1.5765474901666554e-05,Lscc
9545,DLG2_phosphoproteomics_S470,-0.44014010758639394,1.588582290908314e-05,Lscc
16341,ITGB4_phosphoproteomics_M1447S1454S1457,0.45088693144433933,1.8888453189433245e-05,Lscc
32690,SHB_phosphoproteomics_Y246,0.49261011737119326,1.97897553579229e-05,Lscc
17762,KMT2C_phosphoproteomics_S1874,-0.4885043885452628,2.3753868470485263e-05,Lscc
16354,ITGB4_phosphoproteomics_T1487,0.5446554788676556,2.483707781358261e-05,Lscc
32692,SHC1_phosphoproteomics_S344,0.47105404616835544,2.598806480314398e-05,Lscc
19480,MAML1_phosphoproteomics_S314,0.432075426560528,2.627428254691654e-05,Lscc
16343,ITGB4_phosphoproteomics_S1069,0.45607153572767917,2.7131455946580968e-05,Lscc
26500,PLCB3_phosphoproteomics_S515,0.41861133053695787,2.969415794207029e-05,Lscc
14476,GULP1_phosphoproteomics_T208,-0.4409590074281975,3.0150921266401742e-05,Lscc
5987,CCDC88B_phosphoproteomics_S436,0.4160859166547482,3.353316662609645e-05,Lscc
41820,ZFHX3_phosphoproteomics_S533,-0.48675486673508256,4.534168829741933e-05,Lscc
23236,NFIB_phosphoproteomics_S414,-0.3992303366052973,4.6583231910590217e-05,Lscc
21523,MRAS_phosphoproteomics_S118M121,-0.4859962441364087,4.6785969079152475e-05,Lscc
26801,PLEKHG3_phosphoproteomics_S640S643,0.40796832307561376,4.924593792953186e-05,Lscc
40520,VPS13D_phosphoproteomics_T791M809,0.5063576229559732,5.0051442710138404e-05,Lscc
11306,EPHA2_phosphoproteomics_Y772,0.5051855843743975,5.24426170185379e-05,Lscc
14743,HECTD4_phosphoproteomics_S1327,0.41633211172533935,5.472599372213972e-05,Lscc
16616,JCAD_phosphoproteomics_S723,-0.4032102562372637,6.140659818666497e-05,Lscc
27109,POLR2A_phosphoproteomics_S1829T1835,-0.4028533992811749,6.242307593271684e-05,Lscc
6705,CEP131_phosphoproteomics_S414S416S417,-0.6236338127848886,6.270794174357248e-05,Lscc
21055,MICALL1_phosphoproteomics_S273,0.39139950081728514,6.74378976257613e-05,Lscc
24793,PARD3_phosphoproteomics_S692S695,0.6059245506691773,7.060519067353757e-05,Lscc
34803,SRC_phosphoproteomics_S75,0.43389397628349735,7.228969650526129e-05,Lscc
4686,BUD13_phosphoproteomics_T123S126S127,-0.40955939170409816,7.42144766037031e-05,Lscc
39426,TTYH3_phosphoproteomics_S520S522,0.47350600878260796,7.758494292522287e-05,Lscc
25010,PBXIP1_phosphoproteomics_S551,0.616896348167298,7.921406400739543e-05,Lscc
9352,DGKA_phosphoproteomics_Y60,0.5138103646840975,8.319498686754243e-05,Lscc
16353,ITGB4_phosphoproteomics_T1471,0.38531053179206254,8.934699804605338e-05,Lscc
17314,KIAA1522_phosphoproteomics_S621,0.3826759982419195,0.0001007407948734854,Lscc
17408,KIDINS220_phosphoproteomics_S1682,0.3814810169970779,0.00010634159884282902,Lscc
26437,PKP3_phosphoproteomics_S187,0.4523806653176159,0.00010749926277109768,Lscc
25560,PEAK1_phosphoproteomics_S359,-0.44919064667301634,0.00010813597899345162,Lscc
6398,CDCP1_phosphoproteomics_S797,0.4236343553320038,0.000111228672769,Lscc
11531,ERCC6L_phosphoproteomics_T511,-0.44809329512928225,0.00011293949350844148,Lscc
14626,HDAC5_phosphoproteomics_S500,-0.38003137899089584,0.00011352388662524325,Lscc
