,Comparison,Correlation,P_value
81,PHLDA1_proteomics,0.8168478152481624,6.553435386439516e-25
99,SOCS2_proteomics,0.5627196030682289,1.3434640782638403e-09
85,PLA2G15_proteomics,-0.5566242323733048,2.1975620249173136e-09
26,DAB2_proteomics,-0.5564015379913563,2.2370098379586097e-09
47,GLA_proteomics,-0.5504906315237544,3.5702294261417183e-09
23,CTSC_proteomics,-0.5462852751917662,4.951742478740451e-09
20,CKB_proteomics,0.5442462597158703,5.793441254542527e-09
27,DCBLD2_proteomics,-0.5653725668293248,6.4080703524936024e-09
13,ARNT2_proteomics,0.5420787847456093,6.837755397258698e-09
95,SCPEP1_proteomics,-0.531494133013942,1.51074842787198e-08
94,ROBO2_proteomics,0.5271277906035979,2.078744078781758e-08
82,PHLDA3_proteomics,0.5258827854613878,2.2749193535040245e-08
17,BLOC1S2_proteomics,-0.5229648266822912,2.806359641551675e-08
14,ATP7A_proteomics,-0.5224817306372646,2.9050654593125225e-08
67,MEOX2_proteomics,0.5458632466939957,3.15918193420926e-08
18,CD180_proteomics,-0.5182666129723484,3.9188354698101024e-08
37,FAM129B_proteomics,-0.5149840251387472,4.933815184977254e-08
97,SEC23IP_proteomics,-0.5144035788843105,5.137602364276023e-08
109,TOR4A_proteomics,-0.5138471291537452,5.3404847290912614e-08
112,XRN1_proteomics,-0.5116564308207833,6.215974541674248e-08
80,PCDH17_proteomics,0.5060447136622968,9.126315836197022e-08
63,LRP4_proteomics,0.5008960940270109,1.290345559556091e-07
10,ARHGAP4_proteomics,-0.4989264348229207,1.470944267430579e-07
50,GPRIN3_proteomics,-0.49783635480482147,1.5809856909910795e-07
86,PPP1R18_proteomics,-0.4972021285670396,1.648569205371532e-07
74,NEO1_proteomics,0.4969841203020866,1.6724287017663087e-07
36,EPHB3_proteomics,0.49601893686837845,1.7820656121740215e-07
58,KYNU_proteomics,-0.49551657943951066,1.8418019170073093e-07
64,LRRC75A_proteomics,0.49540215858447634,1.855671837806378e-07
21,CLIP2_proteomics,0.49327992110355356,2.131667000797299e-07
102,STAB1_proteomics,-0.4929776568817793,2.1740173356435911e-07
11,ARHGAP45_proteomics,-0.49256376995601736,2.2333067744614186e-07
54,HSD17B11_proteomics,-0.49184266467177457,2.3402960541558968e-07
103,SVIL_proteomics,-0.49130315234332644,2.423511222761499e-07
29,DOCK10_proteomics,-0.48971507364617484,2.685098314979208e-07
68,MITF_proteomics,-0.5096486438817509,2.892238411102922e-07
98,SH3BP1_proteomics,-0.4884798437640261,2.9068965540064064e-07
49,GPHN_proteomics,0.48659911599553907,3.278328525577992e-07
32,DPP6_proteomics,0.4863244796622994,3.3362018609614224e-07
35,ENG_proteomics,-0.48563903357264726,3.4849083075673814e-07
100,ST14_proteomics,-0.48465923206111367,3.708446279663333e-07
8,ARHGAP27_proteomics,-0.48444882721818805,3.758194214505767e-07
78,OSTF1_proteomics,-0.48429806091463534,3.794230400264636e-07
5,APBB1IP_proteomics,-0.4830555483585245,4.103970283607974e-07
52,HAAO_proteomics,-0.48197358928803796,4.393105507041477e-07
25,CTSZ_proteomics,-0.48170904715372437,4.466686983697819e-07
106,THEMIS2_proteomics,-0.48106531136839314,4.65065881026532e-07
75,NFIA_proteomics,0.48042978003337344,4.839326688475612e-07
76,NIPSNAP2_proteomics,0.47888120867778167,5.329931202626609e-07
59,LANCL2_proteomics,0.47872313065582084,5.382585258228344e-07
93,RNF130_proteomics,-0.4754253341978527,6.600401161969357e-07
6,ARHGAP15_proteomics,-0.4748493488654879,6.838276050482958e-07
57,KCND3_proteomics,0.47461967486681345,6.935377402357279e-07
40,FCGRT_proteomics,-0.4743710606768027,7.041959501140814e-07
0,ABCA1_proteomics,-0.47409469035326185,7.162263363932542e-07
113,ZYG11B_proteomics,0.4738725020249037,7.260392455215334e-07
12,ARMT1_proteomics,-0.4735976201606943,7.383558239359149e-07
30,DOCK11_proteomics,-0.47347615851379904,7.438610119950587e-07
46,GGA2_proteomics,-0.47146549139865473,8.40845681956795e-07
45,GBA_proteomics,-0.47079605765005716,8.757130708204461e-07
87,PROCR_proteomics,-0.470784064713155,8.763500414536871e-07
111,UAP1_proteomics,-0.4701864303894616,9.08653735392082e-07
22,CTNND2_proteomics,0.4700018930346916,9.188543432270415e-07
48,GMIP_proteomics,-0.4698996531247181,9.245524424223942e-07
7,ARHGAP24_proteomics,-0.4678576140628673,1.0456226741850344e-06
19,CD4_proteomics,-0.46747903299664095,1.0696585181766667e-06
73,NCKAP1L_proteomics,-0.4671625433058982,1.0901529368139768e-06
9,ARHGAP30_proteomics,-0.4670639849246152,1.0966106988421598e-06
84,PI4K2A_proteomics,-0.4666231050334723,1.1259442531821032e-06
96,SCRN1_proteomics,0.46596514982339154,1.1711062077486946e-06
16,BLOC1S1_proteomics,-0.4658473823629272,1.1793686357676015e-06
61,LDLRAP1_proteomics,-0.46540089073266905,1.2111980974805808e-06
77,NPAS3_proteomics,0.46517664566307715,1.2274892687755458e-06
42,FYB1_proteomics,-0.46503494439218146,1.2378904631954076e-06
3,ADAP2_proteomics,-0.4644349187011614,1.2828656641120944e-06
38,FAM19A5_proteomics,0.4640521725822081,1.3123580555885118e-06
31,DOCK8_proteomics,-0.4629196820492616,1.4034267493707837e-06
65,MAN2A1_proteomics,-0.4621881013097853,1.4654022962371955e-06
60,LCP2_proteomics,-0.46088097013207374,1.5826341101686391e-06
33,EHBP1L1_proteomics,-0.4600736240604506,1.6594172612743351e-06
28,DNAJC21_proteomics,-0.4600181607794885,1.6648194750632718e-06
1,ABI3_proteomics,-0.4585684170672143,1.8120722625614602e-06
89,RAB3IL1_proteomics,-0.4583886434542359,1.8311677593124094e-06
69,MLC1_proteomics,0.4580797432124604,1.8644242234891467e-06
110,TRAF3IP3_proteomics,-0.45370692647269656,2.400942483470973e-06
56,INPP5F_proteomics,-0.452337339773245,2.5970001028285062e-06
70,MSR1_proteomics,-0.4518416229187484,2.6716184804940325e-06
105,TBXAS1_proteomics,-0.45170041569799063,2.693241675045255e-06
72,NAIP_proteomics,-0.450599041426451,2.867659676471342e-06
79,OTULINL_proteomics,-0.450567114368572,2.8728714544490186e-06
41,FGD3_proteomics,-0.45050399709487854,2.8832010612871964e-06
91,RIN2_proteomics,-0.4499853188856706,2.969424942369167e-06
90,RGS12_proteomics,0.44987987377193384,2.9872491608114876e-06
44,GAS2_proteomics,-0.4697398983127423,2.999487745964869e-06
83,PHLDB2_proteomics,-0.4490432852775595,3.1322877910328356e-06
108,TNFAIP8_proteomics,-0.4487992023446223,3.1758413130881147e-06
71,MYO10_proteomics,0.44747819395886473,3.421652102638465e-06
39,FCGR3A_proteomics,-0.44714792640110335,3.485855457407905e-06
66,MAN2B1_proteomics,-0.4470946229040094,3.496323507772922e-06
53,HEXB_proteomics,-0.4468664074316057,3.541478131637973e-06
55,IL18_proteomics,-0.44685949345758735,3.542854679296972e-06
62,LIG4_proteomics,-0.4459812151698548,3.721882597767371e-06
15,B4GALT1_proteomics,-0.44594460701449457,3.729527011232262e-06
43,GAA_proteomics,-0.44589844827073527,3.7391868692414644e-06
101,ST6GAL1_proteomics,-0.4456766956565269,3.7859241266766863e-06
34,EMILIN3_proteomics,0.4448454995715303,3.9660608068097495e-06
104,TBC1D2B_proteomics,-0.44478800074311653,3.978816354476862e-06
92,RNASET2_proteomics,-0.4446926822173949,4.000047119515243e-06
2,ACSL1_proteomics,-0.4430988657917541,4.371270683238373e-06
107,TMX2_proteomics,0.44247121596391603,4.526188443300322e-06
4,AFAP1L1_proteomics,0.44247019495352147,4.526444617121426e-06
88,PTBP3_proteomics,-0.4421726263221297,4.6016907007768496e-06
51,GPSM3_proteomics,-0.4413199028416614,4.823904368713601e-06
24,CTSS_proteomics,-0.44130470634471874,4.8279547151132385e-06
