,Comparison,Correlation,P_value
2417,EGFR_proteomics,0.9999999999999998,0.0
2623,ERO1A_proteomics,0.5121576051190955,7.452351476209633e-07
1454,CGGBP1_proteomics,-0.49299264688237354,2.1923391204134747e-06
6395,PROSER2_proteomics,0.5245929168077215,2.2440191437951265e-06
1763,CP_proteomics,0.4893278131754406,2.675011156825854e-06
291,ALDH1L1_proteomics,0.4867613041483839,3.0708059488287183e-06
8704,TRPM4_proteomics,0.48385940835209446,3.5845017033750167e-06
1445,CFHR1_proteomics,0.4784062660144347,4.77546527046122e-06
6129,PMPCA_proteomics,-0.4776108056016822,4.977501797482398e-06
2129,DHFR_proteomics,-0.4757258748186668,5.488769931298247e-06
5337,NFIC_proteomics,0.4726618015365188,6.42639902291922e-06
6987,RNF41_proteomics,0.4620826908545781,1.095081033067839e-05
316,ALG9_proteomics,0.4745137853444875,1.1386776486689717e-05
6708,RALGAPA2_proteomics,0.45929207488287627,1.2567164983672654e-05
7599,SLC2A4_proteomics,0.6777947768010828,1.4682516764831086e-05
6077,PLEKHA6_proteomics,0.4556149971389768,1.5039281377779898e-05
1449,CFHR5_proteomics,0.45552955201326595,1.5101799089381299e-05
3972,IVNS1ABP_proteomics,0.4539583499595119,1.6295643287953375e-05
58,ABRAXAS1_proteomics,-0.4521239430695056,1.7800997304133878e-05
8678,TRIP10_proteomics,0.4506953102079415,1.906235871921741e-05
2786,FAM89B_proteomics,0.4887489645659464,2.035968502988566e-05
3473,HCFC1_proteomics,-0.4472493648727852,2.245677902321624e-05
1103,CALU_proteomics,0.4467257071243231,2.3019492342383e-05
2075,DDX5_proteomics,-0.4446501270770963,2.5381939370856423e-05
4292,LGALS3_proteomics,0.4444794311552248,2.5585971490693667e-05
6711,RALY_proteomics,-0.44447392248995665,2.5592581398490947e-05
6823,RCC2_proteomics,-0.44138888447368196,2.9555372097630527e-05
6783,RBM24_proteomics,-0.44013124600039455,3.13293406721808e-05
2254,DOCK1_proteomics,0.4399210030558673,3.1635411130523083e-05
4090,KIF13B_proteomics,0.43977820383347,3.1844884553635934e-05
1025,C3_proteomics,0.4396574853743202,3.2022975304705507e-05
8793,TUBB4B_proteomics,-0.43955660924283446,3.2172505111756786e-05
633,ASL_proteomics,0.43743692525998756,3.546910756324675e-05
3238,GNG12_proteomics,0.4372882581946351,3.571174501180456e-05
4415,LRSAM1_proteomics,-0.4367562409599259,3.6592769684892825e-05
8988,USF1_proteomics,-0.4353685632609848,3.898697369805702e-05
1446,CFHR2_proteomics,0.43450446479205096,4.055069749901411e-05
1832,CRYL1_proteomics,0.43185914515423673,4.570841133243761e-05
1053,C8A_proteomics,0.4309698527646243,4.757512176436693e-05
