,Comparison,Correlation,P_value
929,EGFR_proteomics,1.0,0.0
541,MET_proteomics,0.48569150743892037,7.518188139392323e-08
128,RASGRP2_proteomics,-0.4731973372682005,1.7844330199052092e-07
989,STAT5B_proteomics,-0.4545850377152757,6.077743635785548e-07
471,PPP3CB_proteomics,-0.4487285436308015,8.806545123386347e-07
491,PRKCB_proteomics,-0.4470013385024822,9.811529077839402e-07
561,PPP3CC_proteomics,-0.43227148671382276,2.408053800397277e-06
459,SETD7_proteomics,0.4309722915415085,2.6012917993779706e-06
574,PTK2_proteomics,0.429174225331246,2.8930494601045988e-06
924,DUSP6_proteomics,0.43528502234718247,3.1149654849704338e-06
630,PRKCQ_proteomics,-0.41817537058263576,5.471016782075828e-06
401,RASSF1_proteomics,-0.4307299619666217,6.214530087551139e-06
16,GPX2_proteomics,-0.4373507635473321,7.4883736420944705e-06
836,XIAP_proteomics,0.4100451346445546,8.63869151452052e-06
638,PLCG2_proteomics,-0.40815336175374417,9.591168268365169e-06
121,NFKB2_proteomics,-0.40788741152781227,9.732741775104174e-06
790,HGF_proteomics,-0.40769311631799887,9.837412678116783e-06
337,FGFR1_proteomics,-0.43453532126739,1.0829313911035276e-05
354,FOXO1_proteomics,-0.4021944124397684,1.3278929996618285e-05
319,NCOA2_proteomics,0.39788751056179794,1.6734441307136812e-05
987,EML4_proteomics,0.39671197149493725,1.781503546435361e-05
316,MGST1_proteomics,0.39578762481481283,1.8710398363126003e-05
663,STK3_proteomics,0.3907490667690602,2.438135226454573e-05
722,CRABP2_proteomics,0.38690053256837087,2.9759431103479786e-05
101,ZAP70_proteomics,-0.38461257775012225,3.3464128651059746e-05
150,PPP2R5E_proteomics,0.384177569591857,3.4215655121899156e-05
441,SMAD4_proteomics,-0.3835318964435682,3.536031682777998e-05
657,AHR_proteomics,0.38185635847638333,3.850019721157611e-05
29,ACADM_proteomics,-0.3784446454486524,4.571666366284098e-05
816,MAP4K1_proteomics,-0.37754774619429765,4.7813651284136726e-05
320,PFN1_proteomics,-0.3702617746389454,6.849870967898746e-05
296,PDK1_proteomics,-0.36409563147275636,9.224405968235596e-05
298,PIK3C3_proteomics,-0.36396952604660693,9.280142554281113e-05
586,MDH1_proteomics,-0.3637884041528766,9.360744373816569e-05
506,CSK_proteomics,-0.36156774738483016,0.00010403425411968934
664,PLA2G2A_proteomics,-0.36129717257098887,0.00010537606766004338
764,ARHGAP35_proteomics,0.35859549364658627,0.00011968593943864611
932,OSMR_proteomics,0.35420584739610683,0.0001468418223281305
155,PTPN7_proteomics,-0.35413097456969705,0.00014735108874282268
738,CDKN1B_proteomics,-0.3517042213149987,0.00016477275951939702
196,CD209_proteomics,-0.3508353728887912,0.00017146145048383272
87,RAC2_proteomics,-0.34993673127223235,0.00017864371161617484
792,ENO3_proteomics,-0.3487587780567051,0.0001884809937303509
904,PPP2R3A_proteomics,0.34848983092184055,0.0001907963076161991
980,ALDOA_proteomics,0.3481133539084685,0.00019408161284005304
579,ARHGEF1_proteomics,-0.34794501347904316,0.00019556751692907074
964,CTNNB1_proteomics,0.3474829302100987,0.0001997005687269428
161,JAK3_proteomics,-0.34972908497572774,0.00023809146773090818
422,MAP3K8_proteomics,-0.3574221256124127,0.00024319540558949057
46,IFNGR1_proteomics,0.34062214238550625,0.00027139211523100065
526,ETS1_proteomics,-0.34013105934926025,0.00027734217595096265
165,MAP2K6_proteomics,-0.34001945305362125,0.00027871112257437123
153,WAS_proteomics,-0.3379086881786271,0.0003058060874905309
669,BLK_proteomics,-0.36551155254329004,0.00034001545682849977
453,LGALS3_proteomics,0.33522479846923514,0.000343769113711115
690,PIK3CD_proteomics,-0.33176003913986385,0.00039920615749863104
807,ICAM1_proteomics,0.3305299685651742,0.00042079126856537643
86,ARRB2_proteomics,-0.32985409585007475,0.000433103864304275
391,VWF_proteomics,-0.32946021890344,0.000440431328068848
643,DEPTOR_proteomics,0.3289646896106575,0.00044981191308773237
168,RGL2_proteomics,0.3286022349952552,0.00045678937179089666
216,CREB3L1_proteomics,0.4305762213015269,0.0004771690277149981
