,Comparison,Correlation,P_value
145,EGFR_proteomics,1.0,0.0
425,RAE1_proteomics,-0.4988020069726074,0.0004727343023775293
586,UTP6_proteomics,-0.5103433457160391,0.0004727343023775293
178,GAR1_proteomics,-0.4897880299878189,0.0006313765300343217
428,RALYL_proteomics,-0.48576266847937516,0.0006501206526837533
360,NUP153_proteomics,-0.47015486869545464,0.001199214614153722
532,TFAM_proteomics,-0.47018483595724936,0.001199214614153722
396,PPP2R5D_proteomics,-0.4551105041014165,0.002228968174480422
464,SCG2_proteomics,0.45590142930557764,0.002228968174480422
461,SBF1_proteomics,0.4520408152746056,0.0023842994019434433
498,SNU13_proteomics,-0.4483738093051055,0.0024369249131468334
271,MAMDC2_proteomics,0.530626820433032,0.0024369249131468334
340,NDUFAB1_proteomics,-0.44220060058800453,0.0026801208569693434
427,RALY_proteomics,-0.444764007094965,0.0026801208569693434
386,POFUT1_proteomics,-0.4413811331140185,0.0026801208569693434
131,DDX27_proteomics,-0.4431709719793594,0.0026801208569693434
132,DDX28_proteomics,-0.42916687972930023,0.0038099463584856034
224,HSPE1_proteomics,-0.4315941902139311,0.0038099463584856034
19,AFAP1L2_proteomics,0.4371760395058685,0.0038099463584856034
473,SERPINB8_proteomics,0.4305634572527005,0.0038099463584856034
486,SLC25A6_proteomics,-0.4294705698707778,0.0038099463584856034
175,FYCO1_proteomics,0.43101331166426915,0.0038099463584856034
321,MTCH2_proteomics,-0.4263646763509397,0.0038706495145839235
229,IDH3G_proteomics,-0.42643957539872746,0.0038706495145839235
518,STAU1_proteomics,-0.4259801376855453,0.0038706495145839235
454,S100A13_proteomics,0.42515940212664693,0.0038824600125685906
488,SLC50A1_proteomics,0.5407531314382037,0.0042508167769462315
431,RASSF2_proteomics,0.4603741065155126,0.0042508167769462315
528,TBC1D1_proteomics,0.429878746294538,0.0042508167769462315
447,RPRD1B_proteomics,-0.4200391924928882,0.004369233739716468
208,HECTD1_proteomics,0.4191402964402317,0.00442478223678544
49,ARFGEF2_proteomics,-0.41713893603005436,0.004459799863625126
419,RAB27A_proteomics,0.4168070577403171,0.004459799863625126
537,TIMM13_proteomics,-0.41650045671651276,0.004459799863625126
308,MRPL42_proteomics,-0.4242347338762474,0.004459799863625126
32,ALG13_proteomics,-0.4339852015474232,0.004459799863625126
534,TFCP2_proteomics,-0.4135731260839518,0.004465571919906123
410,PTPN2_proteomics,0.4303801689011899,0.004465571919906123
492,SLK_proteomics,0.41347546552132325,0.004465571919906123
390,PPIF_proteomics,-0.4133651330276644,0.004465571919906123
7,ACOT8_proteomics,-0.41354616407589007,0.004465571919906123
538,TIMM17B_proteomics,-0.4234262952921583,0.004782194320425897
383,PLD1_proteomics,0.4192192351125398,0.004782194320425897
607,XRCC6_proteomics,-0.4095128807598822,0.005030247808413955
565,TRPT1_proteomics,0.42667856726581194,0.005201752378460038
195,GSDMD_proteomics,0.4076147821576612,0.005201752378460038
544,TMCO1_proteomics,-0.4074735033819134,0.005201752378460038
577,UCHL3_proteomics,-0.40505809759130124,0.00526399737927296
121,CSTF1_proteomics,-0.4044453440959739,0.00526399737927296
371,PDE4D_proteomics,0.4124064199733425,0.00526399737927296
570,U2AF1_proteomics,-0.40626706728279854,0.00526399737927296
434,RBM12_proteomics,-0.4048988174733451,0.00526399737927296
284,MICAL3_proteomics,0.4121956036801262,0.00526399737927296
44,APBB1IP_proteomics,0.4043758593035532,0.00526399737927296
352,NPTN_proteomics,0.40312495697978445,0.005483775728072715
415,PYGL_proteomics,0.40026264405796486,0.005860444251157719
474,SERPINC1_proteomics,0.40061379751764015,0.005860444251157719
394,PPP1CC_proteomics,0.400391406633117,0.005860444251157719
38,ANKFY1_proteomics,0.40031233575057645,0.005860444251157719
324,MTIF3_proteomics,-0.3968953749866601,0.006435169493268537
508,SPTLC2_proteomics,0.3971036796275895,0.006435169493268537
240,INTS6_proteomics,-0.4368545430283021,0.006435169493268537
285,MICALL1_proteomics,0.3972457445224131,0.006435169493268537
55,ARMC8_proteomics,0.39990217697825337,0.006516093610603272
172,FUS_proteomics,-0.39563743710017996,0.006516093610603272
402,PRKCB_proteomics,0.395927398323319,0.006516093610603272
584,UTP15_proteomics,-0.39478132987018066,0.006582741386477683
90,CDC42BPA_proteomics,0.40282621099287175,0.006582741386477683
546,TMLHE_proteomics,-0.3936222539977408,0.006749608135310162
138,DNAJA3_proteomics,-0.3938460073576744,0.006749608135310162
608,YARS2_proteomics,-0.39291776335665773,0.006875992430352113
417,QSOX1_proteomics,0.3923920582875743,0.006947834697189724
406,PRPF6_proteomics,-0.3920732050319938,0.006954604873294738
98,CHKB_proteomics,0.4122317706294195,0.006985425463165853
610,YWHAB_proteomics,-0.3907993932974937,0.006992951154932629
611,ZFYVE16_proteomics,0.39096118845808414,0.006992951154932629
341,NEBL_proteomics,-0.3909720715045347,0.006992951154932629
221,HSDL2_proteomics,-0.3885678385449693,0.007648502961264302
517,STAG2_proteomics,-0.38815226851587215,0.007696609982429483
23,AIFM1_proteomics,-0.3866421909876992,0.008048316382888627
134,DEK_proteomics,-0.3866240936566072,0.008048316382888627
184,GLYR1_proteomics,-0.3859942664979877,0.008180991447519744
489,SLC5A6_proteomics,-0.40787080925463376,0.008310930683215574
35,AMDHD2_proteomics,0.41031277129370136,0.0089776850918999
350,NOP58_proteomics,-0.3829224048845531,0.009067030470099264
571,UBA2_proteomics,-0.38143384560831495,0.00918037613898808
96,CGGBP1_proteomics,0.3806944665040263,0.00918037613898808
522,STRN3_proteomics,0.3814676921703357,0.00918037613898808
574,UBE2H_proteomics,0.3807822321794652,0.00918037613898808
564,TRMT1L_proteomics,-0.3883018884350328,0.00918037613898808
269,MAGED2_proteomics,-0.38109893935149447,0.00918037613898808
146,EHD1_proteomics,0.3810178905562931,0.00918037613898808
159,FAM114A1_proteomics,0.3812685345509499,0.00918037613898808
569,TXNDC12_proteomics,-0.3801185104297905,0.009197077476334747
579,UMPS_proteomics,-0.38025204344831126,0.009197077476334747
456,S100A16_proteomics,0.3787097040116302,0.009462937263275059
141,DPM1_proteomics,-0.3780973493028845,0.009462937263275059
300,MRPL17_proteomics,-0.37881200028957956,0.009462937263275059
204,H2AFY_proteomics,-0.3785978630317462,0.009462937263275059
405,PRPF4B_proteomics,-0.3782822084483217,0.009462937263275059
210,HMGB1_proteomics,-0.37818449377621327,0.009462937263275059
153,ERCC5_proteomics,-0.39116795858399594,0.00951392760730858
589,VAPB_proteomics,-0.3776551389545374,0.00951392760730858
97,CHD4_proteomics,-0.3768805723873609,0.009697386707787903
214,HNRNPH3_proteomics,-0.37500230436188087,0.010040975686184323
