,Comparison,Correlation,P_value
2670,EGFR_proteomics,1.0,0.0
4657,LANCL2_proteomics,0.7967283641326608,1.9705032109053468e-21
6502,PHLDA3_proteomics,0.7637844857470779,1.5711064616377101e-18
6500,PHLDA1_proteomics,0.6642710702729873,8.88864017123259e-12
6501,PHLDA2_proteomics,0.6490337294497416,4.777378675503955e-11
9364,TPBG_proteomics,0.5508984611671387,9.35339330352051e-07
710,ASRGL1_proteomics,-0.532420805979052,3.320091791570536e-06
3668,GRB2_proteomics,-0.532341215310538,3.320091791570536e-06
3315,FSCN1_proteomics,0.5264347695861407,4.7472099834921816e-06
4353,JAG1_proteomics,0.5193675703808045,7.4568048941634186e-06
1408,CD109_proteomics,0.5140019229435475,8.765469003362371e-06
8783,SUMF2_proteomics,0.513876120165785,8.765469003362371e-06
4276,IRF6_proteomics,0.5142276477593416,8.765469003362371e-06
5325,MPP1_proteomics,-0.5084001720738488,1.1509515255450403e-05
6587,PKN1_proteomics,-0.5084976649711582,1.1509515255450403e-05
9967,WAS_proteomics,-0.5034268684782973,1.5637491273875394e-05
5730,NDRG1_proteomics,0.4953263887241109,2.659872590876399e-05
2925,EXOC6_proteomics,-0.4944648402198387,2.672905337964733e-05
3664,GRAP_proteomics,-0.49210526161301443,2.8884311852900694e-05
672,ARRB1_proteomics,-0.4919111584556752,2.8884311852900694e-05
4649,LAMP2_proteomics,0.4887170107488884,3.376737807055475e-05
3647,GPRIN3_proteomics,-0.5445271846593618,3.376737807055475e-05
3537,GMIP_proteomics,-0.48274154348997167,4.785406829541044e-05
767,ATP2B4_proteomics,0.48056278202731373,5.330396447448731e-05
7801,RTN1_proteomics,-0.47867465065580217,5.44680563446764e-05
4171,IL16_proteomics,-0.47871634249808104,5.44680563446764e-05
2132,CTSS_proteomics,-0.4785301637263124,5.44680563446764e-05
6400,PECAM1_proteomics,-0.4779330904632045,5.470854328435605e-05
6808,PPFIBP1_proteomics,0.47462765966596715,6.610563170722461e-05
6543,PIK3AP1_proteomics,-0.4734454453412432,6.920083554968585e-05
2500,DOCK8_proteomics,-0.4710626597250119,7.293906841199127e-05
2982,FAM107B_proteomics,-0.4707910089197826,7.293906841199127e-05
6444,PFKP_proteomics,0.47213452929198235,7.293906841199127e-05
8995,TENM2_proteomics,0.4708342397356705,7.293906841199127e-05
4275,IRF5_proteomics,-0.4699488782845669,7.494268792116716e-05
160,ADA2_proteomics,-0.46583556560269346,7.918808947863144e-05
583,ARHGAP25_proteomics,-0.4661374699208939,7.918808947863144e-05
3488,GIMAP8_proteomics,-0.46734241327377013,7.918808947863144e-05
591,ARHGAP4_proteomics,-0.46641297682921207,7.918808947863144e-05
587,ARHGAP30_proteomics,-0.4656505687590924,7.918808947863144e-05
944,BIN2_proteomics,-0.466494265425562,7.918808947863144e-05
7436,RCSD1_proteomics,-0.46585790688077117,7.918808947863144e-05
765,ATP2A3_proteomics,-0.46822501619909623,7.918808947863144e-05
6562,PIP4K2A_proteomics,-0.46803887878046246,7.918808947863144e-05
3265,FNBP1_proteomics,-0.4635221178342521,8.899029702868102e-05
6922,PREX1_proteomics,-0.46300983691832176,9.000857144661348e-05
