,Comparison,Correlation,P_value,Cancer Type
10038,EGFR_phosphoproteomics_S1064,0.8080558080916586,1.4308526370475228e-26,Luad
10044,EGFR_phosphoproteomics_T693,0.7602748279808318,5.8384514691964775e-22,Luad
10047,EGFR_phosphoproteomics_Y1197,0.6946220543112351,2.9940419140067232e-15,Luad
10046,EGFR_phosphoproteomics_Y1172,0.6565402604288787,6.792538909734927e-14,Luad
10041,EGFR_phosphoproteomics_S991,0.6371491970195685,7.252109302215022e-14,Luad
10040,EGFR_phosphoproteomics_S1166,0.6148077590834788,9.001612643934585e-13,Luad
33843,SSR3_phosphoproteomics_S11,0.5638456111205804,1.4190767935364397e-10,Luad
24845,PHLDA2_phosphoproteomics_S144,0.557319245230456,5.469627964411763e-10,Luad
10036,EGFR_phosphoproteomics_S1042,0.5408901847997883,2.156023706388346e-09,Luad
10517,EML4_phosphoproteomics_S144,0.530496153369961,2.5086088437117735e-09,Luad
32369,SNX17_phosphoproteomics_S38,-0.5305235872751612,4.935917192594099e-09,Luad
10318,EIF4G1_phosphoproteomics_S1245,0.5152431324726565,8.437816853316837e-09,Luad
10037,EGFR_phosphoproteomics_S1042S1045,0.5685281138861646,1.1283101886930547e-08,Luad
19560,MBOAT2_phosphoproteomics_T474,0.5005737988298609,2.5644530536134912e-08,Luad
3753,BCAP31_phosphoproteomics_S283,0.5132412712115066,2.9648060049279968e-08,Luad
10039,EGFR_phosphoproteomics_S1071,0.7757896499175673,4.390914189891117e-08,Luad
25130,PITPNM3_phosphoproteomics_S321,0.48976353084329405,5.629921877648504e-08,Luad
15467,IQSEC1_phosphoproteomics_S498,-0.4880170352958114,6.376421685955087e-08,Luad
9290,DNAJB4_phosphoproteomics_S148,-0.5143557365509017,8.295406777516425e-08,Luad
10639,EPB41_phosphoproteomics_S104,-0.5364232614713366,1.0182185631662555e-07,Luad
10045,EGFR_phosphoproteomics_Y1092,0.776099081441833,1.795249313788856e-07,Luad
31014,SH2D3C_phosphoproteomics_S343,-0.47242829035375655,1.8798441300544689e-07,Luad
32278,SNRK_phosphoproteomics_S362,-0.4790148430516617,2.0544444216395968e-07,Luad
1644,ANK3_phosphoproteomics_S1720,0.4707721323115908,2.1020851189393774e-07,Luad
30076,SAMD4A_phosphoproteomics_T423T424,0.4784271296695315,2.4439413046824705e-07,Luad
28298,RASGRP2_phosphoproteomics_S576,-0.46699998067637144,2.705399345663789e-07,Luad
10516,EML4_phosphoproteomics_S138,0.478222021411397,3.7080509601480743e-07,Luad
32833,SPATS2L_phosphoproteomics_S548,0.4697899409961074,3.763587233194854e-07,Luad
10035,EGFR_phosphoproteomics_S1039N1053,0.604690142248671,3.935187866323876e-07,Luad
2888,ARHGEF7_phosphoproteomics_S736N737,-0.47776125567611183,4.367587977359284e-07,Luad
34646,SYNPO2_phosphoproteomics_T821,-0.45591120363096016,5.582803688163782e-07,Luad
29321,RNF139_phosphoproteomics_N646T663,0.45531258446531037,5.801274726916286e-07,Luad
10514,EML4_phosphoproteomics_S134,0.5553041631000473,6.05971465692787e-07,Luad
34051,STK10_phosphoproteomics_S514,-0.4537531955484749,6.409180824867936e-07,Luad
12223,FLI1_phosphoproteomics_S79,-0.4534469754697479,6.53545978480445e-07,Luad
33906,STAG1_phosphoproteomics_S1065S1067S1068,-0.5251991115792316,6.719050217782878e-07,Luad
36681,TNS1_phosphoproteomics_T1385N1387,-0.4522058502979316,7.071895111019585e-07,Luad
32576,SORBS3_phosphoproteomics_N369S373,-0.45197323333466255,7.17698228760537e-07,Luad
18098,LPIN3_phosphoproteomics_S412,0.45945746310593455,7.262251913441372e-07,Luad
29277,RIPOR2_phosphoproteomics_S66,-0.4515724989404146,7.361505449564746e-07,Luad
36252,TMEM63C_phosphoproteomics_S77,0.5516985526319019,7.413455588769937e-07,Luad
32277,SNRK_phosphoproteomics_S351,-0.4591188893005881,7.417678911559977e-07,Luad
6285,CDK5RAP2_phosphoproteomics_S841,0.5441528984505668,7.791340931611053e-07,Luad
1379,AKNA_phosphoproteomics_S1228,-0.4596729417815151,8.104372113134216e-07,Luad
31599,SLAIN2_phosphoproteomics_S431,0.4500104927894793,8.124671037716918e-07,Luad
13632,GRAMD2B_phosphoproteomics_S87,0.4481184792721605,9.149798094320708e-07,Luad
13682,GRIP1_phosphoproteomics_S43,0.4473863674634066,9.578491326262755e-07,Luad
23637,PAM_phosphoproteomics_S964,0.4744832888803613,1.040504811942624e-06,Luad
26699,PRKCQ_phosphoproteomics_T538,-0.4455154382322069,1.0762307860173208e-06,Luad
27257,PTK2_phosphoproteomics_Y570,0.5004185141028641,1.0778948390841965e-06,Luad
15200,IL16_phosphoproteomics_S973,-0.4435801612197896,1.2132168507411822e-06,Luad
11257,EXOC3L4_phosphoproteomics_S52,-0.4803108127224911,1.2644233444077755e-06,Luad
33897,STAB2_phosphoproteomics_S2497,-0.46926780219736164,1.4154994164887323e-06,Luad
18592,MAGI3_phosphoproteomics_S1407,0.4998989485044969,1.4973019730482276e-06,Luad
12933,GART_phosphoproteomics_N794S802,0.4449606680873336,1.7625243687331948e-06,Luad
3815,BCL11B_phosphoproteomics_T754,-0.45261619523591645,1.7867062452992469e-06,Luad
36195,TMEM192_phosphoproteomics_S230,0.4525341575734056,1.7953670875831152e-06,Luad
8760,DEF6_phosphoproteomics_S606N608,-0.5597532950297183,1.8468267746795506e-06,Luad
30257,SCAF1_phosphoproteomics_S724S725,-0.43662479615363214,1.8549061640957098e-06,Luad
15255,IMPDH1_phosphoproteomics_S245,-0.4826442151124617,1.9157950752588918e-06,Luad
7424,CLTC_phosphoproteomics_Y1481,0.49244550958779626,1.9547088869795487e-06,Luad
31088,SH3KBP1_phosphoproteomics_S10,-0.4426424334934441,2.0234170328534695e-06,Luad
7554,CNTROB_phosphoproteomics_S78,-0.4672045445782428,2.0629160734682766e-06,Luad
23635,PAM_phosphoproteomics_S936,0.4437395829108869,2.1248911558155085e-06,Luad
38760,VPS4B_phosphoproteomics_S102,-0.4340176682038098,2.1696549462611754e-06,Luad
26604,PRKACB_phosphoproteomics_S386,-0.43250729640557783,2.374470290980352e-06,Luad
5023,CAMK2G_phosphoproteomics_T37,0.536217883167786,2.442653901365399e-06,Luad
10,AAK1_phosphoproteomics_S731,-0.43029908223338253,2.7071059366916967e-06,Luad
22360,NHSL2_phosphoproteomics_S339,-0.4375650553303224,2.7280747207645654e-06,Luad
5247,CARMIL2_phosphoproteomics_S1246,-0.4367586181955361,2.859405566445184e-06,Luad
22830,NTAN1_phosphoproteomics_T271M273,-0.5668445901918274,2.863046172525781e-06,Luad
1452,ALDH1A1_phosphoproteomics_T267,-0.4291813583606607,2.8918331675892026e-06,Luad
24545,PFKFB3_phosphoproteomics_S22,0.46318372101409166,2.937239594840991e-06,Luad
31682,SLC20A1_phosphoproteomics_S277,0.4723543467001369,2.9613051877207177e-06,Luad
8944,DEPTOR_phosphoproteomics_S265,0.4287574405969036,2.964963948133359e-06,Luad
6239,CDK13_phosphoproteomics_S664,0.43580976624637513,3.0215819920173065e-06,Luad
31002,SH2B3_phosphoproteomics_S150,-0.4498961674207408,3.3579034079757576e-06,Luad
27200,PSTPIP1_phosphoproteomics_S377S383,-0.4626128566285347,3.43748269161758e-06,Luad
28130,RAP1GAP2_phosphoproteomics_S7,-0.42598648059904853,3.4878359744265918e-06,Luad
34536,SYNPO_phosphoproteomics_C508S510M513S514,-0.43494825264931075,3.5433131330494355e-06,Luad
11566,FAM168A_phosphoproteomics_M1S6,0.4322885775483921,3.702677560562229e-06,Luad
28722,RCC1_phosphoproteomics_S47,0.4907928117706468,3.802325170032524e-06,Luad
27295,PTPN11_phosphoproteomics_Y62,0.42379300387566277,3.962342524112446e-06,Luad
27487,PURB_phosphoproteomics_S101,0.42287715668539716,4.1779871167772865e-06,Luad
13364,GOLGB1_phosphoproteomics_S1573,0.42269214054207915,4.222876258662114e-06,Luad
13705,GRK6_phosphoproteomics_S484,-0.42198289386478427,4.399212339196404e-06,Luad
31737,SLC34A2_phosphoproteomics_S683,0.4408153210488059,4.431097701270176e-06,Luad
19012,MAP3K8_phosphoproteomics_S141,-0.4208478645895408,4.695952717476456e-06,Luad
33151,SPTBN1_phosphoproteomics_S2169,-0.4205552086897615,4.7754743350355085e-06,Luad
5251,CARMIL2_phosphoproteomics_S1381,-0.420530013649605,4.782379555825214e-06,Luad
